セクション,項目,江豚 2023款 宽体版 中航锂电38.64kWh,江豚 2023款 宽心版 中航锂电38.64kWh,江豚 2023款 宽体版 国轩高科38.7kWh,江豚 2023款 宽心版 国轩高科38.7kWh,江豚 2023款 宽体版 国轩高科40.55kWh,江豚 2023款 宽心版 国轩高科40.55kWh,江豚 2023款 宽裕版 宁德时代41.86kWh,江豚 2022款 江豚I号超运版国轩高科,江豚 2022款 江豚I号智运版国轩高科,江豚 2022款 江豚II号超运版宁德时代,江豚 2022款 江豚II号智运版宁德时代
,厂商指导价(元),15.48万 计算器,15.68万 计算器,15.48万 计算器,15.68万 计算器,15.68万 计算器,15.88万 计算器,16.28万 计算器,13.38万 计算器,13.68万 计算器,14.38万 计算器,14.68万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车,开瑞汽车
基本参数,级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2022-06-06,2022-06-06,2022-06-06,2022-06-06
基本参数,NEDC纯电续航里程(km),260,260,260,260,276,276,285,276,276,285,285
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),80,80,80,80,80,80,80,80,80,80,80
基本参数,最大功率(kW),60,60,60,60,60,60,60,60,60,60,60
基本参数,最大扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220
基本参数,车身结构,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
基本参数,电动机(Ps),82,82,82,82,82,82,82,82,82,82,82
基本参数,长*宽*高(mm),4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746*1760*1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),8,8,8,8,8,8,8,-,-,-,-
基本参数,最高车速(km/h),80,80,80,80,80,80,80,80,80,80,80
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-
基本参数,整备质量(kg),1485,1512,1480,1500,1500,1522,1512,1522,1522,1512,1512
基本参数,最大满载质量(kg),2680,2680,2680,2680,2680,2680,2680,-,-,-,-
车身,长度(mm),4746,4746,4746,4746,4746,4746,4746,4746,4746,4746,4746
车身,宽度(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
车身,高度(mm),1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965
车身,轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
车身,前轮距(mm),-,-,-,-,-,-,-,1506,1506,1506,1506
车身,后轮距(mm),-,-,-,-,-,-,-,1524,1524,1524,1524
车身,满载最小离地间隙(mm),173,173,173,173,173,173,173,-,-,-,-
车身,最小离地间隙(mm),-,-,-,-,-,-,-,173,173,173,173
车身,最大爬坡度(%),30,30,30,30,30,30,30,-,-,-,-
车身,最大爬坡角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,-,-,-,-
车身,车身结构,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
