セクション,セクション_ja,項目,項目_ja,2023年モデル 幅広版 中航リチウム電池38.64kWh,2023年モデル 幅広心版 中航リチウム電池38.64kWh,2023年モデル 幅広版 国軒高科38.7kWh,2023年モデル 幅広心版 国軒高科38.7kWh,2023年モデル 幅広版 国軒高科40.55kWh,2023年モデル 幅広心版 国軒高科40.55kWh,2023年モデル 幅広裕版 寧徳時代41.86kWh,2022年モデル イノシシI号 超運版 国軒高科,2022年モデル イノシシI号 智運版 国軒高科,2022年モデル イノシシII号 超運版 寧徳時代,2022年モデル イノシシII号 智運版 寧徳時代
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.48万元（日本円 約3,250,800円）","15.68万元（日本円 約3,292,800円）","15.48万元（日本円 約3,250,800円）","15.68万元（日本円 約3,292,800円）","15.68万元（日本円 約3,292,800円）","15.88万元（日本円 約3,334,800円）","16.28万元（日本円 約3,418,800円）","13.38万元（日本円 約2,809,800円）","13.68万元（日本円 約2,872,800円）","14.38万元（日本円 約3,019,800円）","14.68万元（日本円 約3,082,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車,カイリー自動車
基本参数,基本仕様,级别,クラス,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン,ミニバン
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2022-06-06,2022-06-06,2022-06-06,2022-06-06
基本参数,基本仕様,NEDC纯电续航里程(km),NEDC純電航続距離(km),260,260,260,260,276,276,285,276,276,285,285
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),80,80,80,80,80,80,80,80,80,80,80
基本参数,基本仕様,最大功率(kW),最大出力(kW),60,60,60,60,60,60,60,60,60,60,60
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),220,220,220,220,220,220,220,220,220,220,220
基本参数,基本仕様,车身结构,ボディ構造,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),82,82,82,82,82,82,82,82,82,82,82
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965,4746×1760×1965
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(s),8,8,8,8,8,8,8,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),80,80,80,80,80,80,80,80,80,80,80
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1485,1512,1480,1500,1500,1522,1512,1522,1522,1512,1512
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2680,2680,2680,2680,2680,2680,2680,-,-,-,-
车身,車体,长度(mm),全長(mm),4746,4746,4746,4746,4746,4746,4746,4746,4746,4746,4746
车身,車体,宽度(mm),全幅(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
车身,車体,高度(mm),全高(mm),1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965
车身,車体,轴距(mm),ホイールベース(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
车身,車体,前轮距(mm),前トレッド(mm),-,-,-,-,-,-,-,1506,1506,1506,1506
车身,車体,后轮距(mm),後トレッド(mm),-,-,-,-,-,-,-,1524,1524,1524,1524
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),173,173,173,173,173,173,173,-,-,-,-
车身,車体,最小离地间隙(mm),最低地上高(mm),-,-,-,-,-,-,-,173,173,173,173
车身,車体,最大爬坡度(%),最大登坂能力(%),30,30,30,30,30,30,30,-,-,-,-
车身,車体,最大爬坡角度(°),最大登坂角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,-,-,-,-
车身,車体,车身结构,ボディ構造,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車,貨物車
