セクション,項目,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 9座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 7座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 8座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 9座 CNG,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 7座,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 9座,锐胜王牌M7 2026款 2.0L 宿营车 美途版 5座,锐胜王牌M7 2026款 2.0L 宿营车 轻旅版 5座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 改款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L CNG基本版 2座,锐胜王牌M7 2025款 2.0L CNG舒适型 6座,锐胜王牌M7 2025款 2.0L CNG舒适型 7座,锐胜王牌M7 2025款 2.0L CNG精英版 7座,锐胜王牌M7 2025款 2.0L CNG精英版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 8座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 9座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 9座,锐胜王牌M7 2025款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2025款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 8座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴盲窗基本型 2座,锐胜王牌M7 2025款 2.0L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 8/9座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 7座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 7座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 9座,锐胜王牌M7 2025款 2.0L 自动长轴至尊版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运尊贵版 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 6座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 7座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 9座,锐胜王牌M7 2024款 2.0L 长轴至尊版 7座,锐胜王牌M7 2023款 1.6L 标轴创富型 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 9座,锐胜王牌M7 2023款 1.6L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅
,厂商指导价(元),5.98万 计算器,6.48万 计算器,7.48万 计算器,9.68万 计算器,9.98万 计算器,6.98万 计算器,7.18万 计算器,7.88万 计算器,8.78万 计算器,9.98万 计算器,10.28万 计算器,12.88万 计算器,13.18万 计算器,13.18万 计算器,8.98万 计算器,9.28万 计算器,8.98万 计算器,8.98万 计算器,9.98万 计算器,10.28万 计算器,10.98万 计算器,11.28万 计算器,12.98万 计算器,13.28万 计算器,6.58万 计算器,7.48万 计算器,8.48万 计算器,8.78万 计算器,10.38万 计算器,10.68万 计算器,10.68万 计算器,9.98万 计算器,10.28万 计算器,10.98万 计算器,11.28万 计算器,12.98万 计算器,13.28万 计算器,5.98万 计算器,6.48万 计算器,7.48万 计算器,9.68万 计算器,9.98万 计算器,7.88万 计算器,6.98万 计算器,7.18万 计算器,6.58万 计算器,7.48万 计算器,8.48万 计算器,8.78万 计算器,10.38万 计算器,10.68万 计算器,10.68万 计算器,7.98万 计算器,8.48万 计算器,8.48万 计算器,9.98万 计算器,10.28万 计算器,12.88万 计算器,13.18万 计算器,13.18万 计算器,13.68万 计算器,13.98万 计算器,13.98万 计算器,14.28万 计算器,6.18万 计算器,7.88万 计算器,9.88万 计算器,10.18万 计算器,8.28万 计算器,10.28万 计算器,10.58万 计算器,7.08万 计算器,7.28万 计算器,6.78万 计算器,7.68万 计算器,8.68万 计算器,8.98万 计算器,10.68万 计算器,10.98万 计算器,10.98万 计算器,11.28万 计算器,11.98万 计算器,12.28万 计算器,13.98万 计算器,14.28万 计算器,14.48万 计算器,14.78万 计算器,15.38万 计算器,14.18万 计算器,7.28万 计算器,7.28万 计算器,8.78万 计算器,7.68万 计算器,10.58万 计算器,13.98万 计算器,14.28万 计算器,15.38万 计算器,6.68万 计算器,10.89万 计算器,11.18万 计算器,12.08万 计算器,13.18万 计算器,13.98万 计算器
,经销商报价,5.98万起,6.48万起,7.48万起,9.68万起,9.98万起,6.98万起,7.18万起,7.88万起,8.78万起,9.98万起,10.28万起,12.88万起,13.18万起,13.18万起,8.98万起,9.28万起,8.98万起,8.98万起,9.98万起,10.28万起,10.98万起,11.28万起,12.98万起,13.28万起,6.58万起,7.48万起,8.48万起,8.78万起,10.38万起,10.68万起,10.68万起,9.78万起,9.28万起,9.98万起,10.28万起,12.98万起,13.28万起,5.98万起,6.48万起,7.48万起,9.68万起,9.98万起,7.88万起,6.98万起,7.18万起,6.58万起,7.48万起,8.48万起,8.78万起,10.38万起,10.68万起,10.68万起,6.97万起,7.47万起,7.47万起,7.98万起,8.88万起,8.98万起,11.08万起,9.28万起,11.58万起,11.88万起,11.88万起,12.18万起,5.58万起,7.28万起,9.28万起,8.18万起,7.68万起,9.68万起,9.98万起,6.48万起,6.68万起,6.18万起,7.08万起,8.08万起,8.38万起,10.08万起,10.38万起,10.38万起,10.68万起,11.38万起,11.68万起,13.38万起,13.68万起,13.88万起,14.18万起,14.78万起,11.68万起,5.88万起,5.88万起,7.78万起,6.38万起,8.58万起,11.98万起,12.28万起,13.38万起,5.48万起,9.19万起,9.48万起,10.38万起,11.48万起,11.88万起
基本参数,厂商,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2026-02-12,2026-02-12,2026-03-04,2026-03-04,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2024-08-20,2024-08-20,2024-08-20,2024-08-20,2024-08-20,2024-08-20,2024-11-26,2024-08-20,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-08-20,2024-08-20,2024-10-14,2024-10-14,2024-08-20,2025-05-26,2024-04-08,2024-01-31,2024-01-31,2024-01-31,2024-01-31,2024-04-22,2024-04-22,2024-04-09,2022-12-22,2023-04-24,2023-04-24,2022-12-06,2022-12-06,2023-09-13
基本参数,最大功率(kW),86,86,86,86,86,86,86,86,90,90,90,90,90,90,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,86,86,86,86,86,106,86,86,106,106,106,106,106,106,106,90,90,90,90,90,90,90,90,90,90,90,90,91,91,91,91,106,106,106,91,91,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,90,91,91,91,106,91,106,106,106,91,106,106,91,106,90
基本参数,最大扭矩(N·m),160,160,160,160,160,160,160,160,175,175,175,175,175,175,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,160,160,160,160,160,200,160,160,200,200,200,200,200,200,200,175,175,175,175,175,175,175,175,175,175,175,175,161,161,161,161,200,200,200,161,161,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,175,161,161,161,200,161,200,200,200,161,200,200,161,200,175
基本参数,变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,8挡自动,5挡手动,5挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,8挡自动,8挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
