セクション,セクション_ja,項目,項目_ja,2026年モデル 改良版 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 9人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 7人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 8人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 9人乗り CNG,2026年モデル 2.0L AT ロング軸 新年版 7人乗り,2026年モデル 2.0L AT ロング軸 新年版 9人乗り,2026年モデル 2.0L キャンピングカー 美途版 5人乗り,2026年モデル 2.0L キャンピングカー 軽旅版 5人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 改良版 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 9人乗り,2026年モデル 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L CNG 基本版 2人乗り,2025年モデル 2.0L CNG 快適型 6人乗り,2025年モデル 2.0L CNG 快適型 7人乗り,2025年モデル 2.0L CNG エリート版 7人乗り,2025年モデル 2.0L CNG エリート版 9人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 7人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 8人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 9人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 9人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 9人乗り,2025年モデル 1.6L MT 標準軸 快適タイプ 5人乗り,2025年モデル 1.6L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2025年モデル 2.0L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 8人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 5人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ブラインドウィンドウ 基本タイプ 2人乗り,2025年モデル 2.0L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 8・9人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 7人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 9人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 プレミアム 7人乗り,2025年モデル 2.0L CNG 上級営業用 プレミアム 7人乗り,2024年モデル 1.6L ロング軸 創富タイプ 6人乗り,2024年モデル 1.6L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 創享タイプ 9人乗り,2024年モデル 2.0L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 ラグジュアリー営業用 9人乗り,2024年モデル 2.0L ロング軸 中級営業用 7人乗り,2024年モデル 2.0L ロング軸 中級営業用 9人乗り,2024年モデル 2.0L ロング軸 プレミアム 7人乗り,2023年モデル 1.6L 標準軸 創富タイプ 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 9人乗り,2023年モデル 1.6L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L CNG ロング軸 ラグジュアリー営業用 9人乗り 連結シート
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.98万元（日本円 約1,255,800円）","6.48万元（日本円 約1,360,800円）","7.48万元（日本円 約1,570,800円）","9.68万元（日本円 約2,032,800円）","9.98万元（日本円 約2,095,800円）","6.98万元（日本円 約1,465,800円）","7.18万元（日本円 約1,507,800円）","7.88万元（日本円 約1,654,800円）","8.78万元（日本円 約1,843,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","12.88万元（日本円 約2,704,800円）","13.18万元（日本円 約2,767,800円）","13.18万元（日本円 約2,767,800円）","8.98万元（日本円 約1,885,800円）","9.28万元（日本円 約1,948,800円）","8.98万元（日本円 約1,885,800円）","8.98万元（日本円 約1,885,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","10.98万元（日本円 約2,305,800円）","11.28万元（日本円 約2,368,800円）","12.98万元（日本円 約2,725,800円）","13.28万元（日本円 約2,788,800円）","6.58万元（日本円 約1,381,800円）","7.48万元（日本円 約1,570,800円）","8.48万元（日本円 約1,780,800円）","8.78万元（日本円 約1,843,800円）","10.38万元（日本円 約2,179,800円）","10.68万元（日本円 約2,242,800円）","10.68万元（日本円 約2,242,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","10.98万元（日本円 約2,305,800円）","11.28万元（日本円 約2,368,800円）","12.98万元（日本円 約2,725,800円）","13.28万元（日本円 約2,788,800円）","5.98万元（日本円 約1,255,800円）","6.48万元（日本円 約1,360,800円）","7.48万元（日本円 約1,570,800円）","9.68万元（日本円 約2,032,800円）","9.98万元（日本円 約2,095,800円）","7.88万元（日本円 約1,654,800円）","6.98万元（日本円 約1,465,800円）","7.18万元（日本円 約1,507,800円）","6.58万元（日本円 約1,381,800円）","7.48万元（日本円 約1,570,800円）","8.48万元（日本円 約1,780,800円）","8.78万元（日本円 約1,843,800円）","10.38万元（日本円 約2,179,800円）","10.68万元（日本円 約2,242,800円）","10.68万元（日本円 約2,242,800円）","7.98万元（日本円 約1,675,800円）","8.48万元（日本円 約1,780,800円）","8.48万元（日本円 約1,780,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","12.88万元（日本円 約2,704,800円）","13.18万元（日本円 約2,767,800円）","13.18万元（日本円 約2,767,800円）","13.68万元（日本円 約2,872,800円）","13.98万元（日本円 約2,935,800円）","13.98万元（日本円 約2,935,800円）","14.28万元（日本円 約2,998,800円）","6.18万元（日本円 約1,297,800円）","7.88万元（日本円 約1,654,800円）","9.88万元（日本円 約2,074,800円）","10.18万元（日本円 約2,137,800円）","8.28万元（日本円 約1,738,800円）","10.28万元（日本円 約2,158,800円）","10.58万元（日本円 約2,221,800円）","7.08万元（日本円 約1,486,800円）","7.28万元（日本円 約1,528,800円）","6.78万元（日本円 約1,423,800円）","7.68万元（日本円 約1,612,800円）","8.68万元（日本円 約1,822,800円）","8.98万元（日本円 約1,885,800円）","10.68万元（日本円 約2,242,800円）","10.98万元（日本円 約2,305,800円）","10.98万元（日本円 約2,305,800円）","11.28万元（日本円 約2,368,800円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","13.98万元（日本円 約2,935,800円）","14.28万元（日本円 約2,998,800円）","14.48万元（日本円 約3,040,800円）","14.78万元（日本円 約3,103,800円）","15.38万元（日本円 約3,229,800円）","14.18万元（日本円 約2,977,800円）","7.28万元（日本円 約1,528,800円）","7.28万元（日本円 約1,528,800円）","8.78万元（日本円 約1,843,800円）","7.68万元（日本円 約1,612,800円）","10.58万元（日本円 約2,221,800円）","13.98万元（日本円 約2,935,800円）","14.28万元（日本円 約2,998,800円）","15.38万元（日本円 約3,229,800円）","6.68万元（日本円 約1,402,800円）","10.89万元（日本円 約2,286,900円）","11.18万元（日本円 約2,347,800円）","12.08万元（日本円 約2,536,800円）","13.18万元（日本円 約2,767,800円）","13.98万元（日本円 約2,935,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"5.98万元（日本円 約1,255,800円）","6.48万元（日本円 約1,360,800円）","7.48万元（日本円 約1,570,800円）","9.68万元（日本円 約2,032,800円）","9.98万元（日本円 約2,095,800円）","6.98万元（日本円 約1,465,800円）","7.18万元（日本円 約1,507,800円）","7.88万元（日本円 約1,654,800円）","8.78万元（日本円 約1,843,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","12.88万元（日本円 約2,704,800円）","13.18万元（日本円 約2,767,800円）","13.18万元（日本円 約2,767,800円）","8.98万元（日本円 約1,885,800円）","9.28万元（日本円 約1,948,800円）","8.98万元（日本円 約1,885,800円）","8.98万元（日本円 約1,885,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","10.98万元（日本円 約2,305,800円）","11.28万元（日本円 約2,368,800円）","12.98万元（日本円 約2,725,800円）","13.28万元（日本円 約2,788,800円）","6.58万元（日本円 約1,381,800円）","7.48万元（日本円 約1,570,800円）","8.48万元（日本円 約1,780,800円）","8.78万元（日本円 約1,843,800円）","10.38万元（日本円 約2,179,800円）","10.68万元（日本円 約2,242,800円）","10.68万元（日本円 約2,242,800円）","9.78万元（日本円 約2,053,800円）","9.28万元（日本円 約1,948,800円）","9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","12.98万元（日本円 約2,725,800円）","13.28万元（日本円 約2,788,800円）","5.98万元（日本円 約1,255,800円）","6.48万元（日本円 約1,360,800円）","7.48万元（日本円 約1,570,800円）","9.68万元（日本円 約2,032,800円）","9.98万元（日本円 約2,095,800円）","7.88万元（日本円 約1,654,800円）","6.98万元（日本円 約1,465,800円）","7.18万元（日本円 約1,507,800円）","6.58万元（日本円 約1,381,800円）","7.48万元（日本円 約1,570,800円）","8.48万元（日本円 約1,780,800円）","8.78万元（日本円 約1,843,800円）","10.38万元（日本円 約2,179,800円）","10.68万元（日本円 約2,242,800円）","10.68万元（日本円 約2,242,800円）","6.97万元（日本円 約1,463,700円）","7.47万元（日本円 約1,568,700円）","7.47万元（日本円 約1,568,700円）","7.98万元（日本円 約1,675,800円）","8.88万元（日本円 約1,864,800円）","8.98万元（日本円 約1,885,800円）","11.08万元（日本円 約2,326,800円）","9.28万元（日本円 約1,948,800円）","11.58万元（日本円 約2,431,800円）","11.88万元（日本円 約2,494,800円）","11.88万元（日本円 約2,494,800円）","12.18万元（日本円 約2,557,800円）","5.58万元（日本円 約1,171,800円）","7.28万元（日本円 約1,528,800円）","9.28万元（日本円 約1,948,800円）","8.18万元（日本円 約1,717,800円）","7.68万元（日本円 約1,612,800円）","9.68万元（日本円 約2,032,800円）","9.98万元（日本円 約2,095,800円）","6.48万元（日本円 約1,360,800円）","6.68万元（日本円 約1,402,800円）","6.18万元（日本円 約1,297,800円）","7.08万元（日本円 約1,486,800円）","8.08万元（日本円 約1,696,800円）","8.38万元（日本円 約1,759,800円）","10.08万元（日本円 約2,116,800円）","10.38万元（日本円 約2,179,800円）","10.38万元（日本円 約2,179,800円）","10.68万元（日本円 約2,242,800円）","11.38万元（日本円 約2,389,800円）","11.68万元（日本円 約2,452,800円）","13.38万元（日本円 約2,809,800円）","13.68万元（日本円 約2,872,800円）","13.88万元（日本円 約2,914,800円）","14.18万元（日本円 約2,977,800円）","14.78万元（日本円 約3,103,800円）","11.68万元（日本円 約2,452,800円）","5.88万元（日本円 約1,234,800円）","5.88万元（日本円 約1,234,800円）","7.78万元（日本円 約1,633,800円）","5.68万元（日本円 約1,192,800円）","8.58万元（日本円 約1,801,800円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","13.38万元（日本円 約2,809,800円）","5.48万元（日本円 約1,150,800円）","9.19万元（日本円 約1,929,900円）","9.48万元（日本円 約1,990,800円）","10.38万元（日本円 約2,179,800円）","11.48万元（日本円 約2,410,800円）","11.88万元（日本円 約2,494,800円）"
基本参数,基本仕様,厂商,メーカー,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場,北京自動車製造工場
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2026-02-12,2026-02-12,2026-03-04,2026-03-04,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2024-08-20,2024-08-20,2024-08-20,2024-08-20,2024-08-20,2024-08-20,2024-11-26,2024-08-20,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-10-14,2024-08-20,2024-08-20,2024-10-14,2024-10-14,2024-08-20,2025-05-26,2024-04-08,2024-01-31,2024-01-31,2024-01-31,2024-01-31,2024-04-22,2024-04-22,2024-04-09,2022-12-22,2023-04-24,2023-04-24,2022-12-06,2022-12-06,2023-09-13
基本参数,基本仕様,最大功率(kW),最大出力(kW),86,86,86,86,86,86,86,86,90,90,90,90,90,90,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,86,86,86,86,86,106,86,86,106,106,106,106,106,106,106,90,90,90,90,90,90,90,90,90,90,90,90,91,91,91,91,106,106,106,91,91,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,90,91,91,91,106,91,106,106,106,91,106,106,91,106,90
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),160,160,160,160,160,160,160,160,175,175,175,175,175,175,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,160,160,160,160,160,200,160,160,200,200,200,200,200,200,200,175,175,175,175,175,175,175,175,175,175,175,175,161,161,161,161,200,200,200,161,161,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,175,161,161,161,200,161,200,200,200,161,200,200,161,200,175
基本参数,基本仕様,变速箱,トランスミッション,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル
