セクション,項目,狮铂拓界 2026款 1.5T 两驱舒适版,狮铂拓界 2026款 1.5T 两驱豪华版,狮铂拓界 2026款 1.5T 两驱尊贵版,狮铂拓界 2026款 2.0T 两驱尊贵版,狮铂拓界 2026款 2.0T 四驱尊贵版,狮铂拓界 2026款 2.0T 两驱旗舰版,狮铂拓界 2026款 2.0T 四驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版
,厂商指导价(元),15.49万 计算器,15.99万 计算器,16.99万 计算器,17.99万 计算器,19.49万 计算器,20.29万 计算器,21.79万 计算器,17.98万 计算器,18.48万 计算器,18.98万 计算器,18.98万 计算器,19.08万 计算器,19.48万 计算器,19.98万 计算器,19.98万 计算器,20.28万 计算器,20.58万 计算器,20.68万 计算器,21.18万 计算器,21.18万 计算器,21.48万 计算器,22.28万 计算器,23.48万 计算器,23.78万 计算器
,经销商报价,10.99万起,11.49万起,12.49万起,13.49万起,14.99万起,15.79万起,17.29万起,8.99万起,10.98万起,11.48万起,9.99万起,11.58万起,11.98万起,12.48万起,12.48万起,12.78万起,13.08万起,13.18万起,13.68万起,13.68万起,13.98万起,14.78万起,15.98万起,16.28万起
基本参数,厂商,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,汽油,汽油,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01,2025-04-01
基本参数,最大功率(kW),147,147,147,180,180,180,180,147,147,147,147,173.6,173.6,173.6,173.6,173.6,147,173.6,173.6,173.6,147,173.6,173.6,147
基本参数,最大扭矩(N·m),253,253,253,353,353,353,353,253,253,253,253,353,353,353,353,353,350,353,353,353,350,353,353,350
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体
