セクション,項目,丰田bZ3 2026款 智享家 JOY,丰田bZ3 2026款 智享家 PRO,丰田bZ3 2026款 智享家 PRO+,丰田bZ3 2026款 智享家 MAX,丰田bZ3 2024款 517km 精英 PRO,丰田bZ3 2024款 616km 长续航 PRO,丰田bZ3 2024款 616km 长续航 Premium
,厂商指导价(元),10.98万 计算器,12.98万 计算器,13.98万 计算器,15.98万 计算器,16.98万 计算器,18.98万 计算器,19.98万 计算器
,经销商报价,9.38万起,10.38万起,13.98万起,15.98万起,14.38万起,16.38万起,19.98万起
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2024-01-29,2024-01-29,2024-01-29
基本参数,CLTC纯电续航里程(km),517,510,610,600,517,616,616
基本参数,电池快充时间(小时),0.45,0.45,0.45,0.45,0.45,0.45,0.45
基本参数,电池慢充时间(小时),7,7,9.5,9.5,7,9.5,9.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,80,80,80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,100,100,100
基本参数,最大功率(kW),135,135,180,180,135,180,180
基本参数,最大扭矩(N·m),303,303,303,303,303,303,303
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),184,184,245,245,184,245,245
基本参数,长*宽*高(mm),4725*1835*1480,4725*1835*1480,4725*1835*1475,4725*1835*1475,4725*1835*1480,4725*1835*1475,4725*1835*1475
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.2,3.2,3.4,3.5,3.2,3.4,3.4
基本参数,最高车速(km/h),160,160,160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.28,1.29,1.42,1.44,1.24,1.36,1.36
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-,-,-
基本参数,整备质量(kg),1710,1740,1840,1850,1710,1835,1840
基本参数,最大满载质量(kg),2145,2145,2260,2260,2145,2260,2260
车身,长度(mm),4725,4725,4725,4725,4725,4725,4725
车身,宽度(mm),1835,1835,1835,1835,1835,1835,1835
车身,高度(mm),1480,1480,1475,1475,1480,1475,1475
车身,轴距(mm),2880,2880,2880,2880,2880,2880,2880
车身,前轮距(mm),1580,1580,1580,1580,1580,1580,1580
车身,后轮距(mm),1580,1580,1580,1580,1580,1580,1580
车身,接近角(°),13,13,13,13,13,13,13
车身,离去角(°),23,23,23,23,23,23,23
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,-,-,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
