セクション,セクション_ja,項目,項目_ja,2026年モデル 智享家 JOY,2026年モデル 智享家 PRO,2026年モデル 智享家 PRO+,2026年モデル 智享家 MAX,2024年モデル 517km エリート PRO,2024年モデル 616km ロングレンジ PRO,2024年モデル 616km ロングレンジ プレミアム
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.98万元（日本円 約2,305,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","15.98万元（日本円 約3,355,800円）","16.98万元（日本円 約3,565,800円）","18.98万元（日本円 約3,985,800円）","19.98万元（日本円 約4,195,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2024-01-29,2024-01-29,2024-01-29
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),517,510,610,600,517,616,616
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.45,0.45,0.45,0.45,0.45,0.45,0.45
基本参数,基本仕様,电池慢充时间(小时),バッテリー通常充電時間(時間),7,7,9.5,9.5,7,9.5,9.5
基本参数,基本仕様,电池快充电量范围(%),急速充電可能容量範囲(%),30-80,30-80,30-80,30-80,80,80,80
基本参数,基本仕様,电池慢充电量范围(%),通常充電可能容量範囲(%),0-100,0-100,0-100,0-100,100,100,100
基本参数,基本仕様,最大功率(kW),最大出力(kW),135,135,180,180,135,180,180
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),303,303,303,303,303,303,303
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),184,184,245,245,184,245,245
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4725×1835×1480,4725×1835×1480,4725×1835×1475,4725×1835×1475,4725×1835×1480,4725×1835×1475,4725×1835×1475
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.2,3.2,3.4,3.5,3.2,3.4,3.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.28,1.29,1.42,1.44,1.24,1.36,1.36
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1710,1740,1840,1850,1710,1835,1840
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2145,2145,2260,2260,2145,2260,2260
车身,車体,长度(mm),全長(mm),4725,4725,4725,4725,4725,4725,4725
车身,車体,宽度(mm),全幅(mm),1835,1835,1835,1835,1835,1835,1835
车身,車体,高度(mm),全高(mm),1480,1480,1475,1475,1480,1475,1475
车身,車体,轴距(mm),ホイールベース(mm),2880,2880,2880,2880,2880,2880,2880
车身,車体,前轮距(mm),前トレッド(mm),1580,1580,1580,1580,1580,1580,1580
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580,1580,1580,1580,1580
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23,23
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.6,5.6,-,-,-
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),439,439,439,439,439,439,439
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.23,0.23,0.23,0.24,0.23,0.23,0.23
电动机,モーター,前电动机品牌,前モーター ブランド,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー
电动机,モーター,前电动机型号,前モーター 型番,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),135,135,180,180,135,180,180
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),184,184,245,245,184,245,245
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),303,303,303,303,303,303,303
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),135,135,180,180,135,180,180
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),303,303,303,303,303,303,303
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン
电动机,モーター,三电系统质保,三電システム保証,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),517,510,610,600,517,616,616
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),49.9,49.9,65.3,65.3,49.92,65.28,65.28
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),-,-,-,-,146.39,148.7,148.7
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),11,11.1,12.2,12.4,11,12,12
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),70,70,90,90,70,90,90
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.45,0.45,0.45,0.45,0.45,0.45,0.45
