セクション,セクション_ja,項目,項目_ja,2024年モデル 栄光版 100KM快適型 5人乗り,2024年モデル 栄光版 100KM快適型 7人乗り,2024年モデル 栄光版 100KM上級型 5人乗り,2024年モデル 栄光版 100KM上級型 7人乗り,2024年モデル 栄光版 100KMプレミアム型 5人乗り,2024年モデル 栄光版 100KMプレミアム型 7人乗り,2023年モデル 1.5L DE i 100KM快適型 5人乗り,2023年モデル 1.5L DE i 100KM快適型 7人乗り,2023年モデル 1.5L DE i 100KMプレミアム型 5人乗り,2023年モデル 1.5L DE i 100KMプレミアム型 7人乗り,2023年モデル 1.5L DE i 110KMフラッグシップ型 5人乗り,2023年モデル 1.5L DE i 110KMフラッグシップ型 7人乗り
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"9.98万元（日本円 約2,095,800円）","10.28万元（日本円 約2,158,800円）","10.98万元（日本円 約2,305,800円）","11.28万元（日本円 約2,368,800円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","13.99万元（日本円 約2,937,900円）","14.19万元（日本円 約2,979,900円）","14.99万元（日本円 約3,147,900円）","15.19万元（日本円 約3,189,900円）","15.19万元（日本円 約3,189,900円）","15.39万元（日本円 約3,231,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック,サイリス・ブルーエレクトリック
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024-04-10,2024-04-10,2024-04-10,2024-04-10,2024-04-10,2024-04-10,2023-03-30,2023-07-25,2023-11-16,2023-11-16,2023-03-30,2023-07-25
基本参数,基本仕様,NEDC纯电续航里程(km),NEDC純電航続距離(km),100,100,100,100,100,100,100,100,100,100,110,110
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),87,87,87,87,87,87,87,87,87,87,94,94
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,0.8,0.8,0.8,0.8,-,-,-,-,-,-
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),3,3,3,3,3,3,-,-,-,-,-,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),-,-,30-80,30-80,30-80,30-80,-,-,-,-,-,-
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),25-100,25-100,25-100,25-100,25-100,25-100,-,-,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-,-,-,-,-,-,-,-
