セクション,項目,豪越L 2026款 1.5TD DCT 欢乐 5座,豪越L 2026款 1.5TD DCT 幸福 5座,豪越L 2026款 1.5TD DCT 幸福 7座,豪越L 2026款 1.5TD DCT 美满 6座,豪越L 2026款 1.5TD DCT 美满 7座,豪越L 2026款 2.0TD DCT 美满 6座,豪越L 2026款 2.0TD DCT 美满 7座,豪越L 2025款 2.0T DCT尊享款,豪越L 2024款 2.0T DCT豪华型,豪越L 2024款 2.0T DCT尊贵型,豪越L 2024款 2.0T DCT旗舰型
,厂商指导价(元),9.99万 计算器,10.99万 计算器,11.34万 计算器,11.99万 计算器,12.04万 计算器,12.99万 计算器,13.04万 计算器,15.39万 计算器,12.79万 计算器,13.79万 计算器,14.79万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-11-27,2025-11-27,2025-12-26,2025-11-27,2025-12-26,2025-11-27,2025-12-26,2024-10-15,2023-11-24,2023-11-24,2023-11-24
基本参数,最大功率(kW),133,133,133,133,133,160,160,160,160,160,160
基本参数,最大扭矩(N·m),290,290,290,290,290,325,325,325,325,325,325
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
