セクション,項目,星途ES 2025款 增程 Plus 舒适智享,星途ES 2025款 增程 Pro 高速辅助驾驶,星途ES 2025款 增程 Max 城区辅助驾驶,星途ES 2025款 增程 Ultra 四驱旗舰,星途ES 2025款 纯电 乐享版 64kWh,星途ES 2025款 纯电 尊享版 70kWh,星途ES 2025款 纯电 Pro 高速辅助驾驶,星途ES 2025款 纯电 Max 城区辅助驾驶,星途ES 2025款 纯电 Pro 77kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 77kWh,星途ES 2025款 纯电 Pro 100kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 100kWh,星途ES 2025款 纯电 至臻尊享版 77kWh,星途ES 2025款 纯电 富道版 77kWh,星途ES 2025款 纯电 Pro四驱 77kWh,星途ES 2025款 纯电 Pro四驱 100kWh,星途ES 2025款 纯电 Ultra四驱旗舰 城区辅助驾驶,星途ES 2025款 纯电 Ultra旗舰 100kWh,星途ES 2027款 纯电 860 Max激光雷达版,星途ES 2027款 增程 302 Max激光雷达版,星途ES 2027款 增程 255 Ultra四驱激光雷达版
,厂商指导价(元),15.28万 计算器,16.98万 计算器,18.98万 计算器,20.98万 计算器,24.98万 计算器,25.98万 计算器,18.98万 计算器,20.68万 计算器,21.59万 计算器,23.69万 计算器,24.59万 计算器,26.69万 计算器,20.59万 计算器,28.98万 计算器,23.69万 计算器,26.69万 计算器,26.98万 计算器,29.99万 计算器,预售,预售,预售
,经销商报价,12.78万起,14.48万起,16.48万起,18.48万起,24.98万起,25.98万起,16.48万起,18.18万起,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,24.48万起,暂无报价,21.99万起,18.99万起,20.99万起
基本参数,厂商,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI,国VI
基本参数,上市时间,2025-03-10,2025-03-10,2025-03-10,2025-03-10,2025-09-19,2025-09-19,2025-05-18,2025-05-18,2024-08-21,2024-08-21,2024-08-21,2024-08-21,2025-02-25,2024-12-17,2024-08-21,2024-08-21,2025-05-18,2024-08-21,-,-,-
基本参数,WLTC纯电续航里程(km),205,205,205,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,205
基本参数,CLTC纯电续航里程(km),255,255,255,255,550,605,705,705,680,680,880,880,680,680,605,775,710,710,860,302,255
基本参数,电池快充时间(小时),0.29,0.29,0.29,0.29,0.47,0.47,0.15,0.15,0.15,0.15,0.25,0.25,0.17,0.15,0.15,0.25,0.25,0.25,0.25,0.29,0.29
基本参数,电池慢充时间(小时),5.5,5.5,5.5,6.8,-,-,13.5,13.5,13.5,13.5,16.5,16.5,11,13.5,13.5,16.5,16.5,16.5,-,-,-
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80
基本参数,电池慢充电量范围(%),5-100,5-100,5-100,5-100,-,-,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,-,-,-
基本参数,最大功率(kW),195,195,195,345,185,185,230,230,230,230,230,230,230,230,353,353,353,353,230,227,345
基本参数,最大扭矩(N·m),324,324,324,634,356,356,425,425,425,425,425,425,400,400,663,663,663,663,400,315,634
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,增程器 156马力,增程器 156马力,增程器 156马力,增程器 156马力,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,增程器 156马力,增程器 156马力
基本参数,电动机(Ps),265,265,265,469,252,252,313,313,313,313,313,313,313,313,480,480,480,480,313,309,469
基本参数,长*宽*高(mm),4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1467,4945*1978*1467,4945*1978*1480,4945*1978*1480,4945*1978*1480
基本参数,官方0-100km/h加速(s),7.6,7.6,7.6,4.6,7.1,7.4,5.6,5.6,5.6,5.6,5.6,5.6,5.9,5.9,3.7,3.7,3.7,3.7,5.9,7.4,4.9
基本参数,官方0-50km/h加速(s),3.4,3.4,3.4,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),205,205,205,190,200,200,200,200,200,200,200,200,200,200,210,210,210,210,200,205,190
