セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Plus 快適スマート,2025年モデル 増程 Pro 高速運転支援,2025年モデル 増程 Max 市街地運転支援,2025年モデル 増程 Ultra 4WD フラッグシップ,2025年モデル 純電 動楽版 64kWh,2025年モデル 純電 尊享版 70kWh,2025年モデル 純電 Pro 高速運転支援,2025年モデル 純電 Max 市街地運転支援,2025年モデル 純電 Pro 77kWh,2025年モデル 純電 Pro 市街地運転支援 77kWh,2025年モデル 純電 Pro 100kWh,2025年モデル 純電 Pro 市街地運転支援 100kWh,2025年モデル 純電 至高尊享版 77kWh,2025年モデル 純電 富道版 77kWh,2025年モデル 純電 Pro 4WD 77kWh,2025年モデル 純電 Pro 4WD 100kWh,2025年モデル 純電 Ultra 4WD フラッグシップ 市街地運転支援,2025年モデル 純電 Ultra フラッグシップ 100kWh,2027年モデル 純電 860 Maxレーザーレーダー版,2027年モデル 増程 302 Maxレーザーレーダー版,2027年モデル 増程 255 Ultra4WDレーザーレーダー版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.28万元（日本円 約3,208,800円）","16.98万元（日本円 約3,565,800円）","18.98万元（日本円 約3,985,800円）","20.98万元（日本円 約4,405,800円）","24.98万元（日本円 約5,245,800円）","25.98万元（日本円 約5,455,800円）","18.98万元（日本円 約3,985,800円）","20.68万元（日本円 約4,342,800円）","21.59万元（日本円 約4,533,900円）","23.69万元（日本円 約4,974,900円）","24.59万元（日本円 約5,163,900円）","26.69万元（日本円 約5,604,900円）","20.59万元（日本円 約4,323,900円）","28.98万元（日本円 約6,085,800円）","23.69万元（日本円 約4,974,900円）","26.69万元（日本円 約5,604,900円）","26.98万元（日本円 約5,665,800円）","29.99万元（日本円 約6,297,900円）",预售,预售,预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.78万元（日本円 約2,683,800円）","14.48万元（日本円 約3,040,800円）","16.48万元（日本円 約3,460,800円）","18.48万元（日本円 約3,880,800円）","24.98万元（日本円 約5,245,800円）","25.98万元（日本円 約5,455,800円）","16.48万元（日本円 約3,460,800円）","18.18万元（日本円 約3,817,800円）",暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,"24.48万元（日本円 約5,140,800円）",暂无,"21.99万元（日本円 約4,617,900円）","18.99万元（日本円 約3,987,900円）","20.99万元（日本円 約4,407,900円）"
基本参数,基本仕様,厂商,メーカー,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途,星途
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025-03-10,2025-03-10,2025-03-10,2025-03-10,2025-09-19,2025-09-19,2025-05-18,2025-05-18,2024-08-21,2024-08-21,2024-08-21,2024-08-21,2025-02-25,2024-12-17,2024-08-21,2024-08-21,2025-05-18,2024-08-21,-,-,-
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),205,205,205,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,205
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),255,255,255,255,550,605,705,705,680,680,880,880,680,680,605,775,710,710,860,302,255
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.29,0.29,0.29,0.29,0.47,0.47,0.15,0.15,0.15,0.15,0.25,0.25,0.17,0.15,0.15,0.25,0.25,0.25,0.25,0.29,0.29
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,5.5,5.5,6.8,-,-,13.5,13.5,13.5,13.5,16.5,16.5,11,13.5,13.5,16.5,16.5,16.5,-,-,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),5-100,5-100,5-100,5-100,-,-,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),195,195,195,345,185,185,230,230,230,230,230,230,230,230,353,353,353,353,230,227,345
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),324,324,324,634,356,356,425,425,425,425,425,425,400,400,663,663,663,663,400,315,634
