セクション,項目,小鹏X9 2026款 增程 1602 Max,小鹏X9 2026款 增程 1602 UltraSE,小鹏X9 2026款 增程 1602 Ultra,小鹏X9 2026款 纯电 665 Max,小鹏X9 2026款 纯电 650 UltraSE,小鹏X9 2026款 纯电 650 Ultra,小鹏X9 2026款 纯电 750 Ultra,小鹏X9 2026款 纯电 710四驱 Ultra
,厂商指导价(元),30.98万 计算器,32.18万 计算器,32.98万 计算器,30.98万 计算器,32.18万 计算器,32.98万 计算器,34.98万 计算器,36.98万 计算器
,经销商报价,30.98万起,32.18万起,32.98万起,30.98万起,32.18万起,32.98万起,34.98万起,36.98万起
基本参数,厂商,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2025-11-20,2026-03-02,2025-11-20,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02
基本参数,WLTC纯电续航里程(km),345,345,345,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),452,452,452,665,650,650,750,710
基本参数,电池快充时间(小时),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,最大功率(kW),210,210,210,235,235,235,235,370
基本参数,最大扭矩(N·m),465,465,465,450,450,450,450,640
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,增程器 150马力,增程器 150马力,增程器 150马力,-,-,-,-,-
基本参数,电动机(Ps),286,286,286,320,320,320,320,503
基本参数,长*宽*高(mm),5316*1988*1785,5316*1988*1785,5316*1988*1785,5316*1988*1785,5316*1988*1785,5316*1988*1785,5316*1988*1785,5316*1988*1785
基本参数,官方0-100km/h加速(s),8,8,8,7.7,7.7,7.7,7.7,5.7
基本参数,最高车速(km/h),180,180,180,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.15,0.15,0.15,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.4,6.4,6.4,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,1.89,1.89,1.89,1.85,1.94
基本参数,油电综合燃料消耗量(L/100km),2.53,2.53,2.53,-,-,-,-,-
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),2750,2750,2750,2755,2755,2755,2685,2740
基本参数,最大满载质量(kg),3325,3325,3325,3330,3330,3330,3260,3315
车身,长度(mm),5316,5316,5316,5316,5316,5316,5316,5316
车身,宽度(mm),1988,1988,1988,1988,1988,1988,1988,1988
车身,高度(mm),1785,1785,1785,1785,1785,1785,1785,1785
车身,轴距(mm),3160,3160,3160,3160,3160,3160,3160,3160
车身,前轮距(mm),1688,1688,1688,1688,1688,1688,1688,1688
车身,后轮距(mm),1702,1702,1702,1702,1702,1702,1702,1702
车身,接近角(°),13,13,13,13,13,13,13,13
车身,离去角(°),15,15,15,15,15,15,15,15
车身,最小转弯半径(m),5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),60,60,60,-,-,-,-,-
车身,后备厢容积(L),2514,2514,2514,755-2554,755-2554,755-2554,755-2554,755-2554
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,DAM15NTE,DAM15NTE,DAM15NTE,-,-,-,-,-
发动机,排量(mL),1499,1499,1499,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,-,-,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-
发动机,发动机布局,横置,横置,横置,-,-,-,-,-
发动机,气缸排列形式,L,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,4,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),150,150,150,-,-,-,-,-
发动机,最大功率(kW),110,110,110,-,-,-,-,-
发动机,最大功率转速(rpm),5500,5500,5500,-,-,-,-,-
发动机,最大扭矩(N·m),220,220,220,-,-,-,-,-
发动机,最大扭矩转速(rpm),2500-4000,2500-4000,2500-4000,-,-,-,-,-
发动机,最大净功率(kW),110,110,110,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,-,-,-,-,-
发动机,供油方式,直喷,直喷,直喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,-,-,-,-,-
电动机,前电动机品牌,-,-,-,小鹏智能,小鹏智能,小鹏智能,小鹏智能,小鹏智能
电动机,后电动机品牌,小鹏智能,小鹏智能,小鹏智能,-,-,-,-,小鹏智能
电动机,前电动机型号,-,-,-,TZ230XY01H93X,TZ230XY01H93X,TZ230XY01H93X,TZ230XY01H93X,TZ230XY01H93X
电动机,后电动机型号,TZ230XY01G01X,TZ230XY01G01X,TZ230XY01G01X,-,-,-,-,YS210XY01H93X
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前永磁/同步 后感应/异步
电动机,电动机总功率(kW),210,210,210,235,235,235,235,370
电动机,电动机总马力(Ps),286,286,286,320,320,320,320,503
电动机,电动机总扭矩(N·m),465,465,465,450,450,450,450,640
电动机,前电动机最大功率(kW),-,-,-,235,235,235,235,235
电动机,前电动机最大扭矩(N·m),-,-,-,450,450,450,450,450
电动机,后电动机最大功率(kW),210,210,210,-,-,-,-,135
电动机,后电动机最大扭矩(N·m),465,465,465,-,-,-,-,190
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,后置,前置,前置,前置,前置,前置+后置
