セクション,セクション_ja,項目,項目_ja,2026年モデル 9X 2.0T 自動2WD 豪華型,2026年モデル 9X 2.0T 自動2WD 尊貴型,2026年モデル 9X 2.0T 自動2WD 先導型,2026年モデル 2.0T デュアルクラッチ2WD 快適版,2026年モデル 2.0T デュアルクラッチ2WD 豪華版,2026年モデル 2.0T 自動2WD 輝享版,2026年モデル 2.0T 自動4WD 至高版,2026年モデル 2.0T 自動4WD 旗艦版,2025年モデル 2.0T デュアルクラッチ2WD 快適版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 快適版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 7人乗り,2025年モデル 2.0T 自動2WD 尊享版 5人乗り,2025年モデル 2.0T 自動2WD 尊享版 7人乗り,2025年モデル 2.0T 自動4WD 至高版 5人乗り,2025年モデル 2.0T 自動4WD 至高版 7人乗り,2025年モデル 2.0T 自動4WD 旗艦版 5人乗り,2025年モデル 2.0T 自動4WD 旗艦版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD ブラックウォリアー版 5人乗り,2027年モデル 2.0T 自動4WD上級グレード
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.79万元（日本円 約3,105,900円）","15.79万元（日本円 約3,315,900円）","16.99万元（日本円 約3,567,900円）","15.29万元（日本円 約3,210,900円）","16.29万元（日本円 約3,420,900円）","16.99万元（日本円 約3,567,900円）","18.39万元（日本円 約3,861,900円）","20.39万元（日本円 約4,281,900円）","15.29万元（日本円 約3,210,900円）","15.69万元（日本円 約3,294,900円）","16.29万元（日本円 約3,420,900円）","16.69万元（日本円 約3,504,900円）","17.39万元（日本円 約3,651,900円）","17.79万元（日本円 約3,735,900円）","18.39万元（日本円 約3,861,900円）","18.89万元（日本円 約3,966,900円）","20.39万元（日本円 約4,281,900円）","20.99万元（日本円 約4,407,900円）","15.59万元（日本円 約3,273,900円）",预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"13.29万元（日本円 約2,790,900円）","14.29万元（日本円 約3,000,900円）","15.49万元（日本円 約3,252,900円）","13.29万元（日本円 約2,790,900円）","14.29万元（日本円 約3,000,900円）","14.99万元（日本円 約3,147,900円）","16.39万元（日本円 約3,441,900円）","18.39万元（日本円 約3,861,900円）","13.29万元（日本円 約2,790,900円）","13.69万元（日本円 約2,874,900円）","14.29万元（日本円 約3,000,900円）","14.69万元（日本円 約3,084,900円）","15.39万元（日本円 約3,231,900円）","15.79万元（日本円 約3,315,900円）","16.39万元（日本円 約3,441,900円）","16.89万元（日本円 約3,546,900円）","18.39万元（日本円 約3,861,900円）","18.99万元（日本円 約3,987,900円）","13.59万元（日本円 約2,853,900円）",暂无
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2024-09-25,2025-05-29,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),187,187,187,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),390,390,390,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
基本参数,基本仕様,变速箱,トランスミッション,8速AT,8速AT,8速AT,7速湿式DCT,7速湿式DCT,8速AT,8速AT,8速AT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,7速湿式DCT,8速AT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 254馬力 L4,2.0T 254馬力 L4,2.0T 254馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4817×1930×1729mm,4817×1930×1729mm,4817×1930×1729mm,4820×1930×1699mm,4820×1930×1699mm,4820×1930×1699mm,4820×1930×1699mm,4820×1930×1699mm,4820×1930×1699mm,4820×1930×1710mm,4820×1930×1699mm,4820×1930×1710mm,4820×1930×1699mm,4820×1930×1710mm,4820×1930×1699mm,4820×1930×1710mm,4820×1930×1699mm,4820×1930×1710mm,4820×1930×1699mm,4853×1930×1718mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.8,7.8,7.8,7.5,7.5,7.9,8.5,8.5,7.5,7.5,7.5,7.5,7.9,7.9,8.5,8.5,8.5,8.5,7.5,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1725,1725,1725,1719,1719,1766,1832,1832,1719,1719,1719,1719,1766,1766,1832,1832,1832,1832,1719,1779
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2351,2351,2351,2359,2359,2445,2445,2445,2359,2359,2359,2359,2445,2445,2445,2445,2445,2445,2359,2356
