セクション,項目,极狐 阿尔法T5 2026款 增程 1215 悦享版,极狐 阿尔法T5 2026款 增程 1215 睿享版,极狐 阿尔法T5 2026款 增程 1215 元境智行版,极狐 阿尔法T5 2026款 纯电 560 睿享版 360N·m,极狐 阿尔法T5 2026款 纯电 560 元境智行版,极狐 阿尔法T5 2026款 纯电 660 元境神行版,极狐 阿尔法T5 2026款 纯电 705 元境智行版,极狐 阿尔法T5 2026款 纯电 560 睿享版 320N·m
,厂商指导价(元),11.38万 计算器,11.98万 计算器,13.18万 计算器,12.38万 计算器,13.58万 计算器,15.18万 计算器,15.88万 计算器,12.38万 计算器
,经销商报价,10.48万起,11.08万起,12.28万起,11.28万起,12.48万起,14.08万起,14.78万起,11.28万起
基本参数,厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2025-10-28,2025-10-28,2025-10-28,2026-04-08,2025-10-28,2025-10-28,2025-10-28,2025-10-28
基本参数,WLTC纯电续航里程(km),163,163,163,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),215,215,215,560,560,660,705,560
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.15,0.28,0.25
基本参数,电池慢充时间(小时),4,4,4,11.3,11.3,12.5,12.9,11.3
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),-,-,-,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),200,200,200,185,185,200,200,185
基本参数,最大扭矩(N·m),365,365,365,360,320,360,360,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 105马力,增程器 105马力,增程器 105马力,-,-,-,-,-
基本参数,电动机(Ps),272,272,272,252,252,272,272,252
基本参数,长*宽*高(mm),4760*1936*1650,4760*1936*1650,4760*1936*1650,4760 *1936 *1650,4760 *1936 *1650,4760 *1936 *1650,4760 *1936 *1650,4760 *1936 *1650
基本参数,官方0-100km/h加速(s),6.5,6.5,6.5,7.5,7.5,7.5,7.5,7.5
基本参数,官方0-50km/h加速(s),-,-,-,3.5,3.5,3.5,3.5,3.5
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.57,0.57,0.57,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.18,5.18,5.18,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),1.92,1.92,1.92,1.57,1.57,1.53,1.52,1.57
基本参数,整车质保,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),1970,1970,1970,1955,1955,2025,1975,1955
基本参数,最大满载质量(kg),2420,2420,2420,2405,2405,2475,2425,2405
车身,长度(mm),4760,4760,4760,4760,4760,4760,4760,4760
车身,宽度(mm),1936,1936,1936,1936,1936,1936,1936,1936
车身,高度(mm),1650,1650,1650,1650,1650,1650,1650,1650
车身,轴距(mm),2845,2845,2845,2845,2845,2845,2845,2845
车身,前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640
车身,后轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640
车身,接近角(°),17,17,17,17,17,17,17,17
车身,离去角(°),21,21,21,21,21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,47,47,-,-,-,-,-
车身,后备厢容积(L),400-1546,400-1546,400-1546,400-1546,400-1546,400-1546,400-1546,400-1546
车身,风阻系数(Cd),0.268,0.268,0.268,0.243,0.243,0.243,0.243,0.243
发动机,发动机型号,A156A1,A156A1,A156A1,-,-,-,-,-
发动机,排量(mL),1498,1498,1498,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,-,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,-,-,-,-,-
发动机,发动机布局,横置,横置,横置,-,-,-,-,-
发动机,气缸排列形式,L,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,4,-,-,-,-,-
发动机,压缩比,14:1,14:1,14:1,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),105,105,105,-,-,-,-,-
发动机,最大功率(kW),77,77,77,-,-,-,-,-
发动机,最大功率转速(rpm),6000,6000,6000,-,-,-,-,-
发动机,最大扭矩(N·m),132,132,132,-,-,-,-,-
发动机,最大扭矩转速(rpm),4500,4500,4500,-,-,-,-,-
发动机,最大净功率(kW),71,71,71,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,-,-,-,-,-
电动机,前电动机品牌,-,-,-,北京新能源汽车,北京新能源汽车,北京新能源汽车,北京新能源汽车,北京新能源汽车
电动机,后电动机品牌,北京新能源汽车,北京新能源汽车,北京新能源汽车,-,-,-,-,-
