セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 1215 悦享版,2026年モデル 増程 1215 睿享版,2026年モデル 増程 1215 元境智行版,2026年モデル 純電 560 睿享版,2026年モデル 純電 560 元境智行版,2026年モデル 純電 660 元境神行版,2026年モデル 純電 705 元境智行版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.38万元（日本円 約2,389,800円）","11.98万元（日本円 約2,515,800円）","13.18万元（日本円 約2,767,800円）","12.38万元（日本円 約2,599,800円）","13.58万元（日本円 約2,851,800円）","15.18万元（日本円 約3,187,800円）","15.88万元（日本円 約3,334,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.98万元（日本円 約2,305,800円）","11.58万元（日本円 約2,431,800円）","12.78万元（日本円 約2,683,800円）","11.98万元（日本円 約2,515,800円）","13.18万元（日本円 約2,767,800円）","14.78万元（日本円 約3,103,800円）","15.48万元（日本円 約3,250,800円）"
基本参数,基本仕様,厂商,メーカー,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),163,163,163,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),215,215,215,560,560,660,705
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.15,0.28
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),4,4,4,11.3,11.3,12.5,12.9
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),-,-,-,0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),200,200,200,185,185,200,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),365,365,365,320,320,360,360
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 105馬力,レンジエクステンダー 105馬力,レンジエクステンダー 105馬力,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),272,272,272,252,252,272,272
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4760×1936×1650mm,4760×1936×1650mm,4760×1936×1650mm,4760×1936×1650mm,4760×1936×1650mm,4760×1936×1650mm,4760×1936×1650mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.5,6.5,6.5,7.5,7.5,7.5,7.5
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),-,-,-,3.5,3.5,3.5,3.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.57,0.57,0.57,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,5.18,5.18,5.18,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.92,1.92,1.92,1.57,1.57,1.53,1.52
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1970,1970,1970,1955,1955,2025,1975
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2420,2420,2420,2405,2405,2475,2425
车身,車体,长度(mm),全長(mm),4760,4760,4760,4760,4760,4760,4760
车身,車体,宽度(mm),全幅(mm),1936,1936,1936,1936,1936,1936,1936
车身,車体,高度(mm),全高(mm),1650,1650,1650,1650,1650,1650,1650
车身,車体,轴距(mm),ホイールベース(mm),2845,2845,2845,2845,2845,2845,2845
车身,車体,前轮距(mm),前トレッド(mm),1640,1640,1640,1640,1640,1640,1640
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1640,1640,1640,1640,1640
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),47,47,47,-,-,-,-
车身,車体,后备厢容积(L),トランク容量(L),400-1546,400-1546,400-1546,400-1546,400-1546,400-1546,400-1546
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.268,0.268,0.268,0.243,0.243,0.243,0.243
发动机,エンジン,发动机型号,エンジン型式,A156A1,A156A1,A156A1,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,-,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,-,-,-,-
发动机,エンジン,压缩比,圧縮比,14:1,14:1,14:1,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),105,105,105,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),77,77,77,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),132,132,132,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4500,4500,4500,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),71,71,71,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
电动机,モーター,前电动机品牌,前モーター ブランド,-,-,-,北京新能源汽車,北京新能源汽車,北京新能源汽車,北京新能源汽車
电动机,モーター,后电动机品牌,後モーター ブランド,北京新能源汽車,北京新能源汽車,北京新能源汽車,-,-,-,-
电动机,モーター,前电动机型号,前モーター 型番,-,-,-,TZ220XS646,TZ220XS646,TZ220XS646,TZ220XS646
电动机,モーター,后电动机型号,後モーター 型番,TZ220XS504,TZ220XS504,TZ220XS504,-,-,-,-
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),200,200,200,185,185,200,200
电动机,モーター,电动机总马力(Ps),モーター合計馬力(Ps),272,272,272,252,252,272,272
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),365,365,365,320,320,360,360
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,185,185,200,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,320,320,360,360
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),200,200,200,-,-,-,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),365,365,365,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前置,前置,前置,前置
电动机,モーター,三电系统质保,三電システム保証,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）,● 生涯保証／非営業用（免責条項は公式に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,オーロラ電池,オーロラ電池,オーロラ電池,オーロラ電池,オーロラ電池,シェンシン電池,オーロラ電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,-,-,-,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),163,163,163,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),215,215,215,560,560,660,705
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1070,1070,1070,-,-,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1215,1215,1215,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),27.4,27.4,27.4,64.8,64.8,74.4,79.2
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),137.7,137.7,137.7,136,136,137.5,182
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.5,16.5,16.5,13.5,13.5,13.2,13.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,-,215,215,370,230
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,-,-,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,-,-,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.15,0.28
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),4,4,4,11.3,11.3,12.5,12.9
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),-,-,-,0-100,0-100,0-100,0-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),-,3.3,3.3,3.3,3.3,3.3,3.3
