セクション,項目,红旗HS3 2025款 1.5T 志为版,红旗HS3 2025款 1.5T 善为版,红旗HS3 2024款 1.5T 勇为版,红旗HS3 2024款 1.5T 志为版,红旗HS3 2024款 1.5T 善为版,红旗HS3 2024款 2.0T 可为版
,厂商指导价(元),14.98万 计算器,15.98万 计算器,14.58万 计算器,14.98万 计算器,15.98万 计算器,17.28万 计算器
,经销商报价,10.48万起,11.48万起,10.08万起,10.48万起,11.48万起,12.78万起
基本参数,厂商,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-12-05,2025-12-05,2024-08-22,2024-08-22,2024-08-22,2024-08-22
基本参数,最大功率(kW),124,124,124,124,124,185
基本参数,最大扭矩(N·m),258,258,258,258,258,380
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 169马力 L4,1.5T 169马力 L4,1.5T 169马力 L4,1.5T 169马力 L4,1.5T 169马力 L4,2.0T 252马力 L4
基本参数,长*宽*高(mm),4655*1900*1668,4655*1900*1668,4655*1900*1668,4655*1900*1668,4655*1900*1668,4655*1900*1668
基本参数,官方0-100km/h加速(s),9.9,9.9,9.9,9.9,9.9,7.2
基本参数,最高车速(km/h),195,195,195,195,195,220
基本参数,WLTC综合油耗(L/100km),6.8,6.8,6.8,6.8,6.8,7.3
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),1660,1660,1660,1660,1660,1710
基本参数,最大满载质量(kg),2110,2110,2110,2110,2110,2160
车身,长度(mm),4655,4655,4655,4655,4655,4655
车身,宽度(mm),1900,1900,1900,1900,1900,1900
车身,高度(mm),1668,1668,1668,1668,1668,1668
车身,轴距(mm),2770,2770,2770,2770,2770,2770
车身,前轮距(mm),1629,1629,1629,1629,1629,1624
车身,后轮距(mm),1634,1634,1634,1634,1634,1630
车身,接近角(°),20,20,20,20,20,20
车身,离去角(°),24,24,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),64,64,64,64,64,64
车身,后备厢容积(L),436-1484,436-1484,436-1484,436-1484,436-1484,436-1484
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,CA4GB15TD-30,CA4GB15TD-30,CA4GB15TD-30,CA4GB15TD-30,CA4GB15TD-30,CA4GC20TD-35
发动机,排量(mL),1498,1498,1498,1498,1498,1989
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),169,169,169,169,169,252
发动机,最大功率(kW),124,124,124,124,124,185
发动机,最大功率转速(rpm),-,-,-,-,-,-
发动机,最大扭矩(N·m),258,258,258,258,258,380
发动机,最大扭矩转速(rpm),-,-,-,-,-,-
发动机,最大净功率(kW),118,118,118,118,118,180
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体
变速箱,挡位个数,7,7,7,7,7,8
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,"● 235/55 R19
○ 235/50 R20"
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,"● 235/55 R19
○ 235/50 R20"
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,-,-,●,●
主动安全,主动刹车/主动安全系统,-,●,-,-,●,●
主动安全,疲劳驾驶提示,-,●,-,-,●,●
主动安全,DOW开门预警,-,●,-,-,●,●
主动安全,前方碰撞预警,-,●,-,-,●,●
主动安全,后方碰撞预警,-,●,-,-,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,-,-,●,●
驾驶硬件,前方感知摄像头,-,● 单目,-,-,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 5个,● 1个,● 1个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 4个,● 8个,● 4个,● 4个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,-,● 2个,-,-,● 2个,● 2个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,● L2,-,-,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,●,-,-,●,●
驾驶功能,车道保持辅助系统,-,●,-,-,●,●
