セクション,項目,豹5 2025款 125KM 天神智驾Max版,豹5 2025款 125KM 天神智驾Ultra版,豹5 2025款 210KM 天神Ultra版,豹5 2025款 210KM 云辇天神Ultra版,豹5 2025款 210KM 乾崑Ultra版,豹5 2025款 210KM 云辇乾崑Ultra+版,豹5 2025款 激光乾崑智驾版,豹5 2025款 云辇激光乾崑智驾版
,厂商指导价(元),23.98万 计算器,25.98万 计算器,26.98万 计算器,27.98万 计算器,29.48万 计算器,32.98万 计算器,28.48万 计算器,32.98万 计算器
,经销商报价,23.98万起,25.98万起,26.98万起,27.98万起,29.48万起,32.98万起,28.48万起,32.98万起
基本参数,厂商,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-02-21,2025-02-21,2025-10-20,2025-10-20,2025-10-20,2025-10-20,2025-02-21,2025-02-21
基本参数,WLTC纯电续航里程(km),100,100,160,160,160,160,100,100
基本参数,CLTC纯电续航里程(km),125,125,210,210,210,210,125,125
基本参数,电池快充时间(小时),0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.27
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),505,505,505,505,505,505,505,505
基本参数,最大扭矩(N·m),760,760,760,760,760,760,760,760
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4
基本参数,电动机(Ps),660,660,660,660,660,660,660,660
基本参数,长*宽*高(mm),4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920
基本参数,官方0-100km/h加速(s),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.79,1.79,1.23,1.23,1.23,1.23,1.79,1.79
