セクション,セクション_ja,項目,項目_ja,2025年モデル 125KM 天神智驾Max版,2025年モデル 125KM 天神智驾Ultra版,2025年モデル 210KM 天神Ultra版,2025年モデル 210KM 雲輦天神Ultra版,2025年モデル 210KM 乾崑Ultra版,2025年モデル 210KM 雲輦乾崑Ultra+版,2025年モデル レーザー乾崑智駕版,2025年モデル 雲輦レーザー乾崑智駕版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"23.98万元（日本円 約5,035,800円）","25.98万元（日本円 約5,455,800円）","26.98万元（日本円 約5,665,800円）","27.98万元（日本円 約5,875,800円）","29.48万元（日本円 約6,190,800円）","32.98万元（日本円 約6,925,800円）","28.48万元（日本円 約5,980,800円）","32.98万元（日本円 約6,925,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"23.98万元（日本円 約5,035,800円）","25.98万元（日本円 約5,455,800円）","26.98万元（日本円 約5,665,800円）","27.98万元（日本円 約5,875,800円）","29.48万元（日本円 約6,190,800円）","32.98万元（日本円 約6,925,800円）","28.48万元（日本円 約5,980,800円）","32.98万元（日本円 約6,925,800円）"
基本参数,基本仕様,厂商,メーカー,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-02-21,2025-02-21,2025-10-20,2025-10-20,2025-10-20,2025-10-20,2025-02-21,2025-02-21
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),100,100,160,160,160,160,100,100
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),125,125,210,210,210,210,125,125
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.27
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),505,505,505,505,505,505,505,505
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),760,760,760,760,760,760,760,760
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 194馬力 L4,1.5T 194馬力 L4,1.5T 194馬力 L4,1.5T 194馬力 L4,1.5T 194馬力 L4,1.5T 194馬力 L4,1.5T 194馬力 L4,1.5T 194馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),660,660,660,660,660,660,660,660
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4890×1970×1920,4890×1970×1920,4890×1970×1920,4890×1970×1920,4890×1970×1920,4890×1970×1920,4890×1970×1920,4890×1970×1920
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.79,1.79,1.23,1.23,1.23,1.23,1.79,1.79
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,8.85,8.85,8.43,8.43,8.43,8.43,8.85,8.85
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),4.52,4.52,4.14,4.14,4.14,4.14,4.52,4.52
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2998,2998,2950,3040,2950,3040,2998,2998
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3373,3373,3450,3490,3450,3490,3373,3373
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総質量(kg),2500,2500,2500,2500,2500,2500,2500,2500
车身,車体,长度(mm),全長(mm),4890,4890,4890,4890,4890,4890,4890,4890
车身,車体,宽度(mm),全幅(mm),1970,1970,1970,1970,1970,1970,1970,1970
车身,車体,高度(mm),全高(mm),1920,1920,1920,1920,1920,1920,1920,1920
车身,車体,轴距(mm),ホイールベース(mm),2800,2800,2800,2800,2800,2800,2800,2800
车身,車体,前轮距(mm),前トレッド(mm),1660,1660,1660,1660,1660,1660,1660,1660
车身,車体,后轮距(mm),後トレッド(mm),1660,1660,1660,1660,1660,1660,1660,1660
车身,車体,满载最小离地间隙(mm),満載時最小最低地上高(mm),220,220,220,310,220,310,220,310
车身,車体,接近角(°),アプローチアングル(°),35,35,35,35,35,35,35,39
车身,車体,离去角(°),デパーチャーアングル(°),32,32,31,31,31,31,32,35
车身,車体,纵向通过角(°),ランプブレークオーバーアングル(°),20,20,20,20,20,20,20,20
