セクション,項目,英仕派新能源 2025款 e:PHEV 智耀版,
,厂商指导价(元),26.88万 计算器,–
,经销商报价,20.78万起,–
基本参数,厂商,东风本田,–
基本参数,级别,中型车,–
基本参数,能源类型,插电式混合动力,–
基本参数,环保标准,国VI,–
基本参数,上市时间,2025-06-18,–
基本参数,NEDC纯电续航里程(km),106,–
基本参数,WLTC纯电续航里程(km),82,–
基本参数,最大功率(kW),-,–
基本参数,最大扭矩(N·m),-,–
基本参数,变速箱,E-CVT无级变速,–
基本参数,车身结构,4门5座三厢车,–
基本参数,发动机,2.0L 148马力 L4,–
基本参数,电动机(Ps),184,–
基本参数,长*宽*高(mm),4979*1862*1449,–
基本参数,官方0-100km/h加速(s),-,–
基本参数,最高车速(km/h),174,–
基本参数,WLTC综合油耗(L/100km),1.29,–
基本参数,最低荷电状态油耗(L/100km)WLTC,4.88,–
基本参数,油电综合燃料消耗量(L/100km),3.03,–
基本参数,整车质保,● 三年或10万公里,–
基本参数,整备质量(kg),1798,–
基本参数,最大满载质量(kg),2260,–
车身,长度(mm),4979,–
车身,宽度(mm),1862,–
车身,高度(mm),1449,–
车身,轴距(mm),2830,–
车身,前轮距(mm),1591,–
车身,后轮距(mm),1613,–
车身,接近角(°),14,–
车身,离去角(°),18,–
车身,最小转弯半径(m),5.75,–
车身,车身结构,三厢车,–
车身,车门开启方式,平开门,–
车身,车门数(个),● 4,–
车身,座位数(个),● 5,–
车身,油箱容积(L),43,–
车身,后备厢容积(L),-,–
车身,风阻系数(Cd),-,–
发动机,发动机型号,LFB16,–
发动机,排量(mL),1993,–
发动机,排量(L),2.0,–
发动机,进气形式,自然吸气,–
发动机,发动机布局,横置,–
发动机,气缸排列形式,L,–
发动机,气缸数(个),4,–
发动机,每缸气门数(个),4,–
发动机,压缩比,13.9,–
发动机,配气机构,DOHC,–
发动机,最大马力(Ps),148,–
发动机,最大功率(kW),109,–
发动机,最大功率转速(rpm),6100,–
发动机,最大扭矩(N·m),182,–
发动机,最大扭矩转速(rpm),4500,–
发动机,最大净功率(kW),109,–
发动机,发动机特有技术,阿特金森循环,–
发动机,能源类型,插电式混合动力,–
发动机,燃油标号,92号,–
发动机,供油方式,直喷,–
发动机,缸盖材料,铝合金,–
发动机,缸体材料,铝合金,–
发动机,环保标准,国VI,–
电动机,前电动机型号,TZ268XYAH6,–
电动机,电机类型,永磁/同步,–
电动机,电动机总功率(kW),135,–
电动机,电动机总马力(Ps),184,–
电动机,电动机总扭矩(N·m),335,–
电动机,前电动机最大功率(kW),135,–
电动机,前电动机最大扭矩(N·m),335,–
电动机,驱动电机数,单电机,–
电动机,电机布局,前置,–
电池/充电,电池类型,● 锂离子电池,–
电池/充电,电芯品牌,● 宁德时代,–
电池/充电,电池冷却方式,液冷,–
电池/充电,NEDC纯电续航里程(km),106,–
电池/充电,WLTC纯电续航里程(km),82,–
电池/充电,WLTC综合续航(km),963,–
电池/充电,电池能量(kWh),17.7,–
电池/充电,百公里耗电量(kWh/100km),15.0,–
电池/充电,电池组质保,● 八年或15万公里,–
电池/充电,慢充接口位置,车左前侧,–
变速箱,简称,E-CVT无级变速,–
变速箱,挡位个数,无级变速,–
变速箱,变速箱类型,电子无级变速箱(E-CVT),–
底盘转向,驱动方式,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,–
底盘转向,车体结构,承载式,–
车轮制动,前制动器类型,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,–
车轮制动,前轮胎规格,● 235/45 R18,–
车轮制动,后轮胎规格,● 235/45 R18,–
车轮制动,备胎规格,● 无,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后 ●,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,–
被动安全,膝部气囊,"● 主驾膝部气囊
● 副驾膝部气囊",–
被动安全,被动行人保护,●,–
主动安全,ABS防抱死,●,–
主动安全,制动力分配(EBD/CBC等),●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,–
主动安全,胎压监测功能,● 胎压报警,–
主动安全,安全带未系提醒,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,–
主动安全,车道偏离预警系统,●,–
主动安全,主动刹车/主动安全系统,●,–
主动安全,疲劳驾驶提示,●,–
主动安全,前方碰撞预警,●,–
主动安全,低速行车警告,●,–
主动安全,内置行车记录仪,●,–
主动安全,道路救援呼叫,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化",–
驾驶操控,自动驻车,●,–
驾驶操控,上坡辅助,●,–
驾驶操控,可变悬架功能,● 悬架软硬调节,–
驾驶操控,可变转向比,●,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像",–
驾驶硬件,摄像头数量,● 8个,–
驾驶硬件,超声波雷达数量,● 12个,–
驾驶硬件,毫米波雷达数量,● 5个,–
驾驶功能,巡航系统,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● Honda SENSING 360,–
驾驶功能,辅助驾驶等级,● L2,–
驾驶功能,倒车车侧预警系统,●,–
驾驶功能,卫星导航系统,●,–
驾驶功能,导航路况信息显示,●,–
驾驶功能,并线辅助,●,–
驾驶功能,车道保持辅助系统,●,–
驾驶功能,车道居中保持,●,–
驾驶功能,道路交通标识识别,●,–
驾驶功能,辅助泊车入位,●,–
驾驶功能,辅助变道,●,–
驾驶功能,辅助匝道自动驶出(入),●,–
驾驶功能,辅助驾驶路段,● 高速路段,–
外观/防盗,轮圈材质,● 铝合金,–
外观/防盗,发动机电子防盗,●,–
外观/防盗,车内中控锁,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙",–
外观/防盗,无钥匙启动系统,●,–
外观/防盗,无钥匙进入功能,● 前排,–
外观/防盗,远程启动功能,●,–
车外灯光,近光灯光源,● LED,–
车外灯光,远光灯光源,● LED,–
车外灯光,LED日间行车灯,●,–
车外灯光,自适应远近光,●,–
车外灯光,自动头灯,●,–
车外灯光,转向辅助灯,●,–
车外灯光,车前雾灯,-,–
车外灯光,大灯高度可调,●,–
