セクション,項目,大众ID.7 VIZZION 2024款 AIR,大众ID.7 VIZZION 2024款 首发版,大众ID.7 VIZZION 2024款 PRO,大众ID.7 VIZZION 2024款 PRIME
,厂商指导价(元),22.7777万 计算器,23.0777万 计算器,23.7777万 计算器,26.2777万 计算器
,经销商报价,15.99万起,17.08万起,16.69万起,20.28万起
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2023-12-15,2023-12-15,2023-12-15,2023-12-15
基本参数,CLTC纯电续航里程(km),642,642,642,570
基本参数,最大功率(kW),150,150,150,230
基本参数,最大扭矩(N·m),310,310,310,472
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,电动机(Ps),204,204,204,313
基本参数,长*宽*高(mm),4956*1862*1537,4956*1862*1537,4956*1862*1537,4956*1862*1537
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,最高车速(km/h),155,155,155,155
基本参数,电能当量燃料消耗量(L/100km),1.55,1.55,1.55,1.74
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2122,2122,2122,2232
基本参数,最大满载质量(kg),2590,2590,2590,2700
车身,长度(mm),4956,4956,4956,4956
车身,宽度(mm),1862,1862,1862,1862
车身,高度(mm),1537,1537,1537,1537
车身,轴距(mm),2965,2965,2965,2965
车身,前轮距(mm),1598,1598,1598,1598
车身,后轮距(mm),1575,1575,1575,1575
车身,接近角(°),15,15,15,15
车身,离去角(°),15,15,15,15
车身,车身结构,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),521,521,521,521
车身,风阻系数(Cd),0.23,0.23,0.23,0.23
电动机,前电动机型号,-,-,-,EDX
电动机,后电动机型号,EDV,EDV,EDV,EDV
