セクション,項目,长安启源A07 2026款 超长蓝鲸增程版 310豪华型,长安启源A07 2026款 超长蓝鲸增程版 310旗舰型,长安启源A07 2026款 超长蓝鲸纯电版 730豪华型,长安启源A07 2026款 超长蓝鲸纯电版 730旗舰型,长安启源A07 2026款 550优享型,长安启源A07 2025款 增程 真香版 230 豪华版,长安启源A07 2025款 蓝鲸增程版 140精英型,长安启源A07 2025款 蓝鲸增程版 230尊贵型,长安启源A07 2025款 蓝鲸增程版 230旗舰型,长安启源A07 2025款 蓝鲸纯电版 515典藏型,长安启源A07 2025款 蓝鲸纯电版 525豪华型,长安启源A07 2025款 蓝鲸纯电版 525旗舰型,长安启源A07 2025款 蓝鲸纯电版 625豪华型,长安启源A07 2025款 蓝鲸纯电版 625旗舰型,长安启源A07 2025款 蓝鲸纯电版 710旗舰型
,厂商指导价(元),13.99万 计算器,14.99万 计算器,14.99万 计算器,15.99万 计算器,16.59万 计算器,13.99万 计算器,13.59万 计算器,14.59万 计算器,15.19万 计算器,11.99万 计算器,13.59万 计算器,14.59万 计算器,14.29万 计算器,15.39万 计算器,15.99万 计算器
,经销商报价,13.39万起,14.39万起,14.39万起,15.39万起,16.59万起,12.19万起,11.59万起,12.59万起,13.59万起,11.99万起,12.59万起,13.59万起,13.29万起,14.39万起,14.99万起
基本参数,厂商,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-,-,-
基本参数,上市时间,2025-09-10,2025-09-10,2025-09-10,2025-09-10,2025-09-22,2024-10-18,2025-02-11,2025-02-11,2025-02-11,2025-02-11,2025-02-11,2025-02-11,2025-02-11,2025-02-11,2025-02-11
基本参数,WLTC纯电续航里程(km),225,225,-,-,-,170,100,175,175,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),310,310,730,730,550,230,140,230,230,515,525,525,625,625,710
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.42,0.25,0.25,0.25,0.25,0.58
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),200,200,190,190,200,160,175,160,160,190,190,190,190,190,160
基本参数,最大扭矩(N·m),290,290,290,290,290,320,320,320,320,320,320,320,320,320,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,增程器 98马力,增程器 98马力,-,-,-,增程器 95马力,增程器 95马力,增程器 98马力,增程器 98马力,-,-,-,-,-,-
基本参数,电动机(Ps),272,272,258,258,272,218,238,218,218,258,258,258,258,258,218
基本参数,长*宽*高(mm),4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480
基本参数,官方0-100km/h加速(s),6.7,6.7,6.9,6.9,6.5,7.8,7.9,7.6,7.6,6.1,6.9,6.9,7.3,7.3,7.1
基本参数,最高车速(km/h),172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
基本参数,WLTC综合油耗(L/100km),0.73,0.73,-,-,-,0.75,1.15,0.73,0.73,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.48,4.48,-,-,-,5.0,4.90,4.70,4.70,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.57,3.57,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,-,-,-,-,-,4.5,4.5,3.94,3.94,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,1.45,1.45,1.39,-,-,-,-,1.39,1.45,1.45,1.47,1.47,1.46
基本参数,油电综合燃料消耗量(L/100km),2.56,2.56,-,-,-,2.55,2.80,2.52,2.52,-,-,-,-,-,-
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,-,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或15万公里
基本参数,整备质量(kg),1875,1875,1925,1925,1805,1810,1770,1845,1845,1755,1835,1835,1910,1910,1900
基本参数,最大满载质量(kg),2325,2325,2350,2350,2265,2255,2165,2275,2275,2190,2265,2265,2325,2325,2325
车身,长度(mm),4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905
车身,宽度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,高度(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
车身,轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,接近角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
车身,离去角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,-,-,-,45,45,45,45,-,-,-,-,-,-
车身,前备厢容积(L),-,-,74,74,74,-,-,-,-,74,74,74,74,74,74
车身,后备厢容积(L),450-1100,450-1100,475-1125,475-1125,475-1125,450-1100,450-1100,450-1100,450-1100,475-1125,475-1125,475-1125,475-1125,475-1125,475-1125
车身,风阻系数(Cd),0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
发动机,发动机型号,JL469Q1,JL469Q1,-,-,-,JL473QJ,JL473QJ,JL469Q1,JL469Q1,-,-,-,-,-,-
发动机,排量(mL),1497,1497,-,-,-,1480,1480,1497,1497,-,-,-,-,-,-
发动机,排量(L),1.5,1.5,-,-,-,1.5,1.5,1.5,1.5,-,-,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,-,-,-,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,-,-
发动机,发动机布局,横置,横置,-,-,-,横置,横置,横置,横置,-,-,-,-,-,-
发动机,气缸排列形式,L,L,-,-,-,L,L,L,L,-,-,-,-,-,-
发动机,气缸数(个),4,4,-,-,-,4,4,4,4,-,-,-,-,-,-
发动机,每缸气门数(个),4,4,-,-,-,4,4,4,4,-,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-
发动机,最大马力(Ps),98,98,-,-,-,95,95,98,98,-,-,-,-,-,-
发动机,最大功率(kW),72,72,-,-,-,70,70,72,72,-,-,-,-,-,-
发动机,最大功率转速(rpm),5600,5600,-,-,-,-,-,5600,5600,-,-,-,-,-,-
