セクション,項目,坦克300新能源 2025款 Hi4-T 37.1kWh,坦克300新能源 2025款 Hi4-T 36.7kWh,
,厂商指导价(元),24.98万 计算器,24.98万 计算器,–
,经销商报价,暂无报价,暂无报价,–
基本参数,厂商,长城汽车,长城汽车,–
基本参数,级别,紧凑型SUV,紧凑型SUV,–
基本参数,能源类型,插电式混合动力,插电式混合动力,–
基本参数,环保标准,国VI,国VI,–
基本参数,上市时间,2025-03-10,2025-12-04,–
基本参数,WLTC纯电续航里程(km),105,105,–
基本参数,电池快充时间(小时),0.4,0.27,–
基本参数,电池慢充时间(小时),6.5,6.5,–
基本参数,电池快充电量范围(%),30-80,30-80,–
基本参数,电池慢充电量范围(%),10-97,10-97,–
基本参数,最大功率(kW),300,310,–
基本参数,最大扭矩(N·m),750,750,–
基本参数,变速箱,9挡手自一体,9挡手自一体,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,发动机,2.0T 252马力 L4,2.0T 252马力 L4,–
基本参数,电动机(Ps),163,177,–
基本参数,长*宽*高(mm),4750*1930*1903,4750*1930*1903,–
基本参数,官方0-100km/h加速(s),6.7,6.7,–
基本参数,最高车速(km/h),180,180,–
基本参数,WLTC综合油耗(L/100km),2.06,2.88,–
基本参数,最低荷电状态油耗(L/100km)WLTC,8.8,8.4,–
基本参数,油电综合燃料消耗量(L/100km),4.82,5.57,–
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,–
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,–
基本参数,整备质量(kg),2645,2645,–
基本参数,最大满载质量(kg),3085,3085,–
基本参数,准拖挂车总质量(kg),2500,2500,–
车身,长度(mm),4750,4750,–
车身,宽度(mm),1930,1930,–
车身,高度(mm),1903,1903,–
车身,轴距(mm),2750,2750,–
车身,前轮距(mm),1608,1608,–
车身,后轮距(mm),1608,1608,–
车身,空载最小离地间隙(mm),222,222,–
车身,接近角(°),32,32,–
车身,离去角(°),33,33,–
车身,纵向通过角(°),22,22,–
车身,最大涉水深度(mm),700,700,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,油箱容积(L),70,70,–
车身,后备厢容积(L),-,-,–
车身,风阻系数(Cd),-,-,–
发动机,发动机型号,E20NB,E20NB,–
发动机,排量(mL),1998,1998,–
发动机,排量(L),2.0,2.0,–
发动机,进气形式,涡轮增压,涡轮增压,–
发动机,发动机布局,纵置,纵置,–
发动机,气缸排列形式,L,L,–
发动机,气缸数(个),4,4,–
发动机,每缸气门数(个),4,4,–
发动机,配气机构,DOHC,DOHC,–
发动机,最大马力(Ps),252,252,–
发动机,最大功率(kW),185,185,–
发动机,最大功率转速(rpm),6000,6000,–
发动机,最大扭矩(N·m),385,385,–
发动机,最大扭矩转速(rpm),1700-4000,1700-4000,–
发动机,最大净功率(kW),180,180,–
发动机,能源类型,插电式混合动力,插电式混合动力,–
发动机,燃油标号,92号,92号,–
发动机,供油方式,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),120,130,–
电动机,电动机总马力(Ps),163,177,–
电动机,电动机总扭矩(N·m),400,495,–
电动机,前电动机最大功率(kW),120,130,–
电动机,前电动机最大扭矩(N·m),400,495,–
电动机,系统综合功率(kW),300,310,–
电动机,系统综合马力(Ps),408,422,–
电动机,系统综合扭矩(N·m),750,750,–
电动机,驱动电机数,单电机,单电机,–
电动机,电机布局,前置,前置,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,● 蜂巢能源,● 宁德时代,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),105,105,–
电池/充电,WLTC综合续航(km),860,-,–
电池/充电,电池能量(kWh),37.1,36.7,–
电池/充电,百公里耗电量(kWh/100km),27.6,26.1,–
电池/充电,快充功能,支持,支持,–
电池/充电,快充功率(kW),50,-,–
电池/充电,电池快充时间(小时),0.4,0.27,–
电池/充电,电池快充电量范围(%),30-80,30-80,–
电池/充电,电池慢充时间(小时),6.5,6.5,–
电池/充电,电池慢充电量范围(%),10-97,10-97,–
电池/充电,慢充接口位置,车右后侧,车右后侧,–
电池/充电,快充接口位置,车右后侧,车右后侧,–
电池/充电,对外交流放电功率(kW),6,6,–
变速箱,简称,9挡手自一体,9挡手自一体,–
变速箱,挡位个数,9,9,–
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),–
底盘转向,驱动方式,● 前置四驱,● 前置四驱,–
底盘转向,四驱形式,● 分时四驱,● 分时四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆非独立悬架,● 多连杆非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,非承载式,非承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 265/60 R18,● 265/60 R18,–
车轮制动,后轮胎规格,● 265/60 R18,● 265/60 R18,–
车轮制动,备胎规格,● 全尺寸,● 全尺寸,–
车轮制动,备胎放置方式,● 背负式,● 背负式,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,●,●,–
主动安全,DOW开门预警,●,●,–
主动安全,前方碰撞预警,●,●,–
主动安全,后方碰撞预警,●,●,–
主动安全,哨兵模式/千里眼,●,●,–
