セクション,項目,福特烈马 2026款 2.3T 远湾,福特烈马 2026款 2.3T 墨钻,福特烈马 2026款 2.3T 墨钻大脚越野版,福特烈马 2026款 2.3T 长滩,福特烈马 2026款 2.3T 长滩大脚越野版,福特烈马 2026款 2.3T 荒地,福特烈马 2025款 2.3T 1966标准版,福特烈马 2025款 2.3T 1966大脚版,福特烈马 2025款 2.3T 大沙丘限量定制版,福特烈马 2024款 2.3T 远湾,福特烈马 2024款 2.3T 墨钻,福特烈马 2024款 2.3T 墨钻大脚越野版,福特烈马 2024款 2.3T 长滩,福特烈马 2024款 2.3T 长滩大脚越野版,福特烈马 2024款 2.3T 荒地
,厂商指导价(元),29.98万 计算器,31.58万 计算器,36.58万 计算器,33.78万 计算器,38.78万 计算器,39.98万 计算器,38.66万 计算器,43.66万 计算器,49.88万 计算器,29.98万 计算器,31.58万 计算器,36.58万 计算器,33.78万 计算器,38.78万 计算器,39.98万 计算器
,经销商报价,29.98万起,31.58万起,36.58万起,33.78万起,38.78万起,39.98万起,38.66万起,43.66万起,49.88万起,29.98万起,31.58万起,36.58万起,33.78万起,38.78万起,39.98万起
基本参数,厂商,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特,江铃福特
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2025-09-19,2025-09-19,2025-03-17,2024-04-25,2024-04-25,2024-04-25,2024-04-25,2024-04-25,2024-04-25
基本参数,最大功率(kW),202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
基本参数,最大扭矩(N·m),429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
基本参数,变速箱,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
基本参数,车身结构,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV
基本参数,发动机,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4,2.3T 275马力 L4
基本参数,长*宽*高(mm),4800*1990*1835,4800*1990*1835,4800*2070*1900,4800*1990*1840,4800*2070*1900,4825*2070*1900,4800*1990*1840,4800*2070*1900,4825*2070*1990,4800*1990*1835,4800*1990*1835,4800*2070*1900,4800*1990*1840,4800*2070*1900,4825*2070*1900
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),169,169,161,169,161,161,169,161,161,169,169,161,169,161,161
基本参数,WLTC综合油耗(L/100km),11.26,11.26,12.01,10.71,11.88,12.01,10.71,11.88,12.28,11.26,11.26,12.34,11.23,12.55,12.34
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2160,2222,2289,2172,2267,2322,2172,2267,2370,2160,2222,2289,2172,2267,2322
基本参数,最大满载质量(kg),2725,2725,2725,2685,2710,2760,2685,2710,2760,2725,2725,2725,2685,2710,2760
基本参数,准拖挂车总质量(kg),-,1500,1500,1500,1500,1500,1500,1500,1500,-,1500,1500,1500,1500,1500
车身,长度(mm),4800,4800,4800,4800,4800,4825,4800,4800,4825,4800,4800,4800,4800,4800,4825
车身,宽度(mm),1990,1990,2070,1990,2070,2070,1990,2070,2070,1990,1990,2070,1990,2070,2070
车身,高度(mm),1835,1835,1900,1840,1900,1900,1840,1900,1990,1835,1835,1900,1840,1900,1900
车身,轴距(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,前轮距(mm),1650,1650,1700,1650,1700,1700,1650,1700,1700,1650,1650,1700,1650,1700,1700
车身,后轮距(mm),1650,1650,1700,1650,1700,1700,1650,1700,1700,1650,1650,1700,1650,1700,1700
车身,最小离地间隙(mm),237,237,273,242,273,273,242,273,273,237,237,273,242,273,273
车身,接近角(°),38,38,45,38,45,45,38,45,45,38,38,45,38,45,45
车身,离去角(°),31,31,37,31,37,37,31,37,37,31,31,37,31,37,37
