セクション,セクション_ja,項目,項目_ja,2026年モデル 2.3T 遠湾,2026年モデル 2.3T 墨ダイヤモンド,2026年モデル 2.3T 墨ダイヤモンド 大径オフロード版,2026年モデル 2.3T 長浜,2026年モデル 2.3T 長浜 大径オフロード版,2026年モデル 2.3T 荒地,2025年モデル 2.3T 1966標準版,2025年モデル 2.3T 1966大径版,2025年モデル 2.3T 大砂丘限定カスタム版,2024年モデル 2.3T 遠湾,2024年モデル 2.3T 墨ダイヤモンド,2024年モデル 2.3T 墨ダイヤモンド大径オフロード版,2024年モデル 2.3T 長浜,2024年モデル 2.3T 長浜大径オフロード版,2024年モデル 2.3T 荒地
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.98万元（日本円 約6,295,800円）","31.58万元（日本円 約6,631,800円）","36.58万元（日本円 約7,681,800円）","33.78万元（日本円 約7,093,800円）","38.78万元（日本円 約8,143,800円）","39.98万元（日本円 約8,395,800円）","38.66万元（日本円 約8,118,600円）","43.66万元（日本円 約9,168,600円）","49.88万元（日本円 約10,474,800円）","29.98万元（日本円 約6,295,800円）","31.58万元（日本円 約6,631,800円）","36.58万元（日本円 約7,681,800円）","33.78万元（日本円 約7,093,800円）","38.78万元（日本円 約8,143,800円）","39.98万元（日本円 約8,395,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"29.98万元（日本円 約6,295,800円）","31.58万元（日本円 約6,631,800円）","36.58万元（日本円 約7,681,800円）","33.78万元（日本円 約7,093,800円）","38.78万元（日本円 約8,143,800円）","39.98万元（日本円 約8,395,800円）","38.66万元（日本円 約8,118,600円）","43.66万元（日本円 約9,168,600円）","49.88万元（日本円 約10,474,800円）","29.98万元（日本円 約6,295,800円）","31.58万元（日本円 約6,631,800円）","36.58万元（日本円 約7,681,800円）","33.78万元（日本円 約7,093,800円）","38.78万元（日本円 約8,143,800円）","39.98万元（日本円 約8,395,800円）"
基本参数,基本仕様,厂商,メーカー,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード,ジアリンドフォード
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2025-09-19,2025-09-19,2025-03-17,2024-04-25,2024-04-25,2024-04-25,2024-04-25,2024-04-25,2024-04-25
基本参数,基本仕様,最大功率(kW),最大出力(kW),202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
基本参数,基本仕様,变速箱,トランスミッション,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）
