セクション,セクション_ja,項目,項目_ja,2026年モデル 160ロングレンジMax,2026年モデル 160ロングレンジUltra,2026年モデル 230超ロングレンジUltra,2026年モデル 210 4WDパフォーマンスUltra H7,2026年モデル 230超ロングレンジUltra H7
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"17.58万元（日本円 約3,691,800円）","19.28万元（日本円 約4,048,800円）","20.58万元（日本円 約4,321,800円）","22.88万元（日本円 約4,804,800円）","21.38万元（日本円 約4,489,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,リンク,リンク,リンク,リンク,リンク
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025-09-24,2025-09-24,2026-01-01,2025-09-24,2025-09-24
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),130,130,185,170,185
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),160,160,230,210,230
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.23,0.23,0.25,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),300,300,300,456,300
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),615,615,615,905,615
基本参数,基本仕様,变速箱,トランスミッション,3速DHT,3速DHT,3速DHT,3速DHT,3速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 163馬力 L4,1.5T 163馬力 L4,1.5T 163馬力 L4,1.5T 163馬力 L4,1.5T 163馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),245,245,245,457,245
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4825×1915×1660（mm）,4825×1915×1660（mm）,4825×1915×1660（mm）,4825×1915×1660（mm）,4825×1915×1660（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,200,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.94,0.94,0.55,0.71,0.55
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.5,5.5,5.5,6,5.5
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低荷電状態燃費(L/100km)CLTC,4.5,4.5,4.5,4.9,4.5
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.16,3.16,2.88,3.18,2.88
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km保証,● 5年または10万km保証,● 5年または10万km保証,● 5年または10万km保証,● 5年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2050,2050,2120,2230,2120
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2503,2503,2568,2666,2568
车身,車体,长度(mm),全長(mm),4825,4825,4825,4825,4825
车身,車体,宽度(mm),全幅(mm),1915,1915,1915,1915,1915
车身,車体,高度(mm),全高(mm),1660,1660,1660,1660,1660
车身,車体,轴距(mm),ホイールベース(mm),2848,2848,2848,2848,2848
车身,車体,前轮距(mm),前トレッド(mm),1635,1635,1635,1635,1635
车身,車体,后轮距(mm),後トレッド(mm),1635,1635,1635,1635,1635
车身,車体,空载最小离地间隙(mm),無負荷最小最低地上高(mm),186,186,186,186,186
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21
车身,車体,最小转弯半径(m),最小回転半径(m),6,6,6,6,6
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
