セクション,項目,极石01 2024款 全能7座标准续航版,极石01 2024款 尊享6座标准续航版,极石01 2024款 全能7座长续航版,极石01 2024款 尊享6座长续航版
,厂商指导价(元),29.99万 计算器,30.99万 计算器,34.99万 计算器,35.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,ROX极石,ROX极石,ROX极石,ROX极石
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2024-08-16,2024-08-16,2024-08-16,2024-08-16
基本参数,WLTC纯电续航里程(km),180,180,252,252
基本参数,CLTC纯电续航里程(km),215,215,306,306
基本参数,电池快充时间(小时),0.4,0.4,0.4,0.4
基本参数,电池慢充时间(小时),6.8,6.8,8.8,8.8
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100
基本参数,最大功率(kW),350,350,350,350
基本参数,最大扭矩(N·m),740,740,740,740
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV
基本参数,发动机,1.5T 152马力 L4,1.5T 152马力 L4,1.5T 152马力 L4,1.5T 152马力 L4
基本参数,电动机(Ps),476,476,476,476
基本参数,长*宽*高(mm),5050*1980*1869,5050*1980*1869,5050*1980*1869,5050*1980*1869
基本参数,官方0-100km/h加速(s),5.5,5.5,5.5,5.5
基本参数,最高车速(km/h),190,190,190,190
基本参数,WLTC综合油耗(L/100km),-,-,0.45,0.45
基本参数,最低荷电状态油耗(L/100km)WLTC,-,-,7.95,7.95
基本参数,电能当量燃料消耗量(L/100km),-,-,2.79,2.79
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2545,2625,2580,2660
基本参数,最大满载质量(kg),3189,3189,3189,3189
基本参数,准拖挂车总质量(kg),750,750,750,750
车身,长度(mm),5050,5050,5050,5050
车身,宽度(mm),1980,1980,1980,1980
车身,高度(mm),1869,1869,1869,1869
车身,轴距(mm),3010,3010,3010,3010
车身,前轮距(mm),1692,1692,1692,1692
车身,后轮距(mm),1701,1701,1701,1701
车身,满载最小离地间隙(mm),205,205,205,205
车身,接近角(°),22.2,22.2,22.2,22.2
车身,离去角(°),25.1,25.1,25.1,25.1
车身,纵向通过角(°),19.7,19.7,19.7,19.7
车身,最大爬坡角度(°),45,45,45,45
车身,最小转弯半径(m),5.98,5.98,5.98,5.98
车身,最大涉水深度(mm),700,700,700,700
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 6,● 7,● 6
车身,油箱容积(L),70,70,70,70
车身,后备厢容积(L),535,548,535,548
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,B15F,B15F,B15F,B15F
发动机,排量(mL),1496,1496,1496,1496
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),152,152,152,152
发动机,最大功率(kW),112,112,112,112
发动机,最大功率转速(rpm),-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-
发动机,最大净功率(kW),110,110,110,110
发动机,能源类型,增程式,增程式,增程式,增程式
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ210XS000,TZ210XS000,TZ210XS000,TZ210XS000
电动机,后电动机型号,TZ220XS000,TZ220XS000,TZ220XS000,TZ220XS000
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),350,350,350,350
电动机,电动机总马力(Ps),476,476,476,476
电动机,电动机总扭矩(N·m),740,740,740,740
电动机,前电动机最大功率(kW),150,150,150,150
电动机,前电动机最大扭矩(N·m),340,340,340,340
电动机,后电动机最大功率(kW),200,200,200,200
电动机,后电动机最大扭矩(N·m),400,400,400,400
电动机,系统综合功率(kW),350,350,350,350
