セクション,項目,东风风神L7 2026款 530km AIR精英版,东风风神L7 2026款 雅宇版,东风风神L7 2026款 530乐享型,东风风神L7 2026款 530越享型,东风风神L7 2026款 530尊享型,东风风神L7 2026款 540km 精英版,东风风神L7 2026款 540km 精英四气囊版,东风风神L7 2026款 530km AIR,东风风神L7 2025款 110长续航舒享型,东风风神L7 2025款 205超长续航畅享型,东风风神L7 2025款 205超长续航纵享型,东风风神L7 2025款 205超长续航尊享型,东风风神L7 2025款 430轻享型,东风风神L7 2025款 430舒享型,东风风神L7 2025款 518畅享型,东风风神L7 2025款 430舒享+型,东风风神L7 2025款 518畅享型冠军版,东风风神L7 2025款 430舒享型卓越版,东风风神L7 2025款 518 风捷版,东风风神L7 2025款 518纵享型,东风风神L7 2025款 518纵享型冠军版,东风风神L7 2025款 改款 518 行政版,东风风神L7 2024款 205 睿驰版,东风风神L7 2024款 205 臻享版,东风风神L7 2024款 518 旗舰版,东风风神L7 2024款 518 Air,东风风神L7 2024款 110 Pro,东风风神L7 2024款 205 Air,东风风神L7 2024款 518 Pro,东风风神L7 2024款 205 Pro,东风风神L7 2024款 205 Plus
,厂商指导价(元),16.99万 计算器,21.38万 计算器,12.69万 计算器,12.99万 计算器,13.99万 计算器,17.19万 计算器,17.39万 计算器,16.99万 计算器,9.99万 计算器,11.99万 计算器,12.99万 计算器,13.99万 计算器,9.49万 计算器,10.99万 计算器,11.99万 计算器,12.49万 计算器,12.99万 计算器,14.99万 计算器,20.88万 计算器,12.99万 计算器,13.99万 计算器,19.99万 计算器,18.98万 计算器,22.45万 计算器,22.45万 计算器,10.99万 计算器,12.89万 计算器,13.69万 计算器,13.99万 计算器,14.19万 计算器,14.99万 计算器
,经销商报价,16.99万起,21.38万起,12.69万起,12.89万起,13.89万起,17.19万起,17.39万起,16.99万起,8.99万起,10.99万起,11.99万起,12.99万起,9.49万起,9.99万起,10.99万起,12.49万起,12.79万起,14.49万起,20.88万起,11.99万起,13.79万起,19.99万起,18.98万起,22.45万起,22.45万起,10.99万起,11.49万起,11.99万起,13.99万起,14.19万起,14.99万起
基本参数,厂商,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,插电式混合动力
基本参数,环保标准,-,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,国VI,国VI,-,-,国VI,国VI,-,国VI,国VI
基本参数,上市时间,2026-02-04,2026-03-23,2026-05-19,2026-04-01,2026-04-01,2026-03-16,2026-03-16,2026-02-04,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-25,2025-05-16,2025-05-16,2025-08-12,2025-04-13,2025-05-16,2025-11-04,2025-04-16,2025-02-17,2025-02-17,2024-09-23,2024-04-25,2024-04-25,2024-09-23,2024-04-25,2024-04-25
基本参数,WLTC纯电续航里程(km),-,-,-,-,-,-,-,-,86,158,158,158,-,-,-,-,-,-,-,-,-,-,158,158,-,-,86,158,-,158,158
基本参数,CLTC纯电续航里程(km),530,518,530,530,530,540,540,530,110,205,205,205,430,430,518,430,518,430,518,518,518,518,205,205,518,518,110,205,518,205,205
基本参数,电池快充时间(小时),0.47,0.46,0.33,0.33,0.33,0.35,0.35,0.47,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.43,0.46,0.46,0.43,0.43,0.46,0.43,0.43
基本参数,电池慢充时间(小时),7.9,-,-,-,-,11,11,9.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),120,120,135,135,135,135,135,160,265,265,265,265,120,120,120,120,120,120,120,160,160,160,265,265,160,120,265,265,160,265,265
基本参数,最大扭矩(N·m),240,240,260,260,260,260,260,310,615,615,615,615,240,240,240,240,240,240,240,310,310,310,615,615,310,240,615,615,310,615,615
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,4挡DHT,4挡DHT,4挡DHT,4挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,4挡DHT,4挡DHT,电动车单速变速箱,电动车单速变速箱,4挡DHT,4挡DHT,电动车单速变速箱,4挡DHT,4挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,1.5T 154马力 L4,1.5T 154马力 L4,-,-,1.5T 154马力 L4,1.5T 154马力 L4,-,1.5T 154马力 L4,1.5T 154马力 L4
基本参数,电动机(Ps),163,163,184,184,184,184,184,218,136,136,136,136,163,163,163,163,163,163,163,218,218,218,136,136,218,163,136,136,218,136,136
