セクション,セクション_ja,項目,項目_ja,2026年モデル 530km AIRエリート版,2026年モデル 雅宇版,2026年モデル 540km エリート版,2026年モデル 540km エリート4エアバッグ版,2026年モデル 530 越享型,2026年モデル 530 尊享型,2026年モデル 530km AIR,2025年モデル 110 長距離快適型,2025年モデル 205 超長距離快適型,2025年モデル 205 超長距離プレミアム型,2025年モデル 205 超長距離ラグジュアリー型,2025年モデル 430 ライト快適型,2025年モデル 430 快適型,2025年モデル 430 快適＋型,2025年モデル 518 快適型,2025年モデル 518 快適型 チャンピオン版,2025年モデル 430 快適型 エクセレント版,2025年モデル 518 風捷版,2025年モデル 518 プレミアム型,2025年モデル 518 プレミアム型 チャンピオン版,2025年モデル 改良版 518 エグゼクティブ版,2024年モデル 205 睿驰版,2024年モデル 205 臻享版,2024年モデル 518 フラッグシップ版,2024年モデル 110 Pro,2024年モデル 205 Air,2024年モデル 205 Pro,2024年モデル 205 Plus,2024年モデル 518 Air,2024年モデル 518 Pro
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"16.99万元（日本円 約3,567,900円）","21.38万元（日本円 約4,489,800円）","17.19万元（日本円 約3,609,900円）","17.39万元（日本円 約3,651,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","16.99万元（日本円 約3,567,900円）","9.99万元（日本円 約2,097,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","9.49万元（日本円 約1,992,900円）","10.99万元（日本円 約2,307,900円）","12.49万元（日本円 約2,622,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","14.99万元（日本円 約3,147,900円）","20.88万元（日本円 約4,384,800円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","19.99万元（日本円 約4,197,900円）","18.98万元（日本円 約3,985,800円）","22.45万元（日本円 約4,714,500円）","22.45万元（日本円 約4,714,500円）","12.89万元（日本円 約2,706,900円）","13.69万元（日本円 約2,874,900円）","14.19万元（日本円 約2,979,900円）","14.99万元（日本円 約3,147,900円）","10.99万元（日本円 約2,307,900円）","13.99万元（日本円 約2,937,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"16.99万元（日本円 約3,567,900円）","21.38万元（日本円 約4,489,800円）","17.19万元（日本円 約3,609,900円）","17.39万元（日本円 約3,651,900円）","12.89万元（日本円 約2,706,900円）","13.89万元（日本円 約2,916,900円）","16.99万元（日本円 約3,567,900円）","8.99万元（日本円 約1,887,900円）","10.99万元（日本円 約2,307,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","9.49万元（日本円 約1,992,900円）","9.99万元（日本円 約2,097,900円）","12.49万元（日本円 約2,622,900円）","10.99万元（日本円 約2,307,900円）","12.79万元（日本円 約2,685,900円）","14.49万元（日本円 約3,042,900円）","20.88万元（日本円 約4,384,800円）","11.99万元（日本円 約2,517,900円）","13.79万元（日本円 約2,895,900円）","19.99万元（日本円 約4,197,900円）","18.98万元（日本円 約3,985,800円）","22.45万元（日本円 約4,714,500円）","22.45万元（日本円 約4,714,500円）","11.49万元（日本円 約2,412,900円）","11.99万元（日本円 約2,517,900円）","14.19万元（日本円 約2,979,900円）","14.99万元（日本円 約3,147,900円）","10.99万元（日本円 約2,307,900円）","13.99万元（日本円 約2,937,900円）"
基本参数,基本仕様,厂商,メーカー,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車,東風乗用車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,-,-,-,-,-,-,-,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-,-,-,-,-,-,-,国VI排ガス基準,国VI排ガス基準,-,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-
基本参数,基本仕様,上市时间,発売時期,2026-02-04,2026-03-23,2026-03-16,2026-03-16,2026-04-01,2026-04-01,2026-02-04,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-13,2025-04-25,2025-04-13,2025-05-16,2025-05-16,2025-08-12,2025-04-13,2025-05-16,2025-11-04,2025-04-16,2025-02-17,2025-02-17,2024-04-25,2024-04-25,2024-04-25,2024-04-25,2024-09-23,2024-09-23
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,-,-,-,-,-,86,158,158,158,-,-,-,-,-,-,-,-,-,-,158,158,-,86,158,158,158,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),530,518,540,540,530,530,530,110,205,205,205,430,430,430,518,518,430,518,518,518,518,205,205,518,110,205,205,205,518,518
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.47,0.46,0.35,0.35,0.33,0.33,0.47,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.43,0.46,0.43,0.43,0.43,0.43,0.46,0.46
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),7.9,-,11,11,-,-,9.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),120,120,135,135,135,135,160,265,265,265,265,120,120,120,120,120,120,120,160,160,160,265,265,160,265,265,265,265,120,160
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),240,240,260,260,260,260,310,615,615,615,615,240,240,240,240,240,240,240,310,310,310,615,615,310,615,615,615,615,240,310
