セクション,項目,极狐 阿尔法S5 2026款 1450 悦享版 200kW,极狐 阿尔法S5 2026款 1450 睿享版 200kW,极狐 阿尔法S5 2026款 1450 元境智行版 200kW,极狐 阿尔法S5 2026款 630 元境睿行版 185kW,极狐 阿尔法S5 2026款 630 元境智行版 185kW,极狐 阿尔法S5 2026款 720 元境神行版 200kW,极狐 阿尔法S5 2026款 650 元境四驱版 390kW,极狐 阿尔法S5 2025款 560PRO 185kW,极狐 阿尔法S5 2025款 改款 560PRO 185kW,极狐 阿尔法S5 2025款 560MAX 185kW,极狐 阿尔法S5 2025款 改款 560MAX 185kW,极狐 阿尔法S5 2025款 668MAX神行版 200kW,极狐 阿尔法S5 2025款 改款 668MAX神行版 200kW,极狐 阿尔法S5 2025款 708MAX 200kW,极狐 阿尔法S5 2025款 改款 708MAX 200kW,极狐 阿尔法S5 2025款 630ULTRA神行版 390kW
,厂商指导价(元),10.48万 计算器,11.18万 计算器,12.48万 计算器,11.68万 计算器,12.88万 计算器,14.18万 计算器,17.38万 计算器,12.78万 计算器,12.78万 计算器,14.48万 计算器,14.48万 计算器,15.78万 计算器,15.78万 计算器,16.48万 计算器,16.48万 计算器,17.78万 计算器
,经销商报价,9.98万起,10.68万起,11.98万起,11.18万起,12.38万起,13.68万起,16.88万起,10.28万起,10.28万起,11.98万起,11.98万起,13.28万起,13.28万起,13.98万起,13.98万起,15.28万起
基本参数,厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,上市时间,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2025-04-23,2025-09-19,2025-04-23,2025-09-19,2025-04-23,2025-09-19,2025-04-23,2025-09-19,2025-04-23
基本参数,WLTC纯电续航里程(km),175,175,175,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),230,230,230,630,630,720,650,560,560,560,560,668,668,708,708,630
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.38,0.38,0.38,0.38,0.15,0.15,0.28,0.28,0.15
基本参数,电池慢充时间(小时),4,4,4,11.3,11.3,12.2,12.2,11.3,11.3,11.3,11.3,12.2,12.2,12.9,12.9,12.2
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),200,200,200,185,185,200,390,185,185,185,185,200,200,200,200,390
基本参数,最大扭矩(N·m),365,365,365,320,320,360,690,360,320,360,320,360,360,360,360,690
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,增程器 105马力,增程器 105马力,增程器 105马力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),272,272,272,252,252,272,530,252,252,252,252,272,272,272,272,530
基本参数,长*宽*高(mm),4886*1930*1480,4886*1930*1480,4886*1930*1480,4886*1930*1480,4886*1930*1480,4886*1930*1480,4886*1930*1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480,4820 *1930 *1480
基本参数,官方0-100km/h加速(s),6.5,6.5,6.5,7,7,6.8,3.7,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,3.7
基本参数,官方0-50km/h加速(s),-,-,-,3.4,3.4,3.4,2.1,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.1
基本参数,最高车速(km/h),180,180,180,190,190,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.51,0.51,0.51,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.50,4.50,4.50,-,-,-,-,-,-,-,-,-,-,-,-,-
