セクション,項目,传祺E8 PHEV 2024款 150km MAX+,传祺E8 PHEV 2024款 150km 龙腾光辉+,传祺E8 PHEV 2026款 Pro版,传祺E8 PHEV 2026款 Max版,传祺E8 PHEV 2026款 Max激光雷达版,传祺E8 PHEV 2026款 Ultra版
,厂商指导价(元),23.28万 计算器,23.88万 计算器,预售,预售,预售,预售
,经销商报价,18.98万起,22.48万起,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺,广汽传祺
基本参数,级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024-09-10,2024-09-10,-,-,-,-
基本参数,WLTC纯电续航里程(km),116,116,205,205,205,205
基本参数,CLTC纯电续航里程(km),150,150,281,281,281,281
基本参数,电池快充时间(小时),0.5,0.5,0.25,0.25,0.25,0.25
基本参数,电池慢充时间(小时),3.5,3.5,4.6,4.6,4.6,4.6
基本参数,电池快充电量范围(%),-,-,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),-,-,15-90,15-90,15-90,15-90
基本参数,最大功率(kW),-,-,325,325,325,325
基本参数,最大扭矩(N·m),-,-,525,525,525,525
基本参数,变速箱,2挡DHT,2挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,2.0L 140马力 L4,2.0L 140马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4
基本参数,电动机(Ps),182,182,272,272,272,272
基本参数,长*宽*高(mm),4920*1900*1760,4920*1900*1760,5000*1900*1778,5000*1900*1778,5000*1900*1778,5000*1900*1778
基本参数,官方0-100km/h加速(s),8.8,8.8,7.9,7.9,7.9,7.9
基本参数,最高车速(km/h),170,170,175,175,175,175
基本参数,WLTC综合油耗(L/100km),1.13,1.13,0.46,0.46,0.46,0.46
基本参数,最低荷电状态油耗(L/100km)WLTC,5.7,5.7,4.98,4.98,4.98,4.98
基本参数,最低荷电状态油耗(L/100km)CLTC,-,-,3.98,3.98,3.98,3.98
基本参数,电能当量燃料消耗量(L/100km),2.13,2.13,-,-,-,-
基本参数,油电综合燃料消耗量(L/100km),3.31,3.31,-,-,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2175,2175,2345,2375,2375,2375
基本参数,最大满载质量(kg),2700,2700,2990,2990,2990,2990
车身,长度(mm),4920,4920,5000,5000,5000,5000
车身,宽度(mm),1900,1900,1900,1900,1900,1900
车身,高度(mm),1760,1760,1778,1778,1778,1778
车身,轴距(mm),2930,2930,3000,3000,3000,3000
车身,前轮距(mm),1618,1618,1621,1621,1621,1621
车身,后轮距(mm),1640,1640,1636,1636,1636,1636
车身,最小离地间隙(mm),-,-,132,132,132,132
车身,接近角(°),13,13,14,14,14,14
车身,离去角(°),17,17,18,18,18,18
车身,最小转弯半径(m),-,-,5.9,5.9,5.9,5.9
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),50,50,50,50,50,50
车身,后备厢容积(L),345-1917,345-1917,345-1917,345-1917,345-1917,345-1917
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,4B20L1,4B20L1,4A15J4,4A15J4,4A15J4,4A15J4
发动机,排量(mL),1999,1999,1498,1498,1498,1498
发动机,排量(L),2.0,2.0,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),140,140,170,170,170,170
发动机,最大功率(kW),103,103,125,125,125,125
发动机,最大功率转速(rpm),6000,6000,5500,5500,5500,5500
发动机,最大扭矩(N·m),180,180,245,245,245,245
发动机,最大扭矩转速(rpm),4500,4500,2500-4000,2500-4000,2500-4000,2500-4000
发动机,最大净功率(kW),103,103,120,120,120,120
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ240XY104,TZ240XY104,-,-,-,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),134,134,200,200,200,200
电动机,电动机总马力(Ps),182,182,272,272,272,272
电动机,电动机总扭矩(N·m),300,300,280,280,280,280
电动机,前电动机最大功率(kW),134,134,200,200,200,200
电动机,前电动机最大扭矩(N·m),300,300,280,280,280,280
电动机,系统综合功率(kW),-,-,325,325,325,325
电动机,系统综合马力(Ps),-,-,442,442,442,442
电动机,系统综合扭矩(N·m),-,-,525,525,525,525
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力
电池/充电,电池冷却方式,液冷,液冷,-,-,-,-
电池/充电,WLTC纯电续航里程(km),116,116,205,205,205,205
电池/充电,CLTC纯电续航里程(km),150,150,281,281,281,281
电池/充电,CLTC综合续航(km),1200,1200,1537,1537,1537,1537
电池/充电,电池能量(kWh),25.57,25.57,38.88,38.88,38.88,38.88
电池/充电,百公里耗电量(kWh/100km),18.8,18.8,-,-,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,110,110,110,110
电池/充电,电池快充时间(小时),0.5,0.5,0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),-,-,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),3.5,3.5,4.6,4.6,4.6,4.6
电池/充电,电池慢充电量范围(%),-,-,15-90,15-90,15-90,15-90
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,6,6,6,6
电池/充电,对外直流放电功率(kW),-,-,6,6,6,6
变速箱,简称,2挡DHT,2挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,2,2,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/50 R18,● 225/50 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,后轮胎规格,● 225/50 R18,● 225/50 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,-,-,-,-
