セクション,項目,宝马i5 2026款 改款 eDrive 35L M运动套装,宝马i5 2026款 改款 eDrive 40L M运动套装,宝马i5 2026款 改款 xDrive 50L M运动套装,宝马i5 2026款 eDrive 35L M运动套装,宝马i5 2026款 eDrive 40L M运动套装,宝马i5 2026款 xDrive 50L M运动套装
,厂商指导价(元),36.80万 计算器,40.80万 计算器,45.80万 计算器,43.99万 计算器,48.59万 计算器,53.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-02-02,2026-02-02,2026-02-02,2025-09-02,2025-09-02,2025-09-02
基本参数,CLTC纯电续航里程(km),602,713,651,618,713,651
基本参数,电池快充时间(小时),0.55,0.55,0.55,0.55,0.55,0.55
基本参数,电池慢充时间(小时),13,15.5,15.5,13,15.5,15.5
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),200,240,385,200,240,385
基本参数,最大扭矩(N·m),410,410,775,410,410,775
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),272,326,524,272,326,524
基本参数,长*宽*高(mm),5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520
基本参数,官方0-100km/h加速(s),6.7,6.7,4.2,6.7,6.7,4.2
基本参数,最高车速(km/h),190,190,190,190,190,190
基本参数,电能当量燃料消耗量(L/100km),1.67,1.71,1.86,1.67,1.71,1.86
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2212,2294,2425,2212,2294,2425
基本参数,最大满载质量(kg),2830,2900,3015,2830,2900,3015
车身,长度(mm),5175,5175,5175,5175,5175,5175
车身,宽度(mm),1900,1900,1900,1900,1900,1900
车身,高度(mm),1520,1520,1520,1520,1520,1520
车身,轴距(mm),3105,3105,3105,3105,3105,3105
车身,前轮距(mm),1621,1621,1623,1621,1621,1623
车身,后轮距(mm),1658,1658,1622,1658,1658,1622
车身,接近角(°),16,16,16,16,16,16
车身,离去角(°),18,18,18,18,18,18
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),460,460,460,460,460,460
车身,风阻系数(Cd),0.23,0.23,0.23,0.23,0.23,0.23
电动机,前电动机品牌,-,-,BMW AG,-,-,BMW AG
电动机,后电动机品牌,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技
电动机,前电动机型号,-,-,HA0002N0,-,-,HA0002N0
电动机,后电动机型号,HA0001N0,HA0001N0,HA0001N0,HA0001N0,HA0001N0,HA0001N0
电动机,电机类型,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步
电动机,电动机总功率(kW),200,240,385,200,240,385
电动机,电动机总马力(Ps),272,326,524,272,326,524
电动机,电动机总扭矩(N·m),410,410,775,410,410,775
电动机,前电动机最大功率(kW),-,-,145,-,-,145
电动机,前电动机最大扭矩(N·m),-,-,365,-,-,365
电动机,后电动机最大功率(kW),200,240,240,200,240,240
电动机,后电动机最大扭矩(N·m),410,410,410,410,410,410
电动机,驱动电机数,单电机,单电机,双电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,前置+后置,后置,后置,前置+后置
