セクション,項目,纳米01 2026款 初心款 330 Fly,纳米01 2026款 智趣版 305 Fly,纳米01 2026款 初心款 330 Air,纳米01 2026款 智趣版 305 Air,纳米01 2026款 初心款 330 Plus,纳米01 2026款 初心款 430 Air,纳米01 2026款 智趣版 305 Ultra,纳米01 2026款 挚爱款 330 Pro,纳米01 2026款 挚爱款 330 Ultra,纳米01 2026款 智趣版 430 Pro,纳米01 2026款 挚爱款 430 Pro,纳米01 2026款 Cross Pro,纳米01 2026款 Cross Ultra,纳米01 2026款 挚爱款 430 Ultra,纳米01 2025款 330 驾培版,纳米01 2024款 330 行业版,纳米01 2024款 430 行业版,纳米01 2024款 焕新版 430 Plus智+,纳米01 2024款 焕新版 430 Max智+
,厂商指导价(元),5.98万 计算器,5.98万 计算器,6.58万 计算器,6.58万 计算器,6.98万 计算器,6.98万 计算器,7.18万 计算器,7.28万 计算器,7.68万 计算器,7.98万 计算器,8.18万 计算器,8.38万 计算器,8.88万 计算器,9.28万 计算器,8.98万 计算器,10.98万 计算器,13.98万 计算器,9.28万 计算器,9.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技
基本参数,级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025-10-16,2026-07-10,2025-10-16,2026-07-10,2025-10-16,2025-10-16,2026-07-10,2025-10-16,2025-10-16,2026-07-10,2025-10-16,2026-04-25,2026-04-25,2025-10-16,2025-07-04,2024-04-01,2024-04-01,2024-08-30,2024-08-30
基本参数,CLTC纯电续航里程(km),330,305,330,305,330,430,305,330,330,430,430,429,429,430,330,330,430,430,430
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
