セクション,セクション_ja,項目,項目_ja,2026年モデル 初心者向け 330 Fly,2026年モデル 知的遊び版 305 Fly,2026年モデル 初心者向け 330 Air,2026年モデル 知的遊び版 305 Air,2026年モデル 初心者向け 330 Plus,2026年モデル 初心者向け 430 Air,2026年モデル 知的遊び版 305 Ultra,2026年モデル プレミアム 330 Pro,2026年モデル プレミアム 330 Ultra,2026年モデル 知的遊び版 430 Pro,2026年モデル プレミアム 430 Pro,2026年モデル Cross Pro,2026年モデル Cross Ultra,2026年モデル プレミアム 430 Ultra,2025年モデル 330 教習車版,2024年モデル 330 業務用版,2024年モデル 430 業務用版,2024年モデル リニューアル版 430 Plus智+,2024年モデル リニューアル版 430 Max智+
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.98万元（日本円 約1,255,800円）","5.98万元（日本円 約1,255,800円）","6.58万元（日本円 約1,381,800円）","6.58万元（日本円 約1,381,800円）","6.98万元（日本円 約1,465,800円）","6.98万元（日本円 約1,465,800円）","7.18万元（日本円 約1,507,800円）","7.28万元（日本円 約1,528,800円）","7.68万元（日本円 約1,612,800円）","7.98万元（日本円 約1,675,800円）","8.18万元（日本円 約1,717,800円）","8.38万元（日本円 約1,759,800円）","8.88万元（日本円 約1,864,800円）","9.28万元（日本円 約1,948,800円）","8.98万元（日本円 約1,885,800円）","10.98万元（日本円 約2,305,800円）","13.98万元（日本円 約2,935,800円）","9.28万元（日本円 約1,948,800円）","9.98万元（日本円 約2,095,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー,イーパイテクノロジー
基本参数,基本仕様,级别,クラス,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-10-16,2026-07-10,2025-10-16,2026-07-10,2025-10-16,2025-10-16,2026-07-10,2025-10-16,2025-10-16,2026-07-10,2025-10-16,2026-04-25,2026-04-25,2025-10-16,2025-07-04,2024-04-01,2024-04-01,2024-08-30,2024-08-30
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),330,305,330,305,330,430,305,330,330,430,430,429,429,430,330,330,430,430,430
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4066*1810*1570,4066*1810*1570,4020*1810*1570,4020*1810*1570,4030*1810*1570,4030*1810*1570,4020*1810*1570,4020*1810*1570
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.23,1.27,1.23,1.27,1.23,1.24,1.27,1.27,1.27,1.27,1.27,1.30,1.30,1.27,1.2,1.2,1.21,1.21,1.21
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 3年走行距離無制限（初代非営業用オーナー）,● 3年走行距離無制限（初代非営業用オーナー）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1235,1237,1235,1237,1235,1312,1264,1264,1264,1318,1336,1336,1336,1336,1235,1235,1312,1312,1312
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1630,1666,1630,1666,1630,1705,1666,1666,1666,1737,1737,1737,1737,1737,1630,1630,1705,1705,1705
车身,車体,长度(mm),全長(mm),4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4066,4066,4020,4020,4030,4030,4020,4020
车身,車体,宽度(mm),全幅(mm),1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
车身,車体,高度(mm),全高(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
车身,車体,轴距(mm),ホイールベース(mm),2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2660,2660,2663,2663
车身,車体,前轮距(mm),前トレッド(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
车身,車体,后轮距(mm),後トレッド(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
车身,車体,接近角(°),アプローチアングル(°),23,23,23,23,23,23,23,23,23,23,23,21,21,23,23,23,23,23,23
车身,車体,离去角(°),デパーチャーアングル(°),30,30,30,30,30,30,30,30,30,30,30,31,31,30,30,30,30,30,30
车身,車体,最小转弯半径(m),最小回転半径(m),5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,-,-,5.1,5.1
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机型号,前モーター型式,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,空冷,-,-,空冷,空冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),330,305,330,305,330,430,305,330,330,430,430,429,429,430,330,330,430,430,430
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),31.45,29.5,31.45,29.5,31.45,42.3,29.5,31.45,31.45,42.3,42.3,42.3,42.3,42.3,31.45,31.45,42.3,42.3,42.3
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),10.6,10.9,10.6,10.9,10.6,10.7,10.9,10.9,10.9,10.9,10.9,11.2,11.2,10.9,10.6,10.6,10.7,10.7,10.7
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),38,-,38,-,38,54,-,38,38,-,54,54,54,54,38,-,-,54,54
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ディスク,● ディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/60 R16,"● 215/55 R17
○ 215/50 R18",● 215/50 R18,● 215/55 R17,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17
