セクション,項目,eπ007 2026款 007+ 增程 308 Ultra+激光雷达版,eπ007 2026款 007+ 纯电 650 Ultra+激光雷达版,eπ007 2026款 纯电 610闪现版,eπ007 2026款 007+ 纯电 565 Ultra+四驱激光雷达版,eπ007 2025款 增程 230Max巡航版,eπ007 2025款 纯电 550Air巡航版,eπ007 2025款 纯电 550Max巡航版,eπ007 2025款 纯电 550行政版,eπ007 2025款 纯电 650Max巡航版,eπ007 2025款 纯电 650行政版
,厂商指导价(元),14.49万 计算器,14.49万 计算器,14.49万 计算器,15.49万 计算器,13.09万 计算器,11.59万 计算器,13.09万 计算器,15.99万 计算器,13.49万 计算器,17.99万 计算器
,经销商报价,13.99万起,13.99万起,13.69万起,14.99万起,12.59万起,11.59万起,12.59万起,15.99万起,12.99万起,17.99万起
基本参数,厂商,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,增程式,纯电动,纯电动,纯电动,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,-,-,-,国VI,-,-,-,-,-
基本参数,上市时间,2025-11-10,2025-11-10,2026-03-28,2025-11-10,2025-11-10,2025-11-10,2025-11-10,2025-06-04,2025-11-10,2025-06-04
基本参数,WLTC纯电续航里程(km),225,-,-,-,170,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),308,650,610,565,230,550,550,550,650,650
基本参数,电池快充时间(小时),0.2,0.27,0.27,0.27,0.2,0.27,0.27,0.27,0.27,0.27
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),160,200,200,400,160,160,160,160,200,200
基本参数,最大扭矩(N·m),310,310,310,620,310,310,310,310,310,310
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,4门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,增程器 105马力,-,纯电动,-,增程器 105马力,-,-,-,-,-
基本参数,电动机(Ps),218,272,272,544,218,218,218,218,272,272
基本参数,长*宽*高(mm),4880*1915*1476,4880*1915*1476,4890*1915*1476,4880*1915*1476,4880*1895*1476,4880*1895*1470,4880*1895*1476,4880*1895*1470,4880*1895*1476,4880*1895*1470
基本参数,官方0-100km/h加速(s),7.5,5.7,5.7,3.7,7.2,6.8,6.8,6.8,5.7,5.7
基本参数,最高车速(km/h),171,171,171,171,171,171,171,171,171,171
基本参数,CLTC综合油耗(L/100km),0.53,-,-,-,0.53,-,-,-,-,-
基本参数,WLTC综合油耗(L/100km),0.43,-,-,-,0.56,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.73,-,-,-,4.73,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,4.2,-,-,-,4.2,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,1.46,1.58,1.76,-,1.38,1.38,1.38,1.46,1.46
基本参数,油电综合燃料消耗量(L/100km),2.37,-,-,-,2.43,-,-,-,-,-
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1916,1852,1874,1999,1847,1759,1759,1759,1852,1852
基本参数,最大满载质量(kg),2300,2279,2279,2442,2227,2194,2194,2194,2279,2279
车身,长度(mm),4880,4880,4890,4880,4880,4880,4880,4880,4880,4880
车身,宽度(mm),1915,1915,1915,1915,1895,1895,1895,1895,1895,1895
车身,高度(mm),1476,1476,1476,1476,1476,1470,1476,1470,1476,1470
车身,轴距(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
车身,前轮距(mm),1625,1625,1625,1625,1625,1620,1625,1620,1625,1620
车身,后轮距(mm),1635,1635,1635,1635,1635,1630,1635,1630,1635,1630
车身,接近角(°),14,14,14,14,14,14,14,14,14,14
车身,离去角(°),15,15,14,15,15,15,15,15,15,15
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 4,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,-,-,-,45,-,-,-,-,-
