セクション,項目,灵悉L 2025款 头号玩家版+超级加倍选装包,灵悉L 2025款 头号玩家版+增配亿点选装包,
,厂商指导价(元),14.98万 计算器,15.58万 计算器,–
,经销商报价,8.98万起,9.58万起,–
基本参数,厂商,东风本田,东风本田,–
基本参数,级别,中型车,中型车,–
基本参数,能源类型,纯电动,纯电动,–
基本参数,上市时间,2025-10-23,2025-10-23,–
基本参数,CLTC纯电续航里程(km),520,520,–
基本参数,最大功率(kW),160,160,–
基本参数,最大扭矩(N·m),310,310,–
基本参数,车身结构,4门5座三厢车,4门5座三厢车,–
基本参数,电动机(Ps),218,218,–
基本参数,长*宽*高(mm),4830 *1845 *1503,4830 *1845 *1503,–
基本参数,官方0-100km/h加速(s),6.9,6.9,–
基本参数,官方0-50km/h加速(s),3.4,3.4,–
基本参数,最高车速(km/h),160,160,–
基本参数,电能当量燃料消耗量(L/100km),1.5,1.5,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,–
基本参数,整备质量(kg),1697,1702,–
基本参数,最大满载质量(kg),2090,2090,–
车身,长度(mm),4830,4830,–
车身,宽度(mm),1845,1845,–
车身,高度(mm),1503,1503,–
车身,轴距(mm),2731,2731,–
车身,前轮距(mm),1575,1575,–
车身,后轮距(mm),1605,1605,–
车身,接近角(°),14,14,–
车身,离去角(°),21,21,–
车身,最小转弯半径(m),5.65,5.65,–
车身,车身结构,三厢车,三厢车,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 4,● 4,–
车身,座位数(个),● 5,● 5,–
车身,后备厢容积(L),502,502,–
车身,风阻系数(Cd),-,-,–
电动机,前电动机品牌,智新科技,智新科技,–
电动机,前电动机型号,TZ200XSBT1,TZ200XSBT1,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),160,160,–
电动机,电动机总马力(Ps),218,218,–
电动机,电动机总扭矩(N·m),310,310,–
电动机,前电动机最大功率(kW),160,160,–
电动机,前电动机最大扭矩(N·m),310,310,–
电动机,驱动电机数,单电机,单电机,–
电动机,电机布局,前置,前置,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 弗迪,● 弗迪,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),520,520,–
电池/充电,电池能量(kWh),59.22,59.22,–
电池/充电,百公里耗电量(kWh/100km),12.9,12.9,–
电池/充电,快充功能,支持,支持,–
电池/充电,慢充接口位置,车左前侧,车左前侧,–
电池/充电,快充接口位置,车右前侧,车右前侧,–
电池/充电,对外交流放电功率(kW),2.2,2.2,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 235/45 R18,● 235/45 R18,–
车轮制动,后轮胎规格,● 235/45 R18,● 235/45 R18,–
车轮制动,备胎规格,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,●,●,–
主动安全,主动刹车/主动安全系统,●,●,–
主动安全,疲劳驾驶提示,●,●,–
主动安全,DOW开门预警,●,●,–
主动安全,前方碰撞预警,●,●,–
主动安全,低速行车警告,●,●,–
主动安全,道路救援呼叫,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶操控,陡坡缓降,●,●,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,–
驾驶硬件,前方感知摄像头,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 7个,● 7个,–
驾驶硬件,车内摄像头数量,● 1个,● 1个,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● 灵悉DRIVE辅助驾驶系统,● 灵悉DRIVE辅助驾驶系统,–
驾驶功能,辅助驾驶等级,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,–
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,并线辅助,●,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,道路交通标识识别,●,●,–
驾驶功能,辅助泊车入位,●,●,–
