セクション,セクション_ja,項目,項目_ja,2025年モデル トッププレイヤー版＋スーパー倍増オプションパッケージ,2025年モデル トッププレイヤー版＋ちょっと増量オプションパッケージ,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.98万元（日本円 約3,145,800円）","15.58万元（日本円 約3,271,800円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,–
基本参数,基本仕様,厂商,メーカー,東風ホンダ,東風ホンダ,–
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,–
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,–
基本参数,基本仕様,上市时间,発売時期,2025-10-23,2025-10-23,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),520,520,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),160,160,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,–
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),218,218,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4830×1845×1503,4830×1845×1503,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.9,6.9,–
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(s),3.4,3.4,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,–
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.5,1.5,–
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),1697,1702,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2090,2090,–
车身,車体,长度(mm),全長(mm),4830,4830,–
车身,車体,宽度(mm),全幅(mm),1845,1845,–
车身,車体,高度(mm),全高(mm),1503,1503,–
车身,車体,轴距(mm),ホイールベース(mm),2731,2731,–
车身,車体,前轮距(mm),前トレッド(mm),1575,1575,–
车身,車体,后轮距(mm),後トレッド(mm),1605,1605,–
车身,車体,接近角(°),アプローチアングル(°),14,14,–
车身,車体,离去角(°),デパーチャーアングル(°),21,21,–
车身,車体,最小转弯半径(m),最小回転半径(m),5.65,5.65,–
车身,車体,车身结构,ボディ構造,セダン,セダン,–
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,–
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,–
车身,車体,座位数(个),乗車定員(名),● 5（乗車定員）,● 5（乗車定員）,–
车身,車体,后备厢容积(L),トランク容量(L),502,502,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
电动机,モーター,前电动机品牌,前モーターブランド,Zhixinテクノロジー,Zhixinテクノロジー,–
电动机,モーター,前电动机型号,前モーター型式,TZ200XSBT1,TZ200XSBT1,–
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),160,160,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),218,218,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,–
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),160,160,–
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),310,310,–
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,–
电动机,モーター,电机布局,モーター配置,フロントエンジン,フロントエンジン,–
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,–
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● Fudi,● Fudi,–
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,–
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),520,520,–
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),59.22,59.22,–
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),12.9,12.9,–
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,–
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左前側,車両左前側,–
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右前側,車両右前側,–
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),2.2,2.2,–
变速箱,トランスミッション,简称,略称,電動車用単速トランスミッション,電動車用単速トランスミッション,–
变速箱,トランスミッション,挡位个数,段数,1,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/45 R18タイヤ,● 235/45 R18タイヤ,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/45 R18タイヤ,● 235/45 R18タイヤ,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前輪● / 後輪,前輪● / 後輪,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前輪● / 後輪●,前輪● / 後輪●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,–
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適モード","● スポーツ
● エコ
● 標準/快適モード",–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,–
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前輪● / 後輪●,前輪● / 後輪●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 7個（エアバッグ数）,● 7個（エアバッグ数）,–
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,–
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Lingxi DRIVE運転支援システム,● Lingxi DRIVE運転支援システム,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,–
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,–
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,–
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前輪● / 後輪●,前輪● / 後輪●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全車両,● 全車両,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,-,-,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,-,-,–
外后视镜,外側ドアミラー,电子外后视镜功能,電子式ドアミラー機能,"● 電動調整
● 視野拡大
● 自動防眩目
● 霧除去機能","● 電動調整
● 視野拡大
● 自動防眩目
● 霧除去機能",–
外后视镜,外側ドアミラー,电子外后视镜显示屏,電子ドアミラー表示画面,● 7インチ×2,● 7インチ×2,–
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,–
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 12.3インチ,● 12.3インチ,–
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,–
