セクション,項目,风云T11 2026款 220后驱伯牙巨幕奢享版,风云T11 2026款 220后驱双IMAX影院版,风云T11 2026款 220四驱双IMAX影院版,风云T11 2026款 220四驱全家乐,风云T11 2026款 220四驱尊享版
,厂商指导价(元),18.99万 计算器,20.99万 计算器,22.99万 计算器,24.99万 计算器,25.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-10-30,2025-10-30,2025-10-30,2025-10-30,2026-04-29
基本参数,WLTC纯电续航里程(km),170,170,180,180,180
基本参数,CLTC纯电续航里程(km),220,220,220,220,220
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),195,195,345,345,345
基本参数,最大扭矩(N·m),324,324,634,634,634
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,增程器 156马力,增程器 156马力,增程器 156马力,增程器 156马力,增程器 156马力
基本参数,电动机(Ps),265,265,469,469,469
基本参数,长*宽*高(mm),5205 *1998 *1800,5205 *1998 *1800,5205 *1998 *1800,5205 *1998 *1800,5205 *1998 *1800
基本参数,官方0-100km/h加速(s),9.3,9.3,5.4,5.4,5.4
基本参数,最高车速(km/h),180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.90,0.90,0.96,0.96,0.96
基本参数,最低荷电状态油耗(L/100km)WLTC,6.10,6.10,7.02,7.02,7.02
基本参数,油电综合燃料消耗量(L/100km),3.33,3.33,3.67,3.67,3.67
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2452,2452,2635,2635,2635
基本参数,最大满载质量(kg),2954,2954,3128,3128,3128
车身,长度(mm),5205,5205,5205,5205,5205
车身,宽度(mm),1998,1998,1998,1998,1998
车身,高度(mm),1800,1800,1800,1800,1800
车身,轴距(mm),3120,3120,3120,3120,3120
车身,前轮距(mm),1704,1704,1704,1704,1704
车身,后轮距(mm),1706,1706,1706,1706,1706
车身,接近角(°),18,18,18,18,18
车身,离去角(°),18,18,18,18,18
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6,● 6
车身,油箱容积(L),67,67,67,67,67
车身,后备厢容积(L),798-1590,798-1590,798-1590,798-1590,798-1590
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15
发动机,排量(mL),1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,压缩比,14.5,14.5,14.5,14.5,14.5
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156,156
发动机,最大功率(kW),115,115,115,115,115
发动机,最大功率转速(rpm),5200,5200,5200,5200,5200
发动机,最大扭矩(N·m),220,220,220,220,220
发动机,最大扭矩转速(rpm),2500,2500,2500,2500,2500
发动机,最大净功率(kW),105,105,105,105,105
发动机,发动机特有技术,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环
发动机,能源类型,增程式,增程式,增程式,增程式,增程式
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),195,195,345,345,345
电动机,电动机总马力(Ps),265,265,469,469,469
电动机,电动机总扭矩(N·m),324,324,634,634,634
电动机,前电动机最大功率(kW),-,-,150,150,150
电动机,前电动机最大扭矩(N·m),-,-,310,310,310
电动机,后电动机最大功率(kW),195,195,195,195,195
电动机,后电动机最大扭矩(N·m),324,324,324,324,324
电动机,驱动电机数,单电机,单电机,双电机,双电机,双电机
电动机,电机布局,后置,后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),170,170,180,180,180
电池/充电,CLTC纯电续航里程(km),220,220,220,220,220
电池/充电,CLTC综合续航(km),1400,1400,1400,1400,1400
电池/充电,电池能量(kWh),33.68,33.68,39.92,39.92,39.92
电池/充电,百公里耗电量(kWh/100km),20.9,20.9,23.3,23.3,23.3
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,-,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/50 R20,"● 255/50 R20
○ 255/45 R21 (1.20万元)",● 255/45 R21,● 255/45 R21,● 255/45 R21
车轮制动,后轮胎规格,● 255/50 R20,"● 255/50 R20
○ 255/45 R21",● 255/45 R21,● 255/45 R21,● 255/45 R21
车轮制动,备胎规格,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●
被动安全,后风挡安全气囊,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,●,-
主动安全,DOW开门预警,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 高通骁龙8620,● 高通骁龙8620,● 高通骁龙8620,● 英伟达 Orin-Y,● 高通骁龙8620
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 7个,● 7个,● 7个,● 11个,● 7个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,车内摄像头数量,-,-,-,● 1个,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达数量,-,-,-,● 1个,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 猎鹰500,● 猎鹰500,● 猎鹰500,● 猎鹰700,● 猎鹰500
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,"● 城市路段
● 高速路段",● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,车侧脚踏板,-,-,-,-,● 电动
外观/防盗,电池预加热,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●
