セクション,セクション_ja,項目,項目_ja,2026年モデル 220 ロングレンジ プレミアム,2026年モデル 220 ロングレンジ エグゼクティブ,2026年モデル 220 ロングレンジ フラッグシップ,2025年モデル 120 長距離版 尊貴型 5人乗り リン酸鉄リチウム,2025年モデル 120 長距離版 尊栄型 5人乗り リン酸鉄リチウム,2025年モデル 120 長距離版 尊栄型 7人乗り リン酸鉄リチウム,2025年モデル 120 長距離版 フラッグシップ型 5人乗り リン酸鉄リチウム,2025年モデル 120 長距離版 フラッグシップ型 7人乗り リン酸鉄リチウム,2025年モデル 120 長距離版 フラッグシップPLUS 7人乗り リン酸鉄リチウム,2025年モデル 210 超長距離版 フラッグシップ型 5人乗り 三元リチウム＋M3P,2025年モデル 210 超長距離版 フラッグシップ型 7人乗り 三元リチウム＋M3P
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","13.29万元（日本円 約2,790,900円）","14.29万元（日本円 約3,000,900円）","14.69万元（日本円 約3,084,900円）","15.59万元（日本円 約3,273,900円）","15.99万元（日本円 約3,357,900円）","16.99万元（日本円 約3,567,900円）","18.39万元（日本円 約3,861,900円）","19.39万元（日本円 約4,071,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.49万元（日本円 約2,202,900円）","11.49万元（日本円 約2,412,900円）","12.49万元（日本円 約2,622,900円）","10.29万元（日本円 約2,160,900円）","11.29万元（日本円 約2,370,900円）","11.69万元（日本円 約2,454,900円）","12.59万元（日本円 約2,643,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","15.39万元（日本円 約3,231,900円）","16.39万元（日本円 約3,441,900円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2026-05-16,2026-05-16,2026-05-16,2025-04-10,2025-04-10,2025-04-10,2025-04-10,2025-04-10,2025-04-10,2025-04-10,2025-04-10
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),160,160,160,95,95,95,95,95,95,160,160
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,220,120,120,120,120,120,120,210,210
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,5.5,5.5,3,3,3,3,3,3,5.5,5.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー低速充電範囲(%),10-100,10-100,10-100,-,-,-,-,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),265,265,265,265,265,265,265,265,265,280,280
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),530,530,530,530,530,530,530,530,530,610,610
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,3速DHT,3速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),204,204,204,204,204,204,204,204,204,224,224
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4816*1930*1738,4816*1930*1738,4816*1930*1738,4795×1930×1738,4795×1930×1738,4795×1930×1741,4795×1930×1738,4795×1930×1741,4795×1930×1741,4795×1930×1738,4795×1930×1741
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.9,8.9,8.9,7.8,7.8,7.8,7.8,7.8,7.8,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.9,3.9,3.9,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.77,0.77,0.77,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.6,5.6,5.6,5.29,5.29,5.29,5.29,5.29,5.29,5.69,5.69
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.09,3.09,3.09,3.27,3.27,3.27,3.27,3.27,3.27,3.04,3.04
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2046,2046,2046,1970,1970,2026,1970,2026,2026,2006,2062
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2697,2697,2697,2621,2621,2621,2621,2621,2621,2657,2657
车身,車体,长度(mm),全長(mm),4816,4816,4816,4795,4795,4795,4795,4795,4795,4795,4795
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,車体,高度(mm),全高(mm),1738,1738,1738,1738,1738,1741,1738,1741,1741,1738,1741
车身,車体,轴距(mm),ホイールベース(mm),2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770
车身,車体,前轮距(mm),前トレッド(mm),1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638
车身,車体,后轮距(mm),後トレッド(mm),1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638
车身,車体,最小离地间隙(mm),最低地上高(mm),150,150,150,-,-,-,-,-,-,-,-
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19
