セクション,項目,eπ008 2026款 五座增程超阔版,eπ008 2026款 五座增程超尊版,eπ008 2026款 六座增程家悦版,eπ008 2026款 六座增程家享版,eπ008 2026款 六座增程行政版,eπ008 2026款 五座纯电超阔版,eπ008 2026款 五座纯电超尊版,eπ008 2026款 六座纯电家悦版,eπ008 2026款 六座纯电家享版,eπ008 2026款 六座纯电行政版,eπ008 2025款 210Ultra如奕版 5座,eπ008 2026款 纯电 基本型,eπ008 2026款 增程 基本型
,厂商指导价(元),16.99万 计算器,17.66万 计算器,18.86万 计算器,19.86万 计算器,21.98万 计算器,17.49万 计算器,18.16万 计算器,19.36万 计算器,20.36万 计算器,22.98万 计算器,18.36万 计算器,预售,预售
,经销商报价,15.99万起,16.66万起,17.36万起,18.56万起,21.98万起,16.49万起,17.16万起,17.86万起,19.06万起,22.98万起,16.26万起,暂无报价,暂无报价
基本参数,厂商,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技,奕派科技
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,纯电动,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,国VI,-,国VI
基本参数,上市时间,2025-10-16,2025-10-16,2025-08-01,2025-08-01,2026-05-08,2025-10-16,2025-10-16,2025-08-01,2025-08-01,2026-05-08,2025-03-01,-,-
基本参数,WLTC纯电续航里程(km),150,150,150,150,150,-,-,-,-,-,150,-,-
基本参数,CLTC纯电续航里程(km),202,202,202,202,202,610,620,610,620,610,210,-,-
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.47,0.47,0.47,0.47,0.47,0.43,-,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-
基本参数,最大功率(kW),200,200,200,200,200,200,200,200,200,200,200,230,215
基本参数,最大扭矩(N·m),340,340,340,340,340,340,340,340,340,340,340,-,-
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,1.5T 147马力 L4,1.5T 147马力 L4,1.5T 147马力 L4,1.5T 147马力 L4,1.5T 147马力 L4,-,-,-,-,-,1.5T 147马力 L4,-,增程器 129马力
基本参数,电动机(Ps),272,272,272,272,272,272,272,272,272,272,272,313,292
基本参数,长*宽*高(mm),5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732,5002*1972*1732
基本参数,官方0-100km/h加速(s),9,9,-,-,-,9,9,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,CLTC综合油耗(L/100km),0.68,0.68,0.68,0.68,0.68,-,-,-,-,-,0.68,-,-
基本参数,WLTC综合油耗(L/100km),0.79,0.79,0.79,0.79,0.79,-,-,-,-,-,0.7,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.79,5.75,5.79,5.75,5.79,-,-,-,-,-,5.75,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,4.76,4.76,4.76,4.76,4.76,-,-,-,-,-,4.7,-,-
基本参数,电能当量燃料消耗量(L/100km),2.16,2.16,2.16,2.16,2.16,1.71,1.71,1.71,1.71,1.71,2.16,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2189,2189,2189,2189,2189,2228,2228,2228,2228,2228,2189,2218,2278
基本参数,最大满载质量(kg),2596,2596,2664,2664,2664,2635,2635,2702,2702,2702,2596,2716,2788
车身,长度(mm),5002,5002,5002,5002,5002,5002,5002,5002,5002,5002,5002,5002,5002
车身,宽度(mm),1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972
车身,高度(mm),1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732
车身,轴距(mm),3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025
车身,前轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,接近角(°),21,21,21,21,21,21,21,21,21,21,21,21,21
车身,离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22
车身,最小转弯半径(m),5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,-,5.75,5.75
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
