セクション,項目,极氪007 2026款 后驱Max版 75kWh,极氪007 2026款 后驱Max版 103kWh,极氪007 2026款 四驱Max版 75kWh,极氪007 2026款 四驱Ultra版 103kWh,极氪007 2025款 后驱智驾版 75kWh,极氪007 2025款 长续航后驱智驾版 100kWh,极氪007 2025款 四驱智驾版 75kWh,极氪007 2025款 长续航四驱智驾版 100kWh,极氪007 2025款 四驱性能版 100kWh
,厂商指导价(元),20.39万 计算器,22.39万 计算器,23.39万 计算器,24.39万 计算器,20.99万 计算器,22.99万 计算器,22.99万 计算器,25.99万 计算器,29.99万 计算器
,经销商报价,20.39万起,22.39万起,23.39万起,24.39万起,20.99万起,22.99万起,22.99万起,25.99万起,29.99万起
基本参数,厂商,极氪,极氪,极氪,极氪,极氪,极氪,极氪,极氪,极氪
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-04-10,2026-04-10,2026-04-10,2026-04-10,2024-08-13,2024-08-13,2024-08-13,2024-08-13,2024-08-13
基本参数,CLTC纯电续航里程(km),715,905,-,800,688,870,616,770,660
基本参数,电池快充时间(小时),0.18,0.17,0.18,0.17,0.175,0.25,0.175,0.25,0.25
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,最大功率(kW),370,370,585,585,310,310,475,475,475
基本参数,最大扭矩(N·m),535,535,812,812,440,440,710,710,710
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),503,503,796,796,422,422,646,646,646
基本参数,长*宽*高(mm),4858*1900*1450,4858*1900*1450,4858*1900*1450,4858*1900*1450,4865*1900*1450,4865*1900*1450,4865*1900*1450,4865*1900*1450,4880*1900*1448
基本参数,官方0-100km/h加速(s),4.8,4.6,-,2.73,5.1,5,3.6,3.4,2.84
基本参数,最高车速(km/h),240,240,240,240,210,210,210,210,210
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,1.45,1.47,1.65,1.68,1.96
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,首任车主质保政策,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2150,2160,-,2255,2150,2160,2280,2290,2290
基本参数,最大满载质量(kg),2600,2610,-,2705,2525,2535,2655,2665,2665
车身,长度(mm),4858,4858,4858,4858,4865,4865,4865,4865,4880
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1448
车身,轴距(mm),2925,2925,2925,2925,2928,2928,2928,2928,2928
车身,前轮距(mm),1635,1635,1635,1635,1635,1635,1635,1635,1635
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,满载最小离地间隙(mm),-,-,-,-,119,119,119,119,116
车身,空载最小离地间隙(mm),-,-,-,-,141,141,141,141,138
车身,最小离地间隙(mm),152,152,152,-,-,-,-,-,-
车身,接近角(°),13,13,13,13,13,13,13,13,11
车身,离去角(°),16,16,16,16,16,16,16,16,14
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,前备厢容积(L),20,20,20,20,31,31,31,31,31
车身,后备厢容积(L),462,462,462,462,462,462,462,462,462
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,-,-,衢州极电,衢州极电,-,-,衢州极电,衢州极电,衢州极电
