セクション,項目,坦克700新能源 2026款 Hi4-Z 极致版,坦克700新能源 2026款 Hi4-Z 极境版,坦克700新能源 2026款 Hi4-T 巅峰版,坦克700新能源 2024款 Hi4-T 极致版,坦克700新能源 2024款 Hi4-T 极境版,坦克700新能源 2024款 Hi4-T 首发限定版
,厂商指导价(元),42.80万 计算器,46.80万 计算器,50.80万 计算器,42.80万 计算器,46.80万 计算器,70.00万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-20,2026-04-20,2026-04-20,2024-02-26,2024-02-26,2024-02-26
基本参数,NEDC纯电续航里程(km),-,-,-,100,100,95
基本参数,WLTC纯电续航里程(km),190,190,90,90,90,85
基本参数,电池快充时间(小时),0.25,0.25,0.27,0.4,0.4,0.4
基本参数,电池慢充时间(小时),7.5,7.5,6.5,6.5,6.5,6.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),635,635,395,385,385,385
基本参数,最大扭矩(N·m),1195,1195,800,800,800,850
基本参数,变速箱,3挡DHT,3挡DHT,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 252马力 L4,2.0T 252马力 L4,3.0T 360马力 V6,3.0T 360马力 V6,3.0T 360马力 V6,3.0T 360马力 V6
基本参数,电动机(Ps),619,619,177,163,163,163
基本参数,长*宽*高(mm),5105*2061*1985,5105*2061*1985,5105*2061*1985,5090*2061*1952,5090*2061*1952,5110*2122*1986
基本参数,官方0-100km/h加速(s),5.6,5.6,5.6,5.6,5.6,5.6
基本参数,最高车速(km/h),190,190,190,190,190,190
基本参数,WLTC综合油耗(L/100km),1.16,1.16,2.97,2.97,2.97,3.2
基本参数,最低荷电状态油耗(L/100km),-,-,-,10.9,10.9,11.3
基本参数,最低荷电状态油耗(L/100km)WLTC,8.45,8.45,10.9,-,-,-
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,首任车主质保政策,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）,● 发动机终身质保（责任免除条款以官方为准）
基本参数,整备质量(kg),3260,3260,3165,3110,3110,3180
基本参数,最大满载质量(kg),3725,3725,3630,3630,3630,3630
基本参数,准拖挂车总质量(kg),2500,2500,2500,2500,2500,2500
车身,长度(mm),5105,5105,5105,5090,5090,5110
车身,宽度(mm),2061,2061,2061,2061,2061,2122
车身,高度(mm),1985,1985,1985,1952,1952,1986
车身,轴距(mm),3000,3000,3000,3000,3000,3000
车身,前轮距(mm),1742,1742,1742,1742,1742,1800
车身,后轮距(mm),1757,1757,1757,1757,1757,1813
车身,满载最小离地间隙(mm),200,200,249,249,255,245
车身,接近角(°),23,23,23,32,32,22
车身,离去角(°),28,28,28,32,33.5,26
车身,最大涉水深度(mm),900,900,900,900,970,970
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),85,85,85,85,85,85
车身,后备厢容积(L),-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,E20NB,E20NB,E30Z,E30Z,E30Z,E30Z
发动机,排量(mL),1998,1998,2993,2993,2993,2993
发动机,排量(L),2.0,2.0,3.0,3.0,3.0,3.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,V,V,V,V
发动机,气缸数(个),4,4,6,6,6,6
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),252,252,360,360,360,360
发动机,最大功率(kW),185,185,265,265,265,265
发动机,最大功率转速(rpm),6000,6000,6000,-,-,-
发动机,最大扭矩(N·m),385,385,560,560,560,560
发动机,最大扭矩转速(rpm),1700-4000,1700-4000,1750-3500,-,-,-
发动机,最大净功率(kW),180,180,260,260,260,260
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),455,455,130,120,120,120
电动机,电动机总马力(Ps),619,619,177,163,163,163
电动机,电动机总扭矩(N·m),815,815,495,400,400,400
电动机,前电动机最大功率(kW),215,215,130,120,120,120
电动机,前电动机最大扭矩(N·m),400,400,495,400,400,400
电动机,后电动机最大功率(kW),240,240,-,-,-,-
电动机,后电动机最大扭矩(N·m),415,415,-,-,-,-
电动机,系统综合功率(kW),635,635,395,385,385,385
电动机,系统综合马力(Ps),864,864,537,524,524,524
电动机,系统综合扭矩(N·m),1195,1195,800,800,800,850
电动机,驱动电机数,双电机,双电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置+后置,前置+后置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,NEDC纯电续航里程(km),-,-,-,100,100,95
电池/充电,WLTC纯电续航里程(km),190,190,90,90,90,85
