セクション,セクション_ja,項目,項目_ja,2025年モデル Max,2025年モデル Max+,2025年モデル Pro Max,2025年モデル Ultra,2024年モデル Max 標準版,2024年モデル Max ロングレンジ欧州版,2024年モデル Max ロングレンジ版,2024年モデル Max 超ロングレンジ版,2024年モデル Max ハイパフォーマンス版,2026年モデル 2WD 基本型,2026年モデル 2WD 中間グレード,2026年モデル 4WD 最上位グレード
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"21.99万元（日本円 約4,617,900円）","23.49万元（日本円 約4,932,900円）","25.49万元（日本円 約5,352,900円）","27.99万元（日本円 約5,877,900円）","21.99万元（日本円 約4,617,900円）","24.69万元（日本円 約5,184,900円）","25.99万元（日本円 約5,457,900円）","27.59万元（日本円 約5,793,900円）","30.59万元（日本円 約6,423,900円）",预售,预售,预售
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"18.99万元（日本円 約3,987,900円）","20.49万元（日本円 約4,302,900円）","22.49万元（日本円 約4,722,900円）","24.99万元（日本円 約5,247,900円）","20.49万元（日本円 約4,302,900円）","22.69万元（日本円 約4,764,900円）","23.99万元（日本円 約5,037,900円）","24.99万元（日本円 約5,247,900円）","26.59万元（日本円 約5,583,900円）",暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ,IMモーターズ
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025-05-13,2025-05-13,2025-05-13,2025-05-13,2024-05-13,2024-05-24,2024-05-13,2024-05-13,2024-05-13,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),690,690,850,780,650,710,710,850,780,-,-,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.28,0.28,0.425,0.28,0.28,0.28,0.28,-,-,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),245,245,300,579,216,248,248,300,579,245,300,500
