セクション,セクション_ja,項目,項目_ja,2025年モデル 615 Air版,2025年モデル 615 Pro版,2025年モデル 615 Max版,2025年モデル 560 4WD Max版,2024年モデル 615 Air版,2024年モデル 615 Pro版,2024年モデル 615 Max版,2024年モデル 560 4WD Max版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）","21.98万元（日本円 約4,615,800円）","23.88万元（日本円 約5,014,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）","21.98万元（日本円 約4,615,800円）","23.88万元（日本円 約5,014,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2024-11-15,2024-11-15,2024-11-15,2024-11-15,2023-11-17,2023-11-17,2023-11-17,2023-11-17
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),615,615,615,560,615,615,615,560
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),10,10,10,10,10,10,10,10
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,150,160,150,150,150,160
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),266.3,266.3,266.3,337,266.3,266.3,266.3,337
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),204,204,204,218,204,204,204,218
