セクション,項目,小鹏P7+ 2026款 增程 1550 Max 科技版,小鹏P7+ 2026款 增程 1550 Max 旗舰版,小鹏P7+ 2026款 纯电 615 Max 旗舰版,小鹏P7+ 2026款 纯电 725 Max 旗舰版,小鹏P7+ 2025款 超长续航 Max 旗舰版,小鹏P7+ 2024款 长续航 Max,小鹏P7+ 2024款 超长续航 Max
,厂商指导价(元),18.68万 计算器,19.88万 计算器,18.68万 计算器,19.88万 计算器,20.88万 计算器,18.68万 计算器,19.88万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2025-04-23,2024-11-07,2024-11-07
基本参数,WLTC纯电续航里程(km),325,325,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),430,430,615,725,685,615,725
基本参数,电池快充时间(小时),0.2,0.2,0.2,0.2,0.2,0.33,0.33
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,最大功率(kW),180,180,180,230,230,180,230
基本参数,最大扭矩(N·m),450,450,450,450,450,450,450
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,增程器 150马力,增程器 150马力,-,-,-,-,-
基本参数,电动机(Ps),245,245,245,313,313,245,313
基本参数,长*宽*高(mm),5071*1937*1512,5071*1937*1512,5071*1937*1512,5071*1937*1512,5056*1937*1512,5056*1937*1512,5056*1937*1512
基本参数,官方0-100km/h加速(s),6.9,6.9,6.9,5.9,5.9,6.9,5.9
基本参数,最高车速(km/h),200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.09,0.09,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.3,5.3,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,1.27,1.36,1.47,1.35,1.43
基本参数,油电综合燃料消耗量(L/100km),2.24,2.24,-,-,-,-,-
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),2160,2160,2015,2105,2084,1967,2073
基本参数,最大满载质量(kg),2560,2560,2415,2505,2500,2400,2500
车身,长度(mm),5071,5071,5071,5071,5056,5056,5056
车身,宽度(mm),1937,1937,1937,1937,1937,1937,1937
车身,高度(mm),1512,1512,1512,1512,1512,1512,1512
车身,轴距(mm),3000,3000,3000,3000,3000,3000,3000
车身,前轮距(mm),1642,1642,1642,1642,1638,1638,1638
车身,后轮距(mm),1681,1681,1681,1681,1675,1675,1675
车身,接近角(°),14,14,14,14,14,14,14
车身,离去角(°),18,18,17,17,17,17,17
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
