セクション,セクション_ja,項目,項目_ja,2026年モデル 増程式 1550 Max テクノロジー版,2026年モデル 増程式 1550 Max フラッグシップ版,2026年モデル 純電動 615 Max フラッグシップ版,2026年モデル 純電動 725 Max フラッグシップ版,2025年モデル 超長航続 Max フラッグシップ版,2024年モデル 長航続 Max,2024年モデル 超長航続 Max
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"18.68万元（日本円 約3,922,800円）","19.88万元（日本円 約4,174,800円）","18.68万元（日本円 約3,922,800円）","19.88万元（日本円 約4,174,800円）","20.88万元（日本円 約4,384,800円）","18.68万元（日本円 約3,922,800円）","19.88万元（日本円 約4,174,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車,小鵬自動車
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2025-04-23,2024-11-07,2024-11-07
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),325,325,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),430,430,615,725,685,615,725
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.2,0.2,0.2,0.2,0.33,0.33
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),180,180,180,230,230,180,230
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),450,450,450,450,450,450,450
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 150馬力,レンジエクステンダー 150馬力,-,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),245,245,245,313,313,245,313
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5071×1937×1512（mm）,5071×1937×1512（mm）,5071×1937×1512（mm）,5071×1937×1512（mm）,5056×1937×1512（mm）,5056×1937×1512（mm）,5056×1937×1512（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.9,6.9,6.9,5.9,5.9,6.9,5.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.09,0.09,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.3,5.3,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,1.27,1.36,1.47,1.35,1.43
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.24,2.24,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2160,2160,2015,2105,2084,1967,2073
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2560,2560,2415,2505,2500,2400,2500
车身,車体,长度(mm),全長(mm),5071,5071,5071,5071,5056,5056,5056
车身,車体,宽度(mm),全幅(mm),1937,1937,1937,1937,1937,1937,1937
车身,車体,高度(mm),全高(mm),1512,1512,1512,1512,1512,1512,1512
车身,車体,轴距(mm),ホイールベース(mm),3000,3000,3000,3000,3000,3000,3000
车身,車体,前轮距(mm),前トレッド(mm),1642,1642,1642,1642,1638,1638,1638
车身,車体,后轮距(mm),後トレッド(mm),1681,1681,1681,1681,1675,1675,1675
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),18,18,17,17,17,17,17
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
