セクション,項目,星海S7 2026款 565轻享版,星海S7 2026款 565悦享版,星海S7 2026款 565 星享版,星海S7 2026款 565 共创版,星海S7 2026款 565 星创版,星海S7 2026款 650超快充奢享版,星海S7 2026款 650超快充至尊版,星海S7 2025款 235增程 悦享版,星海S7 2025款 235增程 奢享版,星海S7 2025款 235增程 行政版,星海S7 2025款 235增程 尊贵版,星海S7 2025款 235增程 尊誉版,星海S7 2025款 555星创版,星海S7 2025款 565 星创版,星海S7 2024款 555行政版,星海S7 2024款 650行政版,星海S7 2024款 555悦享版,星海S7 2024款 555奢享版,星海S7 2024款 650至尊版
,厂商指导价(元),11.99万 计算器,12.99万 计算器,13.69万 计算器,15.49万 计算器,15.29万 计算器,13.99万 计算器,14.99万 计算器,12.99万 计算器,13.99万 计算器,19.69万 计算器,18.68万 计算器,21.99万 计算器,15.29万 计算器,15.29万 计算器,18.49万 计算器,18.99万 计算器,12.98万 计算器,13.99万 计算器,14.99万 计算器
,经销商报价,10.59万起,11.59万起,13.69万起,15.49万起,15.29万起,12.59万起,13.59万起,12.49万起,13.49万起,19.69万起,18.68万起,21.99万起,15.29万起,15.29万起,18.49万起,18.99万起,12.58万起,13.19万起,13.49万起
基本参数,厂商,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-
基本参数,上市时间,2025-11-19,2025-11-19,2026-01-19,2026-01-19,2026-03-20,2025-11-19,2025-11-19,2025-04-24,2025-04-24,2025-08-28,2025-11-12,2026-01-16,2025-06-25,2025-09-19,2024-11-28,2024-12-21,2024-09-26,2024-09-26,2024-12-21
基本参数,CLTC纯电续航里程(km),565,565,565,565,565,650,650,235,235,235,235,235,555,565,555,650,555,555,650
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.24,0.24,0.5,0.5,0.5,0.5,0.5,0.43,0.47,0.43,0.43,0.43,0.43,0.43
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),160,160,160,160,160,230,230,160,160,160,160,160,160,160,160,200,160,160,200
基本参数,最大扭矩(N·m),310,310,310,310,310,395,395,310,310,310,310,310,310,310,310,320,310,310,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,-,-,-,-,-,-,-,增程器 105马力,增程器 105马力,增程器 105马力,增程器 105马力,增程器 105马力,-,-,-,-,-,-,-
基本参数,电动机(Ps),218,218,218,218,218,313,313,218,218,218,218,218,218,218,218,272,218,218,272
