セクション,セクション_ja,項目,項目_ja,2026年モデル 565 ライトエディション,2026年モデル 565 プレミアムエディション,2026年モデル 565 スターエディション,2026年モデル 565 コラボレーションエディション,2026年モデル 565 スタークリエイトエディション,2026年モデル 650 超急速充電 ラグジュアリーエディション,2026年モデル 650 超急速充電 プレミアムエディション,2025年モデル 235 増程 プレミアムエディション,2025年モデル 235 増程 ラグジュアリーエディション,2025年モデル 235 増程 エグゼクティブエディション,2025年モデル 235 増程 プレミアムグレード,2025年モデル 235 増程 プレミアムプレステージエディション,2025年モデル 555 スタークリエイトエディション,2025年モデル 565 スタークリエイトエディション,2024年モデル 555 エグゼクティブエディション,2024年モデル 650 エグゼクティブエディション,2024年モデル 555 プレミアムエディション,2024年モデル 555 ラグジュアリーエディション,2024年モデル 650 プレミアムエディション
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.69万元（日本円 約2,874,900円）","15.49万元（日本円 約3,252,900円）","15.29万元（日本円 約3,210,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","19.69万元（日本円 約4,134,900円）","18.68万元（日本円 約3,922,800円）","21.99万元（日本円 約4,617,900円）","15.29万元（日本円 約3,210,900円）","15.29万元（日本円 約3,210,900円）","18.49万元（日本円 約3,882,900円）","18.99万元（日本円 約3,987,900円）","12.98万元（日本円 約2,725,800円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.59万元（日本円 約2,223,900円）","11.59万元（日本円 約2,433,900円）","13.69万元（日本円 約2,874,900円）","15.49万元（日本円 約3,252,900円）","15.29万元（日本円 約3,210,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","12.49万元（日本円 約2,622,900円）","13.49万元（日本円 約2,832,900円）","19.69万元（日本円 約4,134,900円）","18.68万元（日本円 約3,922,800円）","21.99万元（日本円 約4,617,900円）","15.29万元（日本円 約3,210,900円）","15.29万元（日本円 約3,210,900円）","18.49万元（日本円 約3,882,900円）","18.99万元（日本円 約3,987,900円）","12.58万元（日本円 約2,641,800円）","13.19万元（日本円 約2,769,900円）","13.49万元（日本円 約2,832,900円）"
基本参数,基本仕様,厂商,メーカー,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行,東風風行
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025-11-19,2025-11-19,2026-01-19,2026-01-19,2026-03-20,2025-11-19,2025-11-19,2025-04-24,2025-04-24,2025-08-28,2025-11-12,2026-01-16,2025-06-25,2025-09-19,2024-11-28,2024-12-21,2024-09-26,2024-09-26,2024-12-21
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),565,565,565,565,565,650,650,235,235,235,235,235,555,565,555,650,555,555,650
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.24,0.24,0.5,0.5,0.5,0.5,0.5,0.43,0.47,0.43,0.43,0.43,0.43,0.43
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
