セクション,項目,享界S9 2026款 增程 Max 后驱 37kWh (896线激光雷达）,享界S9 2026款 增程 Max 后驱 53kWh (896线激光雷达）,享界S9 2026款 增程 Ultra 后驱 53kWh (896线激光雷达）,享界S9 2026款 纯电 Max 后驱 100kWh (896线激光雷达）,享界S9 2026款 纯电 Max 四驱 100kWh (896线激光雷达）,享界S9 2026款 纯电 Ultra 四驱 100kWh (896线激光雷达）,享界S9 2026款 增程 Max 后驱 37kWh (192线激光雷达）,享界S9 2026款 增程 Max 后驱 53kWh (192线激光雷达）,享界S9 2026款 纯电 Max 后驱 100kWh (192线激光雷达）,享界S9 2026款 增程 Ultra 后驱 53kWh (192线激光雷达）,享界S9 2026款 纯电 Max 四驱 100kWh (192线激光雷达）,享界S9 2026款 纯电 Ultra 四驱 100kWh (192线激光雷达）
,厂商指导价(元),31.98万 计算器,33.98万 计算器,35.98万 计算器,33.98万 计算器,35.98万 计算器,37.98万 计算器,30.98万 计算器,32.98万 计算器,32.98万 计算器,34.98万 计算器,34.98万 计算器,36.98万 计算器
,经销商报价,31.98万起,33.98万起,35.98万起,33.98万起,35.98万起,37.98万起,30.98万起,32.98万起,32.98万起,34.98万起,34.98万起,36.98万起
基本参数,厂商,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,纯电动,增程式,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-,国VI,国VI,-,国VI,-,-
基本参数,上市时间,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20
基本参数,WLTC纯电续航里程(km),208,292,292,-,-,-,208,292,-,292,-,-
基本参数,CLTC纯电续航里程(km),260,372,372,816,721,721,260,372,816,372,721,721
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
