セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Max 後輪駆動 37kWh（896ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 53kWh（896ラインレーザーレーダー）,2026年モデル 増程 Ultra 後輪駆動 53kWh（896ラインレーザーレーダー）,2026年モデル 純電 Max 後輪駆動 100kWh（896ラインレーザーレーダー）,2026年モデル 純電 Max 4WD 100kWh（896ラインレーザーレーダー）,2026年モデル 純電 Ultra 4WD 100kWh（896ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 37kWh（192ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 53kWh（192ラインレーザーレーダー）,2026年モデル 純電 Max 後輪駆動 100kWh（192ラインレーザーレーダー）,2026年モデル 増程 Ultra 後輪駆動 53kWh（192ラインレーザーレーダー）,2026年モデル 純電 Max 4WD 100kWh（192ラインレーザーレーダー）,2026年モデル 純電 Ultra 4WD 100kWh（192ラインレーザーレーダー）
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"31.98万元（日本円 約6,715,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","37.98万元（日本円 約7,975,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","32.98万元（日本円 約6,925,800円）","34.98万元（日本円 約7,345,800円）","34.98万元（日本円 約7,345,800円）","36.98万元（日本円 約7,765,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"31.98万元（日本円 約6,715,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","37.98万元（日本円 約7,975,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","32.98万元（日本円 約6,925,800円）","34.98万元（日本円 約7,345,800円）","34.98万元（日本円 約7,345,800円）","36.98万元（日本円 約7,765,800円）"
基本参数,基本仕様,厂商,メーカー,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界,STELATO 享界
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,純電動,レンジエクステンダー式,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス基準）,国VI（排ガス基準）,国VI（排ガス基準）,-,-,-,国VI（排ガス基準）,国VI（排ガス基準）,-,国VI（排ガス基準）,-,-
基本参数,基本仕様,上市时间,発売時期,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),208,292,292,-,-,-,208,292,-,292,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),260,372,372,816,721,721,260,372,816,372,721,721
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
