セクション,項目,腾势Z9GT 2026款 易三方闪充尊荣型,腾势Z9GT 2026款 易三方闪充旗舰型,腾势Z9GT 2026款 闪充尊荣型,腾势Z9GT 2026款 闪充旗舰型,腾势Z9GT 2026款 易三方闪充性能型,腾势Z9GT 2024款 630四驱Pro版,腾势Z9GT 2024款 630四驱Max版,腾势Z9GT 2024款 1100四驱Pro版,腾势Z9GT 2024款 1100四驱Max版,腾势Z9GT 2024款 1100四驱Ultra版
,厂商指导价(元),30.98万 计算器,33.98万 计算器,26.98万 计算器,29.98万 计算器,36.98万 计算器,35.48万 计算器,38.48万 计算器,33.48万 计算器,36.48万 计算器,41.48万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,-,-,-,-,-,国VI,国VI,国VI
基本参数,上市时间,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2024-09-20,2024-09-20,2024-09-20,2024-09-20,2024-09-20
基本参数,WLTC纯电续航里程(km),301,301,-,-,-,-,-,161,161,161
基本参数,CLTC纯电续航里程(km),401,401,880,1036,820,630,630,201,201,201
基本参数,电池快充时间(小时),0.15,0.15,0.15,0.15,0.15,0.32,0.32,0.32,0.32,0.32
基本参数,电池快充电量范围(%),10-97,10-97,10-97,10-97,10-97,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,370,370,850,710,710,-,-,-
基本参数,最大扭矩(N·m),-,-,500,500,1210,1150,1150,935,935,935
