セクション,セクション_ja,項目,項目_ja,2025年モデル 117km 劲为版,2025年モデル 117km 劲为PLUS版,2025年モデル 125km 劲为 200万台記念版,2025年モデル 125km 劲为PLUS 200万台記念版,2024年モデル 115km 劲为版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.98万元（日本円 約3,355,800円）","16.18万元（日本円 約3,397,800円）","15.98万元（日本円 約3,355,800円）","16.18万元（日本円 約3,397,800円）","15.98万元（日本円 約3,355,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.98万元（日本円 約2,725,800円）","13.18万元（日本円 約2,767,800円）","12.98万元（日本円 約2,725,800円）","13.18万元（日本円 約2,767,800円）","12.98万元（日本円 約2,725,800円）"
基本参数,基本仕様,厂商,メーカー,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025-08-28,2025-06-27,2025-08-30,2025-08-30,2024-09-21
基本参数,基本仕様,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,107
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),95,95,102,102,93
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),117,117,125,125,115
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.32,0.32,0.32,0.32,0.43
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),2.6,2.6,2.6,2.6,2.6
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 169馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),228,228,228,228,190
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4655×1900×1668mm,4655×1900×1668mm,4655×1900×1668mm,4655×1900×1668mm,4655×1900×1668mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.6,7.6,7.6,7.6,8.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.20,1.20,1.13,1.13,1.3
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,5.50,5.50,5.53,5.53,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,4.6,4.6,4.6,4.6,4.8
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,2.23
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.98,2.98,3.01,3.01,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1920,1920,1920,1920,1935
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2370,2370,2370,2370,2385
车身,車体,长度(mm),全長(mm),4655,4655,4655,4655,4655
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1668,1668,1668,1668,1668
车身,車体,轴距(mm),ホイールベース(mm),2770,2770,2770,2770,2770
车身,車体,前轮距(mm),前トレッド(mm),1624,1624,1624,1624,1629
车身,車体,后轮距(mm),後トレッド(mm),1630,1630,1630,1630,1634
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20,20
