セクション,項目,东风本田S7 2025款 开拓者版,东风本田S7 2025款 领航者版,
,厂商指导价(元),19.99万 计算器,24.99万 计算器,–
,经销商报价,暂无报价,暂无报价,–
基本参数,厂商,东风本田,东风本田,–
基本参数,级别,中型SUV,中型SUV,–
基本参数,能源类型,纯电动,纯电动,–
基本参数,上市时间,2025-03-06,2025-03-06,–
基本参数,CLTC纯电续航里程(km),650,620,–
基本参数,电池快充时间(小时),0.6,0.6,–
基本参数,电池慢充时间(小时),13.3,13.3,–
基本参数,电池快充电量范围(%),30-80,30-80,–
基本参数,电池慢充电量范围(%),5-100,5-100,–
基本参数,最大功率(kW),200,350,–
基本参数,最大扭矩(N·m),420,770,–
基本参数,车身结构,5门5座SUV,5门5座SUV,–
基本参数,电动机(Ps),272,476,–
基本参数,长*宽*高(mm),4750*1930*1625,4750*1930*1625,–
基本参数,官方0-100km/h加速(s),5.8,4.6,–
基本参数,最高车速(km/h),180,180,–
基本参数,电能当量燃料消耗量(L/100km),1.7,1.8,–
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,–
基本参数,整备质量(kg),2175,2305,–
基本参数,最大满载质量(kg),2775,2775,–
车身,长度(mm),4750,4750,–
车身,宽度(mm),1930,1930,–
车身,高度(mm),1625,1625,–
车身,轴距(mm),2930,2930,–
车身,前轮距(mm),1641,1641,–
车身,后轮距(mm),1654,1654,–
车身,接近角(°),17,17,–
车身,离去角(°),24,24,–
车身,最小转弯半径(m),5.55,5.55,–
车身,车身结构,SUV,SUV,–
车身,车门开启方式,平开门,平开门,–
车身,车门数(个),● 5,● 5,–
车身,座位数(个),● 5,● 5,–
车身,后备厢容积(L),471-1485,471-1485,–
车身,风阻系数(Cd),-,-,–
电动机,前电动机品牌,-,联合电子,–
电动机,后电动机品牌,联合电子,联合电子,–
电动机,前电动机型号,-,TZ210XSAMCFA1,–
电动机,后电动机型号,TZ220XSAMCF81,TZ220XSAMCF81,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),200,350,–
电动机,电动机总马力(Ps),272,476,–
电动机,电动机总扭矩(N·m),420,770,–
电动机,前电动机最大功率(kW),-,150,–
电动机,前电动机最大扭矩(N·m),-,350,–
电动机,后电动机最大功率(kW),200,200,–
电动机,后电动机最大扭矩(N·m),420,420,–
电动机,驱动电机数,单电机,双电机,–
电动机,电机布局,后置,前置+后置,–
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,–
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,–
电池/充电,电池冷却方式,液冷,液冷,–
