セクション,項目,海豹06GT 2026款 520海浪版,海豹06GT 2026款 520海浪Plus版,海豹06GT 2026款 620热浪Plus版,海豹06GT 2026款 620热浪Max版,海豹06GT 2025款 智驾版 505海浪版,海豹06GT 2025款 智驾版 505海浪Plus版,海豹06GT 2025款 智驾版 605热浪版,海豹06GT 2025款 智驾版 550四驱热浪版
,厂商指导价(元),12.89万 计算器,13.99万 计算器,15.39万 计算器,16.99万 计算器,13.68万 计算器,14.68万 计算器,16.28万 计算器,18.68万 计算器
,经销商报价,12.89万起,13.99万起,15.39万起,16.99万起,13.28万起,14.28万起,15.88万起,18.28万起
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-04-02,2026-04-02,2026-04-02,2026-04-02,2025-02-10,2025-02-10,2025-02-10,2025-02-10
基本参数,CLTC纯电续航里程(km),520,520,620,620,505,505,605,550
基本参数,电池快充时间(小时),0.15,0.15,0.15,0.15,0.37,0.37,0.33,0.33
基本参数,电池快充电量范围(%),10-97,10-97,10-97,10-97,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),200,200,240,240,160,160,165,310
基本参数,最大扭矩(N·m),230,230,270,270,310,310,330,510
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),272,272,326,326,218,218,224,422
基本参数,长*宽*高(mm),4630*1880*1490,4630*1880*1490,4630*1880*1490,4630*1880*1490,4630*1880*1490,4630*1880*1490,4630*1880*1490,4630*1880*1490
基本参数,官方0-100km/h加速(s),6.9,6.9,6.5,6.5,7.5,7.5,7.5,4.9
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200
基本参数,电能当量燃料消耗量(L/100km),1.43,1.43,1.45,1.45,1.51,1.51,1.54,1.72
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1750,1750,1880,1880,1850,1850,1940,2060
基本参数,最大满载质量(kg),2165,2165,2300,2300,2225,2225,2315,2435
车身,长度(mm),4630,4630,4630,4630,4630,4630,4630,4630
车身,宽度(mm),1880,1880,1880,1880,1880,1880,1880,1880
车身,高度(mm),1490,1490,1490,1490,1490,1490,1490,1490
车身,轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820
车身,前轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625
车身,后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630
车身,接近角(°),13,13,13,13,13,13,13,13
