セクション,項目,北京越野BJ40增程 2026款 长续航 201 Max,北京越野BJ40增程 2026款 长续航 201 Max+,北京越野BJ40增程 2026款 长续航 252 Ultra,北京越野BJ40增程 2026款 公务版,北京越野BJ40增程 2026款 卓越版,北京越野BJ40增程 2026款 恒通版,北京越野BJ40增程 2025款 标准版,北京越野BJ40增程 2025款 标准版Ⅰ,北京越野BJ40增程 2025款 进阶版,北京越野BJ40增程 2025款 元境智行版,北京越野BJ40增程 2025款 行业版
,厂商指导价(元),17.98万 计算器,20.48万 计算器,20.98万 计算器,19.88万 计算器,19.98万 计算器,23.18万 计算器,17.98万 计算器,17.98万 计算器,19.98万 计算器,20.48万 计算器,26.98万 计算器
,经销商报价,15.98万起,18.48万起,18.98万起,17.88万起,17.98万起,21.18万起,15.98万起,15.98万起,17.98万起,18.48万起,24.98万起
基本参数,厂商,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-05-21,2026-05-21,2026-05-21,2026-07-10,2026-07-10,2026-05-15,2025-04-07,2026-01-05,2025-04-07,2025-11-13,2025-10-28
基本参数,WLTC纯电续航里程(km),145,145,170,145,145,145,126,126,126,126,126
基本参数,CLTC纯电续航里程(km),201,201,252,201,201,201,152,152,152,152,152
基本参数,电池快充时间(小时),0.25,0.25,0.23,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),391,391,391,391,391,391,403,403,403,403,403
基本参数,最大扭矩(N·m),655,655,655,655,655,625,655,655,655,655,655
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
