セクション,セクション_ja,項目,項目_ja,2026年モデル 赤兎標準版,2025年モデル 標準版,2025年モデル 進階版,2025年モデル 標準版Ⅰ,2025年モデル 元境智行版,2025年モデル 卓越版,2025年モデル 業界版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"27.98万元（日本円 約5,875,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）","17.98万元（日本円 約3,775,800円）","20.48万元（日本円 約4,300,800円）","23.18万元（日本円 約4,867,800円）","26.98万元（日本円 約5,665,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"27.38万元（日本円 約5,749,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）","17.98万元（日本円 約3,775,800円）","18.48万元（日本円 約3,880,800円）","23.18万元（日本円 約4,867,800円）","26.98万元（日本円 約5,665,800円）"
基本参数,基本仕様,厂商,メーカー,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野,北京越野
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2026-01-27,2025-04-07,2025-04-07,2026-01-05,2025-11-13,2025-09-08,2025-10-28
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),122,126,126,126,126,126,126
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),150,152,152,152,152,152,152
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),403,403,403,403,403,403,403
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),655,655,655,655,655,655,655
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 188馬力,レンジエクステンダー 188馬力,レンジエクステンダー 188馬力,レンジエクステンダー 188馬力,レンジエクステンダー 188馬力,レンジエクステンダー 188馬力,レンジエクステンダー 188馬力
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),548,548,548,548,548,548,548
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4861×2065×2110,4790×1940×1964,4790×1940×1964,4790×1940×1964,4790×1940×1964,4790×1940×1964,4790×1940×1964
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,170,170,170,170,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.46,1.39,1.39,1.33,1.33,1.39,1.39
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,8.45,8.68,8.68,8.3,8.3,8.68,8.68
