セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5T 130km 快適版 5人乗り,2026年モデル 1.5T 130km 快適版 7人乗り,2026年モデル 1.5T 130km 豪華版 5人乗り,2026年モデル 1.5T 130km 豪華版 7人乗り,2026年モデル 1.5T 130km 豪華版＋ 5人乗り,2026年モデル 1.5T 130km 豪華版＋ 7人乗り,2025年モデル 1.5T 120km 尊享版 5人乗り,2025年モデル 1.5T 120km 尊享版 7人乗り,2025年モデル 1.5T 120km 快享版 5人乗り,2025年モデル 1.5T 120km 快享版 7人乗り,2025年モデル 1.5T 120km 楽享版 5人乗り,2025年モデル 1.5T 120km 楽享版 7人乗り,2025年モデル 1.5T 120km 尚享版 5人乗り,2025年モデル 1.5T 120km 尚享版 7人乗り,2024年モデル 1.5T 120km PRO 5人乗り,2024年モデル 1.5T 120km PRO 7人乗り,2024年モデル 1.5T 120km MAX 5人乗り,2024年モデル 1.5T 120km MAX 7人乗り,2024年モデル 1.5T 120km MAX＋ 5人乗り,2024年モデル 1.5T 120km MAX＋ 7人乗り,2024年モデル 1.5T 120km ULTRA 5人乗り,2024年モデル 1.5T 120km ULTRA 7人乗り
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.49万元（日本円 約2,412,900円）","11.89万元（日本円 約2,496,900円）","12.49万元（日本円 約2,622,900円）","12.89万元（日本円 約2,706,900円）","12.79万元（日本円 約2,685,900円）","13.19万元（日本円 約2,769,900円）","20.98万元（日本円 約4,405,800円）","21.38万元（日本円 約4,489,800円）","14.98万元（日本円 約3,145,800円）","15.38万元（日本円 約3,229,800円）","21.58万元（日本円 約4,531,800円）","21.98万元（日本円 約4,615,800円）","22.38万元（日本円 約4,699,800円）","22.78万元（日本円 約4,783,800円）","12.98万元（日本円 約2,725,800円）","13.38万元（日本円 約2,809,800円）","14.28万元（日本円 約2,998,800円）","14.68万元（日本円 約3,082,800円）","15.28万元（日本円 約3,208,800円）","15.68万元（日本円 約3,292,800円）","15.98万元（日本円 約3,355,800円）","16.38万元（日本円 約3,439,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"9.99万元（日本円 約2,097,900円）","10.39万元（日本円 約2,181,900円）","10.99万元（日本円 約2,307,900円）","11.39万元（日本円 約2,391,900円）","11.29万元（日本円 約2,370,900円）","11.69万元（日本円 約2,454,900円）","20.98万元（日本円 約4,405,800円）","21.38万元（日本円 約4,489,800円）","13.48万元（日本円 約2,830,800円）","13.88万元（日本円 約2,914,800円）","20.08万元（日本円 約4,216,800円）","20.48万元（日本円 約4,300,800円）","20.88万元（日本円 約4,384,800円）","21.28万元（日本円 約4,468,800円）",暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2025-10-23,2025-10-23,2025-03-04,2025-03-04,2025-06-06,2025-06-06,2025-06-06,2025-06-06,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),100,100,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),130,130,130,130,130,130,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
