セクション,項目,铂智7 2026款 600 Pro,铂智7 2026款 600 Pro激光雷达版,铂智7 2026款 700 Max,铂智7 2026款 700 Max激光雷达版,铂智7 2026款 710 Ultra激光雷达版
,厂商指导价(元),16.98万 计算器,18.98万 计算器,18.98万 计算器,20.98万 计算器,22.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2026-03-29,2026-03-29,2026-03-29,2026-03-29,2026-03-29
基本参数,CLTC纯电续航里程(km),600,600,700,700,710
基本参数,电池快充时间(小时),0.4,0.4,0.4,0.4,0.4
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),207,207,207,207,207
基本参数,最大扭矩(N·m),320,320,320,320,320
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),282,282,282,282,282
基本参数,长*宽*高(mm),5130*1965*1506,5130*1965*1506,5130*1965*1506,5130*1965*1506,5130*1965*1491
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.7,3.7,3.8,3.8,3.8
基本参数,最高车速(km/h),180,180,180,180,180
基本参数,电能当量燃料消耗量(L/100km),1.47,1.47,1.56,1.56,1.53
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2105,2105,2235,2235,2255
基本参数,最大满载质量(kg),2480,2480,2610,2610,2645
车身,长度(mm),5130,5130,5130,5130,5130
车身,宽度(mm),1965,1965,1965,1965,1965
车身,高度(mm),1506,1506,1506,1506,1491
车身,轴距(mm),3020,3020,3020,3020,3020
车身,前轮距(mm),1701,1701,1701,1701,1703
