セクション,セクション_ja,項目,項目_ja,2026年モデル 純電動 350 L 4MATIC 鎏金版,2025年モデル 350 e L 4MATIC 典蔵版,Unnamed 4
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"33.98万元（日本円 約7,135,800円）","51.80万元（日本円 約10,878,000円）",–
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"33.98万元（日本円 約7,135,800円）","42.30万元（日本円 約8,883,000円）",–
基本参数,基本仕様,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,–
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,–
基本参数,基本仕様,能源类型,エネルギータイプ,電気自動車（EV）,プラグインハイブリッド（PHEV）,–
基本参数,基本仕様,环保标准,環境基準,-,国6排ガス規制,–
基本参数,基本仕様,上市时间,発売時期,2026-07-08,2024-12-18,–
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),-,115,–
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),680,-,–
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.37,0.5,–
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),13.5,4.5,–
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,–
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),10-100,0-100,–
基本参数,基本仕様,最大功率(kW),最大出力(kW),310,250,–
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),800,600,–
基本参数,基本仕様,变速箱,トランスミッション,2速オートマチック,9速マニュアルモード付AT,–
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,–
基本参数,基本仕様,发动机,エンジン,電気自動車（EV）,2.0T 204馬力 直列4気筒,–
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),422,156,–
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4933×1914×1710（mm）,4826×1938×1696（mm）,–
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.9,6.9,–
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,204,–
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),-,1.27,–
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,-,7.4,–
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.67,-,–
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),-,3.78,–
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,–
基本参数,基本仕様,整备质量(kg),車両重量(kg),2515,2420,–
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2985,2930,–
车身,車体,长度(mm),全長(mm),4933,4826,–
车身,車体,宽度(mm),全幅(mm),1914,1938,–
车身,車体,高度(mm),全高(mm),1710,1696,–
车身,車体,轴距(mm),ホイールベース(mm),3027,2977,–
车身,車体,前轮距(mm),前トレッド(mm),1626,1624,–
车身,車体,后轮距(mm),後トレッド(mm),1643,1625,–
车身,車体,接近角(°),アプローチアングル(°),19,23,–
车身,車体,离去角(°),デパーチャーアングル(°),20,22,–
车身,車体,车身结构,ボディ構造,SUV,SUV,–
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア（開き戸）,ヒンジドア（開き戸）,–
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,–
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,–
车身,車体,前备厢容积(L),フロントトランク容量(L),128,-,–
车身,車体,后备厢容积(L),リアトランク容量(L),605,385,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
发动机,エンジン,发动机型号,エンジン型式,-,254 920,–
发动机,エンジン,排量(mL),排気量(mL),-,1999,–
发动机,エンジン,排量(L),排気量(L),-,2.0,–
发动机,エンジン,进气形式,過給形式,-,ターボチャージャー付き,–
发动机,エンジン,发动机布局,エンジン配置,-,縦置きエンジン,–
发动机,エンジン,气缸排列形式,シリンダー配列,-,L,–
发动机,エンジン,气缸数(个),シリンダー数(個),-,4,–
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),-,4,–
发动机,エンジン,配气机构,バルブ機構,-,DOHC（ダブルオーバーヘッドカムシャフト）,–
发动机,エンジン,最大马力(Ps),最高出力(Ps),-,204,–
发动机,エンジン,最大功率(kW),最大出力(kW),-,150,–
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,6100,–
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,320,–
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,2000-4000,–
发动机,エンジン,最大净功率(kW),最大出力(kW),-,150,–
发动机,エンジン,能源类型,エネルギータイプ,電気自動車（EV）,プラグインハイブリッド（PHEV）,–
发动机,エンジン,燃油标号,燃料オクタン価,-,95オクタンガソリン,–
发动机,エンジン,供油方式,燃料供給方式,-,直噴（ダイレクトインジェクション）,–
发动机,エンジン,缸盖材料,シリンダーヘッド材質,-,アルミ合金,–
发动机,エンジン,缸体材料,シリンダーブロック材質,-,アルミ合金,–
发动机,エンジン,环保标准,環境基準,-,国6排ガス規制,–
电动机,モーター,前电动机品牌,前モーターブランド,ボッシュ製,-,–
电动机,モーター,后电动机品牌,後モーターブランド,メルセデス・ベンツ製,-,–
电动机,モーター,前电动机型号,前モーター型式,EM0041,EM0017,–
电动机,モーター,后电动机型号,後モーター型式,EM0037,-,–
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),310,115,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),422,156,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),800,440,–
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),163,115,–
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,440,–
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),300,-,–
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,250,–
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),-,340,–
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),-,600,–
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,シングルモーター,–
电动机,モーター,电机布局,モーター配置,前後配置,前置配置,–
电动机,モーター,三电系统质保,三電システム保証,-,● 8年または12万km保証,–
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウムイオン電池,● リン酸鉄リチウム電池,–
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● CATL（福鼎工場）
● CATL（蕉城工場）",● フォーディ（Fudi）,–
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,–
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),-,115,–
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),680,-,–
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),89,30.9,–
