セクション,セクション_ja,項目,項目_ja,2026年モデル 240Max Huawei 乾崑 ADS SE版,2026年モデル 240Ultra Huawei 乾崑 ADS SE版,2026年モデル 550Max Huawei 乾崑 ADS SE版,2026年モデル 550Ultra Huawei 乾崑 ADS SE版,2026年モデル 660Max Huawei 乾崑 ADS SE版,2026年モデル 660Ultra Huawei 乾崑 ADS SE版,2025年モデル 230Max 深藍智駕 AD PRO 増程版,2025年モデル 530Max 深藍智駕 AD PRO 純電版,2025年モデル 230Ultra 深藍智駕 AD PRO 増程版,2025年モデル 530Ultra 深藍智駕 AD PRO 純電版,2025年モデル 300Max 深藍智駕 AD PRO 増程版,2025年モデル 300Ultra 深藍智駕 AD PRO 増程版,2025年モデル 230Ultra 乾崑智駕 ADS SE 増程版,2025年モデル 530Ultra 乾崑智駕 ADS SE 純電版,2025年モデル 300Ultra 乾崑智駕 ADS SE 増程版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.59万元（日本円 約3,063,900円）","15.59万元（日本円 約3,273,900円）","14.59万元（日本円 約3,063,900円）","15.59万元（日本円 約3,273,900円）","15.59万元（日本円 約3,273,900円）","16.59万元（日本円 約3,483,900円）","15.19万元（日本円 約3,189,900円）","15.19万元（日本円 約3,189,900円）","15.19万元（日本円 約3,189,900円）","15.19万元（日本円 約3,189,900円）","15.89万元（日本円 約3,336,900円）","15.89万元（日本円 約3,336,900円）","16.39万元（日本円 約3,441,900円）","16.39万元（日本円 約3,441,900円）","17.09万元（日本円 約3,588,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"13.59万元（日本円 約2,853,900円）","14.59万元（日本円 約3,063,900円）","13.59万元（日本円 約2,853,900円）","14.59万元（日本円 約3,063,900円）","14.59万元（日本円 約3,063,900円）","15.59万元（日本円 約3,273,900円）","13.69万元（日本円 約2,874,900円）","13.19万元（日本円 約2,769,900円）","13.19万元（日本円 約2,769,900円）","12.69万元（日本円 約2,664,900円）","13.89万元（日本円 約2,916,900円）","13.89万元（日本円 約2,916,900円）","14.39万元（日本円 約3,021,900円）","14.39万元（日本円 約3,021,900円）","15.09万元（日本円 約3,168,900円）"
基本参数,基本仕様,厂商,メーカー,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,レンジエクステンダー式,純電動,レンジエクステンダー式,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国6,国6,-,-,-,-,国6,-,国6,-,国6,国6,国6,-,国6
基本参数,基本仕様,上市时间,発売時期,2025-08-13,2025-08-13,2025-08-13,2025-08-13,2025-08-13,2025-08-13,2025-02-09,2025-02-09,2025-02-09,2025-02-09,2025-02-09,2025-02-09,2025-02-09,2025-02-09,2025-02-09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),175,175,-,-,-,-,170,-,170,-,220,220,170,-,220
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),240,240,550,550,660,660,230,530,230,530,300,300,230,530,300
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),175,175,200,200,200,200,160,185,160,185,190,190,160,185,190
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,290,290,320,310,320,310,320,320,320,310,320
基本参数,基本仕様,变速箱,トランスミッション,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機
