セクション,項目,极氪7X 2026款 75kWh 后驱MAX版,极氪7X 2026款 103kWh 后驱MAX版,极氪7X 2026款 103kWh 四驱Ultra版,
,厂商指导价(元),22.98万 计算器,24.98万 计算器,26.98万 计算器,–
,经销商报价,22.98万起,24.98万起,26.98万起,–
基本参数,厂商,极氪,极氪,极氪,–
基本参数,级别,中型SUV,中型SUV,中型SUV,–
基本参数,能源类型,纯电动,纯电动,纯电动,–
基本参数,上市时间,2025-10-28,2025-10-28,2025-10-28,–
基本参数,CLTC纯电续航里程(km),620,802,715,–
基本参数,电池快充时间(小时),0.18,0.17,0.17,–
基本参数,电池快充电量范围(%),10-80,10-80,10-80,–
基本参数,最大功率(kW),370,370,585,–
基本参数,最大扭矩(N·m),535,535,812,–
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,–
基本参数,电动机(Ps),503,503,796,–
基本参数,长*宽*高(mm),4825*1930*1666,4825*1930*1666,4825*1930*1656,–
基本参数,官方0-100km/h加速(s),5.4,5.1,2.98,–
基本参数,最高车速(km/h),240,240,255,–
基本参数,电能当量燃料消耗量(L/100km),1.61,1.61,1.81,–
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,–
基本参数,首任车主质保政策,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,–
基本参数,整备质量(kg),2280,2280,2460,–
基本参数,最大满载质量(kg),2800,2810,2910,–
车身,长度(mm),4825,4825,4825,–
车身,宽度(mm),1930,1930,1930,–
车身,高度(mm),1666,1666,1656,–
车身,轴距(mm),2925,2925,2925,–
车身,前轮距(mm),1649,1649,1649,–
车身,后轮距(mm),1654,1654,1654,–
车身,空载最小离地间隙(mm),197,197,160,–
车身,接近角(°),19,19,19,–
车身,离去角(°),19,19,19,–
车身,车身结构,SUV,SUV,SUV,–
车身,车门开启方式,平开门,平开门,平开门,–
车身,车门数(个),● 5,● 5,● 5,–
车身,座位数(个),● 5,● 5,● 5,–
车身,前备厢容积(L),38,38,38,–
车身,后备厢容积(L),905-1978,905-1978,905-1978,–
车身,风阻系数(Cd),0.247,0.247,0.247,–
电动机,前电动机品牌,-,-,衢州极电,–
电动机,后电动机品牌,衢州极电,衢州极电,衢州极电,–
电动机,前电动机型号,-,-,YS190XYE03,–
电动机,后电动机型号,TZ230XYC04,TZ230XYC04,TZ230XYC04,–
电动机,电机类型,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,–
电动机,电动机总功率(kW),370,370,585,–
电动机,电动机总马力(Ps),503,503,796,–
电动机,电动机总扭矩(N·m),535,535,812,–
电动机,前电动机最大功率(kW),-,-,215,–
电动机,前电动机最大扭矩(N·m),-,-,261,–
电动机,后电动机最大功率(kW),370,370,370,–
电动机,后电动机最大扭矩(N·m),535,535,535,–
电动机,驱动电机数,单电机,单电机,双电机,–
电动机,电机布局,后置,后置,前置+后置,–
电动机,三电系统质保,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,–
电池/充电,电芯品牌,● 衢州极电,● 时代吉利,● 时代吉利,–
电池/充电,电池特有技术,第二代金砖电池,麒麟电池,麒麟电池,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,CLTC纯电续航里程(km),620,802,715,–
电池/充电,电池能量(kWh),75,103,103,–
电池/充电,百公里耗电量(kWh/100km),13.9,13.9,15.6,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,高压快充,支持,支持,支持,–
电池/充电,高压平台（V）,800,900,900,–
电池/充电,电池快充时间(小时),0.18,0.17,0.17,–
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,–
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,对外交流放电功率(kW),6,6,6,–
电池/充电,对外直流放电功率(kW),60,60,60,–
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,–
变速箱,挡位个数,1,1,1,–
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱,–
底盘转向,四驱形式,-,-,● 电动四驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,"● 255/50 R19
○ 265/40 R21 (2.00万元)
○ 265/45 R20 (1.10万元)","● 255/50 R19
○ 265/40 R21 (2.00万元)
○ 265/45 R20 (1.10万元)","● 255/50 R19
○ 265/40 R21 (2.00万元)
○ 265/45 R20 (1.10万元)",–
车轮制动,后轮胎规格,"● 255/50 R19
○ 265/40 R21
○ 265/45 R20","● 255/50 R19
○ 265/40 R21
○ 265/45 R20","● 255/50 R19
○ 265/40 R21
○ 265/45 R20",–
车轮制动,备胎规格,-,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
被动安全,前排中间气囊,●,●,●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
主动安全,疲劳驾驶提示,●,●,●,–
主动安全,DOW开门预警,●,●,●,–
主动安全,前方碰撞预警,●,●,●,–
主动安全,后方碰撞预警,●,●,●,–
主动安全,哨兵模式/千里眼,●,●,●,–
主动安全,低速行车警告,●,●,●,–
