セクション,項目,五菱宏光新能源 2025款 增程式混动 50KM 实用型,五菱宏光新能源 2025款 增程式混动 50KM 标准型,五菱宏光新能源 2025款 增程式混动 50KM 舒适型,五菱宏光新能源 2025款 增程式混动 150KM 标准型,五菱宏光新能源 2025款 增程式混动 150KM 舒适型,五菱宏光新能源 2024款 纯电版 300KM 实用型,五菱宏光新能源 2024款 纯电版 300KM 标准型
,厂商指导价(元),6.88万 计算器,7.18万 计算器,7.38万 计算器,7.78万 计算器,7.98万 计算器,6.98万 计算器,7.28万 计算器
,经销商报价,5.80万起,6.28万起,6.43万起,6.98万起,7.10万起,6.08万起,6.38万起
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微面,微面,微面,微面,微面,微面,微面
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-
基本参数,上市时间,2025-04-08,2025-04-08,2025-04-08,2025-11-10,2025-11-10,2024-09-29,2024-09-29
基本参数,WLTC纯电续航里程(km),-,-,-,110,110,-,-
基本参数,CLTC纯电续航里程(km),50,50,50,150,150,300,300
基本参数,电池快充时间(小时),0.5,0.5,0.5,-,-,0.5,0.5
基本参数,电池慢充时间(小时),-,-,-,6.3,6.3,9.8,9.8
基本参数,电池快充电量范围(%),30-80,30-80,30-80,-,-,30-80,30-80
基本参数,电池慢充电量范围(%),-,-,-,20-100,20-100,20-100,20-100
基本参数,最大功率(kW),75,75,75,75,75,75,75
基本参数,最大扭矩(N·m),180,180,180,180,180,180,180
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,客车,客车,客车,客车,客车,客车,客车
基本参数,发动机,增程器 99马力,增程器 99马力,增程器 99马力,增程器 99马力,增程器 99马力,-,-
基本参数,电动机(Ps),102,102,102,102,102,102,102
基本参数,长*宽*高(mm),4515*1725*1790,4515*1725*1790,4515*1725*1790,4515*1725*1785,4515*1725*1785,4515*1725*1790,4515*1725*1790
