セクション,セクション_ja,項目,項目_ja,2025年モデル 増程式ハイブリッド 50KM 実用型,2025年モデル 増程式ハイブリッド 50KM 標準型,2025年モデル 増程式ハイブリッド 50KM 快適型,2025年モデル 増程式ハイブリッド 150KM 標準型,2025年モデル 増程式ハイブリッド 150KM 快適型,2024年モデル 純電動 300KM 実用型,2024年モデル 純電動 300KM 標準型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"6.88万元（日本円 約1,444,800円）","7.18万元（日本円 約1,507,800円）","7.38万元（日本円 約1,549,800円）","7.78万元（日本円 約1,633,800円）","7.98万元（日本円 約1,675,800円）","6.98万元（日本円 約1,465,800円）","7.28万元（日本円 約1,528,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"5.80万元（日本円 約1,218,000円）","6.28万元（日本円 約1,318,800円）","6.43万元（日本円 約1,350,300円）","6.98万元（日本円 約1,465,800円）","7.18万元（日本円 約1,507,800円）","6.18万元（日本円 約1,297,800円）","6.38万元（日本円 約1,339,800円）"
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,軽商用バン,軽商用バン,軽商用バン,軽商用バン,軽商用バン,軽商用バン,軽商用バン
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-
基本参数,基本仕様,上市时间,発売時期,2025-04-08,2025-04-08,2025-04-08,2025-11-10,2025-11-10,2024-09-29,2024-09-29
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,-,110,110,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),50,50,50,150,150,300,300
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,-,-,0.5,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,6.3,6.3,9.8,9.8
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,-,-,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),-,-,-,20-100,20-100,20-100,20-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),75,75,75,75,75,75,75
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),180,180,180,180,180,180,180
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,乗用車,乗用車,乗用車,乗用車,乗用車,乗用車,乗用車
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 99馬力,レンジエクステンダー 99馬力,レンジエクステンダー 99馬力,レンジエクステンダー 99馬力,レンジエクステンダー 99馬力,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),102,102,102,102,102,102,102
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4515×1725×1790mm,4515×1725×1790mm,4515×1725×1790mm,4515×1725×1785mm,4515×1725×1785mm,4515×1725×1790mm,4515×1725×1790mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),135,135,135,135,135,135,135
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),2.42,2.42,2.42,1.75,1.75,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.18,5.18,5.18,5.20,5.20,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低荷電状態燃費(L/100km)NEDC,4.3,4.3,4.3,4.3,4.3,-,-
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.89,3.89,3.89,3.48,3.48,-,-
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1400,1400,1430,1450,1490,1275,1275
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1990,1990,1990,2060,2060,1850,1850
车身,車体,长度(mm),全長(mm),4515,4515,4515,4515,4515,4515,4515
