セクション,項目,212 T01 2026款 2.0T 柴油版 长风,212 T01 2026款 2.0T 高地,212 T01 2026款 2.0T 机械师,212 T01 2026款 2.0T 检阅官,212 T01 2026款 2.0T 长风,212 T01 2026款 改款 2.0T 高地,212 T01 2026款 2.0T METTA,212 T01 2026款 2.0T METTA 巴丹吉林,212 T01 2025款 2.0T 柴油版,212 T01 2025款 2.0T 长风,212 T01 2025款 2.0T 检阅官,212 T01 2024款 2.0T 机械师,212 T01 2024款 2.0T 探险家
,厂商指导价(元),19.88万 计算器,20.58万 计算器,14.99万 计算器,16.99万 计算器,19.48万 计算器,20.88万 计算器,18.99万 计算器,21.99万 计算器,16.59万 计算器,18.88万 计算器,17.29万 计算器,13.99万 计算器,15.99万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车,二一二越野车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-12-12,2025-11-21,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-04-25,2026-04-25,2025-10-15,2024-11-15,2025-08-29,2024-08-22,2024-08-22
基本参数,最大功率(kW),125,185,185,185,185,185,185,185,125,185,185,185,185
基本参数,最大扭矩(N·m),415,410,410,410,410,410,410,410,415,410,410,410,410
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 170马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 170马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4
