セクション,項目,海狮05 DM-i 2026款 DM-i 220启航版,海狮05 DM-i 2026款 DM-i 220领航版,海狮05 DM-i 2026款 DM-i 220智航版,海狮05 DM-i 2026款 DM-i 305领航版,海狮05 DM-i 2026款 DM-i 305智航版,海狮05 DM-i 2025款 DM-i 智驾版 75KM豪华型,海狮05 DM-i 2025款 DM-i 75KM豪华型,海狮05 DM-i 2025款 DM-i 智驾版 75KM尊贵型,海狮05 DM-i 2025款 DM-i 75KM尊贵型,海狮05 DM-i 2025款 DM-i 智驾版 115KM尊荣型,海狮05 DM-i 2025款 DM-i 115KM尊荣型,海狮05 DM-i 2025款 DM-i 智驾版 115KM旗舰型,海狮05 DM-i 2025款 DM-i 115KM旗舰型
,厂商指导价(元),9.79万 计算器,10.79万 计算器,11.79万 计算器,11.79万 计算器,12.79万 计算器,10.28万 计算器,11.28万 计算器,11.28万 计算器,12.28万 计算器,12.28万 计算器,13.28万 计算器,13.28万 计算器,14.28万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2025-02-10,2024-09-23,2025-02-10,2024-09-23,2025-02-10,2024-09-23,2025-02-10,2024-09-23
基本参数,WLTC纯电续航里程(km),151,151,155,205,205,64,64,64,64,93,93,93,93
基本参数,CLTC纯电续航里程(km),220,220,220,305,305,75,75,75,75,115,115,115,115
基本参数,电池快充时间(小时),0.27,0.27,0.27,0.31,0.31,-,-,-,-,0.57,0.57,0.57,0.57
